,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,87,3,18,62,31,50,68,0,245
1,RF,2,120,89,164,29,92,38,6,36,231
2,RF,3,184,1,104,113,1,70,115,0,282
3,RF,4,298,10,153,102,21,96,30,22,297
4,RF,5,89,47,35,50,50,35,34,33,208
5,XGB,1,83,14,11,75,27,41,74,16,223
6,XGB,2,157,51,165,75,40,44,14,25,234
7,XGB,3,163,16,110,77,42,65,113,15,269
8,XGB,4,259,54,148,81,58,80,54,27,268
9,XGB,5,102,25,44,67,34,34,31,11,233
10,DT,1,0,85,23,0,96,47,0,100,213
11,DT,2,200,2,171,131,1,27,83,0,190
12,DT,3,0,170,119,2,126,56,7,166,224
13,DT,4,0,0,461,0,0,219,0,0,349
14,DT,5,104,39,28,73,9,53,112,3,160
