,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6135,0.6094,0.6107,0.6095,0.6168,0.6135,0.6147,0.5521,0.5889,0.5699,0.6667,0.6325,0.6491,0.6972,"{'pca__n_components': 0.9, 'clf__n_estimators': 255, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.9,255.0,3.0,15.0,2.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.696,0.7102,0.7303,0.6921,0.7624,0.696,0.7027,0.5395,0.8425,0.6578,0.8808,0.6182,0.7265,0.7646,"{'pca__n_components': 0.95, 'clf__n_estimators': 219, 'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.95,219.0,3.0,3.0,9.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.5921,0.5927,0.5899,0.5878,0.5926,0.5921,0.5889,0.5965,0.5037,0.5462,0.589,0.6761,0.6295,0.6348,"{'pca__n_components': 0.95, 'clf__n_estimators': 478, 'clf__max_depth': 16, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.95,478.0,16.0,9.0,7.0,sqrt,True,balanced,,,,,,,,,
3,XGB,1,0.6473,0.6402,0.638,0.6387,0.6454,0.6473,0.646,0.6,0.5667,0.5829,0.6803,0.7094,0.6946,0.727,"{'pca__n_components': 0.99, 'clf__n_estimators': 353, 'clf__max_depth': 6, 'clf__learning_rate': 0.06357966115292735, 'clf__subsample': 0.7147125854392479, 'clf__colsample_bytree': 0.831024809963796, 'clf__min_child_weight': 6, 'clf__gamma': 4.2765696710775645, 'clf__reg_alpha': 1.8691235093704672, 'clf__reg_lambda': 1.594749438693671}",0.99,353.0,6.0,,,,,,0.06357966115292735,0.7147125854392479,0.831024809963796,6.0,4.2765696710775645,1.8691235093704672,1.594749438693671,,
4,XGB,2,0.7055,0.6812,0.691,0.6843,0.7164,0.7055,0.7093,0.5663,0.6438,0.6026,0.7961,0.7382,0.766,0.7705,"{'pca__n_components': 0.99, 'clf__n_estimators': 54, 'clf__max_depth': 6, 'clf__learning_rate': 0.011895830450908132, 'clf__subsample': 0.9986824992307645, 'clf__colsample_bytree': 0.6047606839380596, 'clf__min_child_weight': 1, 'clf__gamma': 4.994589417704984, 'clf__reg_alpha': 0.019216386978613498, 'clf__reg_lambda': 1.9392130462951231}",0.99,54.0,6.0,,,,,,0.011895830450908132,0.9986824992307645,0.6047606839380596,1.0,4.994589417704984,0.019216386978613498,1.9392130462951231,,
5,XGB,3,0.5307,0.5305,0.5256,0.5084,0.5305,0.5307,0.511,0.5301,0.3259,0.4037,0.5309,0.7254,0.6131,0.6158,"{'pca__n_components': 0.9, 'clf__n_estimators': 355, 'clf__max_depth': 4, 'clf__learning_rate': 0.04807636849018815, 'clf__subsample': 0.6195496604372621, 'clf__colsample_bytree': 0.9017059591092287, 'clf__min_child_weight': 2, 'clf__gamma': 3.6290774468036577, 'clf__reg_alpha': 0.565405597826295, 'clf__reg_lambda': 0.9091575011004632}",0.9,355.0,4.0,,,,,,0.04807636849018815,0.6195496604372621,0.9017059591092287,2.0,3.6290774468036577,0.565405597826295,0.9091575011004632,,
6,DT,1,0.6618,0.7065,0.6868,0.6583,0.724,0.6618,0.6538,0.5725,0.8778,0.693,0.8406,0.4957,0.6237,0.6829,"{'pca__n_components': 0.99, 'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",0.99,,6.0,13.0,5.0,log2,,,,,,,,,,gini,random
7,DT,2,0.3468,0.1734,0.5,0.2575,0.1203,0.3468,0.1786,0.3468,1.0,0.515,0.0,0.0,0.0,0.5,"{'pca__n_components': 0.9, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.9,,5.0,14.0,3.0,log2,,balanced,,,,,,,,entropy,random
8,DT,3,0.574,0.6546,0.5827,0.5225,0.6576,0.574,0.5185,0.5365,0.9259,0.6793,0.7727,0.2394,0.3656,0.5833,"{'pca__n_components': 0.9, 'clf__criterion': 'entropy', 'clf__max_depth': 7, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.9,,7.0,15.0,7.0,sqrt,,balanced,,,,,,,,entropy,random
9,RF,MEAN,0.6339,0.6374,0.6436,0.6298,0.6573,0.6339,0.6354,0.5627,0.645,0.5913,0.7122,0.6423,0.6684,0.6989,N/A,,,,,,,,,,,,,,,,,
