,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6703,0.6834,0.6756,0.668,0.6863,0.6703,0.6667,0.7455,0.5616,0.6406,0.6213,0.7895,0.6954,0.7755,129,f_classif,"{'selector__k': 129, 'selector__score_func': 'f_classif', 'clf__n_estimators': 66, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",129,f_classif,66.0,4.0,17.0,4.0,sqrt,False,,,,,,,,,,
1,RF,2,0.6133,0.6057,0.6002,0.5998,0.6091,0.6133,0.6081,0.576,0.4843,0.5262,0.6355,0.7161,0.6734,0.6148,72,f_classif,"{'selector__k': 72, 'selector__score_func': 'f_classif', 'clf__n_estimators': 312, 'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",72,f_classif,312.0,4.0,10.0,9.0,sqrt,False,,,,,,,,,,
2,RF,3,0.7186,0.7101,0.7019,0.7045,0.7158,0.7186,0.7158,0.6774,0.6067,0.6401,0.7427,0.7972,0.769,0.7853,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 419, 'clf__max_depth': 4, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",28,f_classif,419.0,4.0,6.0,3.0,sqrt,False,,,,,,,,,,
3,RF,4,0.7717,0.7613,0.7897,0.7625,0.8066,0.7717,0.7775,0.6202,0.8459,0.7157,0.9025,0.7336,0.8093,0.8175,115,f_classif,"{'selector__k': 115, 'selector__score_func': 'f_classif', 'clf__n_estimators': 316, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",115,f_classif,316.0,3.0,13.0,3.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.7282,0.7133,0.7333,0.7154,0.7544,0.7282,0.7342,0.5817,0.7494,0.655,0.845,0.7171,0.7758,0.8086,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 373, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",28,f_classif,373.0,3.0,19.0,8.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.6828,0.6995,0.6887,0.6799,0.7028,0.6828,0.6785,0.77,0.5616,0.6495,0.629,0.8158,0.7103,0.7866,100,f_classif,"{'selector__k': 100, 'selector__score_func': 'f_classif', 'clf__n_estimators': 250, 'clf__max_depth': 3, 'clf__learning_rate': 0.011089445772923898, 'clf__subsample': 0.6745692901468412, 'clf__colsample_bytree': 0.8409698553723389, 'clf__min_child_weight': 3, 'clf__gamma': 0.012884989679286557, 'clf__reg_alpha': 0.5557176379343823, 'clf__reg_lambda': 0.8017314890339255}",100,f_classif,250.0,3.0,,,,,,0.011089445772923898,0.6745692901468412,0.8409698553723389,3.0,0.012884989679286557,0.5557176379343823,0.8017314890339255,,
6,XGB,2,0.5845,0.5757,0.5729,0.5726,0.5802,0.5845,0.5807,0.5357,0.4709,0.5012,0.6156,0.675,0.644,0.5931,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 6, 'clf__learning_rate': 0.010060258564857176, 'clf__subsample': 0.7922158335584355, 'clf__colsample_bytree': 0.6890177879031429, 'clf__min_child_weight': 1, 'clf__gamma': 4.7969733893742665, 'clf__reg_alpha': 1.7843766092371047, 'clf__reg_lambda': 0.5456497532349417}",28,f_classif,371.0,6.0,,,,,,0.010060258564857176,0.7922158335584355,0.6890177879031429,1.0,4.7969733893742665,1.7843766092371047,0.5456497532349417,,
7,XGB,3,0.7232,0.7154,0.7055,0.7085,0.7204,0.7232,0.7199,0.6869,0.6044,0.643,0.7439,0.8066,0.774,0.7979,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 72, 'clf__max_depth': 3, 'clf__learning_rate': 0.03562221722964905, 'clf__subsample': 0.9272954826452514, 'clf__colsample_bytree': 0.6269768323259611, 'clf__min_child_weight': 10, 'clf__gamma': 1.055143263279993, 'clf__reg_alpha': 0.7626761164337644, 'clf__reg_lambda': 1.2862871555935298}",28,f_classif,72.0,3.0,,,,,,0.03562221722964905,0.9272954826452514,0.6269768323259611,10.0,1.055143263279993,0.7626761164337644,1.2862871555935298,,
8,XGB,4,0.7205,0.6882,0.6873,0.6877,0.7198,0.7205,0.7202,0.5894,0.5836,0.5865,0.7869,0.7909,0.7889,0.7849,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__n_estimators': 107, 'clf__max_depth': 12, 'clf__learning_rate': 0.016975911741280922, 'clf__subsample': 0.6018960478612356, 'clf__colsample_bytree': 0.8507947823953552, 'clf__min_child_weight': 4, 'clf__gamma': 2.986288963010503, 'clf__reg_alpha': 1.1465409771940358, 'clf__reg_lambda': 0.6269691638343919}",57,f_classif,107.0,12.0,,,,,,0.016975911741280922,0.6018960478612356,0.8507947823953552,4.0,2.986288963010503,1.1465409771940358,0.6269691638343919,,
9,XGB,5,0.7201,0.7001,0.7158,0.7035,0.7386,0.7201,0.7254,0.5767,0.7021,0.6333,0.8235,0.7295,0.7737,0.793,115,f_classif,"{'selector__k': 115, 'selector__score_func': 'f_classif', 'clf__n_estimators': 124, 'clf__max_depth': 12, 'clf__learning_rate': 0.013091358579713728, 'clf__subsample': 0.6294500417537647, 'clf__colsample_bytree': 0.891960379663053, 'clf__min_child_weight': 8, 'clf__gamma': 4.478890697350543, 'clf__reg_alpha': 0.8552302666493081, 'clf__reg_lambda': 1.671458595585178}",115,f_classif,124.0,12.0,,,,,,0.013091358579713728,0.6294500417537647,0.891960379663053,8.0,4.478890697350543,0.8552302666493081,1.671458595585178,,
