,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.523,0.526,0.4671,0.4037,0.5252,0.523,0.4473,0.6737,0.6937,"{'pca__n_components': 0.99, 'clf__n_estimators': 385, 'clf__max_depth': 4, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.5199,0.5378,0.5287,0.6856,0.5333,0.018,0.0349,0.6032,0.5247,0.8456,0.6475,0.7323,0.99,385.0,4.0,9.0,3.0,log2,True,,,,,,,,,,
1,RF,2,0.4754,0.4562,0.4438,0.4389,0.4795,0.4754,0.4681,0.6564,0.6588,"{'pca__n_components': 0.85, 'clf__n_estimators': 324, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4043,0.5677,0.4723,0.6512,0.3679,0.221,0.2761,0.6173,0.5963,0.5427,0.5682,0.7008,0.85,324.0,3.0,16.0,7.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.5215,0.4822,0.4375,0.3939,0.5003,0.5215,0.4685,0.6786,0.7138,"{'pca__n_components': 0.99, 'clf__n_estimators': 291, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.5269,0.5097,0.5181,0.6343,0.4,0.0205,0.039,0.6515,0.5196,0.7825,0.6245,0.7501,0.99,291.0,3.0,2.0,5.0,sqrt,True,,,,,,,,,,
3,XGB,1,0.5177,0.5011,0.4696,0.4279,0.5053,0.5177,0.4642,0.6658,0.6928,"{'pca__n_components': 0.99, 'clf__n_estimators': 112, 'clf__max_depth': 6, 'clf__learning_rate': 0.019217768728097228, 'clf__subsample': 0.9281889012746769, 'clf__colsample_bytree': 0.6100259283068974, 'clf__min_child_weight': 1, 'clf__gamma': 4.099929159804161, 'clf__reg_alpha': 0.2407833881763971, 'clf__reg_lambda': 1.4807760163105257}",0.5,0.5855,0.5394,0.6797,0.4688,0.0676,0.1181,0.5889,0.5345,0.7556,0.6261,0.7288,0.99,112.0,6.0,,,,,,0.019217768728097228,0.9281889012746769,0.6100259283068974,1.0,4.099929159804161,0.2407833881763971,1.4807760163105257,,
4,XGB,2,0.4801,0.3295,0.4241,0.3632,0.3883,0.4801,0.4207,0.6535,0.6711,"{'pca__n_components': 0.7, 'clf__n_estimators': 94, 'clf__max_depth': 8, 'clf__learning_rate': 0.015916135349825233, 'clf__subsample': 0.821125927926409, 'clf__colsample_bytree': 0.8536051970294886, 'clf__min_child_weight': 2, 'clf__gamma': 3.5571236460867066, 'clf__reg_alpha': 1.2748129105769166, 'clf__reg_lambda': 1.619006221513773}",0.4,0.699,0.5088,0.6518,0.0,0.0,0.0,0.6115,0.5884,0.5732,0.5807,0.6973,0.7,94.0,8.0,,,,,,0.015916135349825233,0.821125927926409,0.8536051970294886,2.0,3.5571236460867066,1.2748129105769166,1.619006221513773,,
5,XGB,3,0.5221,0.4796,0.4467,0.4183,0.5004,0.5221,0.4813,0.6655,0.7083,"{'pca__n_components': 0.9, 'clf__n_estimators': 85, 'clf__max_depth': 12, 'clf__learning_rate': 0.024958654734746684, 'clf__subsample': 0.6069526747871757, 'clf__colsample_bytree': 0.917337545775018, 'clf__min_child_weight': 9, 'clf__gamma': 4.579730557977985, 'clf__reg_alpha': 1.4009064331379364, 'clf__reg_lambda': 0.9667745298917308}",0.5284,0.4978,0.5126,0.6227,0.3846,0.0683,0.1159,0.6394,0.5258,0.774,0.6262,0.7344,0.9,85.0,12.0,,,,,,0.024958654734746684,0.6069526747871757,0.917337545775018,9.0,4.579730557977985,1.4009064331379364,0.9667745298917308,,
6,DT,1,0.388,0.1293,0.3333,0.1864,0.1506,0.388,0.2169,0.5,0.5649,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 15, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.388,1.0,0.5591,0.5,0.75,,15.0,2.0,10.0,sqrt,,,,,,,,,,gini,random
7,DT,2,0.4707,0.4453,0.4126,0.3328,0.467,0.4707,0.369,0.6052,0.6392,"{'pca__n_components': 0.95, 'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.5,0.0061,0.012,0.6156,0.3085,0.3399,0.3235,0.5595,0.5275,0.8918,0.6629,0.6406,0.95,,4.0,6.0,5.0,sqrt,,balanced,,,,,,,,gini,random
8,DT,3,0.4849,0.3228,0.4044,0.3538,0.3929,0.4849,0.4278,0.6066,0.6505,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': None}",0.4797,0.4562,0.4676,0.5402,0.0,0.0,0.0,0.6444,0.4886,0.7572,0.5939,0.6353,0.75,,1.0,15.0,6.0,sqrt,,,,,,,,,,gini,best
9,RF,MEAN,0.5066,0.4881,0.4495,0.4122,0.5017,0.5066,0.4613,0.6696,0.6888,N/A,0.4837,0.5384,0.5064,0.657,0.4337,0.0865,0.1167,0.624,0.5469,0.7236,0.6134,0.7277,,,,,,,,,,,,,,,,,
