,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6765,0.6782,0.6726,0.6722,0.6778,0.6765,0.674,0.6875,0.5889,0.6344,0.669,0.7563,0.71,0.7264,"{'pca__n_components': 0.99, 'clf__n_estimators': 407, 'clf__max_depth': 9, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.99,407.0,9.0,15.0,9.0,log2,True,,,,,,,,,,
1,RF,2,0.674,0.6578,0.6536,0.6552,0.6706,0.674,0.6718,0.5958,0.5547,0.5745,0.7198,0.7525,0.7358,0.7306,"{'pca__n_components': 0.99, 'clf__n_estimators': 173, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.99,173.0,4.0,15.0,6.0,sqrt,False,,,,,,,,,,
2,RF,3,0.6612,0.6597,0.6743,0.6534,0.7011,0.6612,0.6684,0.5166,0.7194,0.6014,0.8027,0.6291,0.7054,0.7303,"{'pca__n_components': 0.99, 'clf__n_estimators': 207, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.99,207.0,3.0,13.0,5.0,sqrt,True,balanced,,,,,,,,,
3,XGB,1,0.6831,0.6849,0.6793,0.679,0.6844,0.6831,0.6807,0.6948,0.5976,0.6425,0.675,0.761,0.7154,0.7377,"{'pca__n_components': 0.99, 'clf__n_estimators': 405, 'clf__max_depth': 3, 'clf__learning_rate': 0.01014675077642032, 'clf__subsample': 0.9106228660555927, 'clf__colsample_bytree': 0.6526456532678496, 'clf__min_child_weight': 5, 'clf__gamma': 3.0237379296373845, 'clf__reg_alpha': 0.17209349302562504, 'clf__reg_lambda': 1.31591856690995}",0.99,405.0,3.0,,,,,,0.01014675077642032,0.9106228660555927,0.6526456532678496,5.0,3.0237379296373845,0.17209349302562504,1.31591856690995,,
4,XGB,2,0.6728,0.6557,0.6457,0.6482,0.6666,0.6728,0.6674,0.6028,0.5142,0.555,0.7086,0.7771,0.7413,0.7277,"{'pca__n_components': 0.99, 'clf__n_estimators': 206, 'clf__max_depth': 3, 'clf__learning_rate': 0.011770168579773121, 'clf__subsample': 0.9229745615144007, 'clf__colsample_bytree': 0.7130526157084672, 'clf__min_child_weight': 2, 'clf__gamma': 1.8132198082855444, 'clf__reg_alpha': 1.8066173427039987, 'clf__reg_lambda': 0.6063191801236794}",0.99,206.0,3.0,,,,,,0.011770168579773121,0.9229745615144007,0.7130526157084672,2.0,1.8132198082855444,1.8066173427039987,0.6063191801236794,,
5,XGB,3,0.6622,0.6305,0.6295,0.63,0.661,0.6622,0.6616,0.525,0.5164,0.5207,0.7359,0.7426,0.7393,0.7095,"{'pca__n_components': 0.95, 'clf__n_estimators': 186, 'clf__max_depth': 7, 'clf__learning_rate': 0.01309992818946585, 'clf__subsample': 0.6653159384779362, 'clf__colsample_bytree': 0.7347461720329964, 'clf__min_child_weight': 7, 'clf__gamma': 3.590183904068683, 'clf__reg_alpha': 1.8666215600792655, 'clf__reg_lambda': 0.40491613752889655}",0.95,186.0,7.0,,,,,,0.01309992818946585,0.6653159384779362,0.7347461720329964,7.0,3.590183904068683,1.8666215600792655,0.40491613752889655,,
6,DT,1,0.5235,0.2617,0.5,0.3436,0.274,0.5235,0.3597,0.0,0.0,0.0,0.5235,1.0,0.6872,0.5,"{'pca__n_components': 0.75, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.75,,20.0,12.0,9.0,sqrt,,,,,,,,,,entropy,random
7,DT,2,0.6895,0.6777,0.652,0.6551,0.6834,0.6895,0.6775,0.6501,0.4708,0.5461,0.7053,0.8333,0.764,0.7211,"{'pca__n_components': 0.8, 'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.8,,6.0,8.0,10.0,,,,,,,,,,,gini,random
8,DT,3,0.6676,0.646,0.6541,0.648,0.6802,0.6676,0.672,0.5279,0.6075,0.5649,0.7641,0.7007,0.731,0.6933,"{'pca__n_components': 0.9, 'clf__criterion': 'entropy', 'clf__max_depth': 9, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.9,,9.0,16.0,8.0,,,balanced,,,,,,,,entropy,random
9,RF,MEAN,0.6706,0.6652,0.6668,0.6603,0.6832,0.6706,0.6714,0.6,0.621,0.6034,0.7305,0.7126,0.7171,0.7291,N/A,,,,,,,,,,,,,,,,,
