,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5395,0.3687,0.4498,0.3841,0.5228,0.5395,0.5098,0.7311,0.7743,"{'pca__n_components': 0.9, 'clf__n_estimators': 245, 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3467,0.7302,0.4702,0.6678,0.0,0.0,0.0,0.7695,0.7593,0.6192,0.6821,0.7559,0.9,245.0,3.0,9.0,6.0,log2,True,,,,,,,,,,
1,RF,2,0.4171,0.3615,0.3969,0.3429,0.3769,0.4171,0.3651,0.5808,0.5938,"{'pca__n_components': 0.99, 'clf__n_estimators': 458, 'clf__max_depth': 5, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3729,0.6337,0.4695,0.6267,0.2258,0.0307,0.0541,0.4941,0.4858,0.5262,0.5052,0.6217,0.99,458.0,5.0,9.0,9.0,log2,True,,,,,,,,,,
2,RF,3,0.4508,0.5045,0.4889,0.3886,0.5546,0.4508,0.4113,0.6953,0.6367,"{'pca__n_components': 0.99, 'clf__n_estimators': 185, 'clf__max_depth': 5, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.7041,0.4086,0.5171,0.6935,0.4688,0.085,0.1439,0.5574,0.3408,0.9732,0.5048,0.835,0.99,185.0,5.0,4.0,3.0,sqrt,False,,,,,,,,,,
3,RF,4,0.5183,0.4869,0.4923,0.4812,0.5557,0.5183,0.5268,0.7085,0.6714,"{'pca__n_components': 0.99, 'clf__n_estimators': 200, 'clf__max_depth': 5, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4519,0.5987,0.5151,0.6949,0.3014,0.35,0.3239,0.6986,0.7073,0.528,0.6047,0.732,0.99,200.0,5.0,13.0,7.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.5876,0.5665,0.5202,0.487,0.5809,0.5876,0.5422,0.7269,0.7649,"{'pca__n_components': 0.99, 'clf__n_estimators': 457, 'clf__max_depth': 6, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6364,0.5586,0.595,0.7364,0.5,0.1055,0.1743,0.6197,0.5632,0.8966,0.6918,0.8248,0.99,457.0,6.0,10.0,5.0,sqrt,True,,,,,,,,,,
5,XGB,1,0.5609,0.6621,0.4,0.3648,0.6426,0.5609,0.5126,0.7307,0.7752,"{'pca__n_components': 0.9, 'clf__n_estimators': 222, 'clf__max_depth': 3, 'clf__learning_rate': 0.010906543024285464, 'clf__subsample': 0.9709240072196778, 'clf__colsample_bytree': 0.6535899244805607, 'clf__min_child_weight': 2, 'clf__gamma': 4.925019168397427, 'clf__reg_alpha': 0.14669089328994445, 'clf__reg_lambda': 1.9898536017534192}",0.3017,0.3862,0.3387,0.6666,1.0,0.0077,0.0153,0.7793,0.6845,0.8061,0.7403,0.7463,0.9,222.0,3.0,,,,,,0.010906543024285464,0.9709240072196778,0.6535899244805607,2.0,4.925019168397427,0.14669089328994445,1.9898536017534192,,
6,XGB,2,0.4133,0.352,0.3937,0.3477,0.3685,0.4133,0.3687,0.5718,0.5862,"{'pca__n_components': 0.99, 'clf__n_estimators': 262, 'clf__max_depth': 9, 'clf__learning_rate': 0.012696500474651625, 'clf__subsample': 0.8364973084644524, 'clf__colsample_bytree': 0.6760036358591228, 'clf__min_child_weight': 6, 'clf__gamma': 3.067492015357644, 'clf__reg_alpha': 1.1086715257853237, 'clf__reg_lambda': 0.7699663282829555}",0.3807,0.6173,0.471,0.6254,0.1923,0.0439,0.0714,0.4773,0.4829,0.52,0.5007,0.6128,0.99,262.0,9.0,,,,,,0.012696500474651625,0.8364973084644524,0.6760036358591228,6.0,3.067492015357644,1.1086715257853237,0.7699663282829555,,
7,XGB,3,0.4641,0.5114,0.4983,0.4001,0.5585,0.4641,0.4243,0.6917,0.6376,"{'pca__n_components': 0.99, 'clf__n_estimators': 129, 'clf__max_depth': 5, 'clf__learning_rate': 0.025438710974722206, 'clf__subsample': 0.6262270966896539, 'clf__colsample_bytree': 0.709385600310979, 'clf__min_child_weight': 2, 'clf__gamma': 4.64893938062231, 'clf__reg_alpha': 0.20182621104927767, 'clf__reg_lambda': 1.0667896077740964}",0.6982,0.434,0.5353,0.6927,0.4844,0.0878,0.1487,0.5416,0.3515,0.9732,0.5165,0.8408,0.99,129.0,5.0,,,,,,0.025438710974722206,0.6262270966896539,0.709385600310979,2.0,4.64893938062231,0.20182621104927767,1.0667896077740964,,
8,XGB,4,0.5292,0.5463,0.4752,0.4524,0.5942,0.5292,0.5163,0.7029,0.6965,"{'pca__n_components': 0.99, 'clf__n_estimators': 68, 'clf__max_depth': 7, 'clf__learning_rate': 0.024778323125707744, 'clf__subsample': 0.9928992130049458, 'clf__colsample_bytree': 0.6821553463774475, 'clf__min_child_weight': 6, 'clf__gamma': 4.7912009295005875, 'clf__reg_alpha': 1.6319045285422398, 'clf__reg_lambda': 1.7480496509684844}",0.4007,0.7643,0.5257,0.6837,0.4902,0.1389,0.2165,0.6966,0.7479,0.5222,0.615,0.7283,0.99,68.0,7.0,,,,,,0.024778323125707744,0.9928992130049458,0.6821553463774475,6.0,4.7912009295005875,1.6319045285422398,1.7480496509684844,,
9,XGB,5,0.5949,0.5766,0.5266,0.4926,0.591,0.5949,0.5489,0.7382,0.7671,"{'pca__n_components': 0.99, 'clf__n_estimators': 102, 'clf__max_depth': 5, 'clf__learning_rate': 0.016348394303542842, 'clf__subsample': 0.9398627675944452, 'clf__colsample_bytree': 0.6186458766901913, 'clf__min_child_weight': 6, 'clf__gamma': 3.518512378411708, 'clf__reg_alpha': 1.150147641352516, 'clf__reg_lambda': 1.5037934031993283}",0.6523,0.5661,0.6061,0.7269,0.5122,0.1055,0.175,0.6618,0.5653,0.908,0.6968,0.826,0.99,102.0,5.0,,,,,,0.016348394303542842,0.9398627675944452,0.6186458766901913,6.0,3.518512378411708,1.150147641352516,1.5037934031993283,,
