,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5458,0.5161,0.4911,0.4777,0.5534,0.5458,0.5212,0.6741,0.7044,"{'pca__n_components': 0.99, 'clf__n_estimators': 273, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.6047,0.2766,0.3796,0.6934,0.3448,0.3922,0.367,0.609,0.5988,0.8047,0.6867,0.7197,0.99,273.0,3.0,4.0,2.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.457,0.3917,0.4308,0.3587,0.4622,0.457,0.4173,0.6647,0.6529,"{'pca__n_components': 0.99, 'clf__n_estimators': 94, 'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3121,0.7297,0.4372,0.6691,0.1667,0.0133,0.0247,0.6036,0.6964,0.5493,0.6142,0.7215,0.99,94.0,4.0,10.0,8.0,sqrt,True,,,,,,,,,,
2,RF,3,0.4809,0.4449,0.4713,0.427,0.4727,0.4809,0.4489,0.6743,0.6713,"{'pca__n_components': 0.95, 'clf__n_estimators': 237, 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5726,0.4295,0.4908,0.6295,0.3,0.1429,0.1935,0.5954,0.462,0.8416,0.5965,0.7979,0.95,237.0,3.0,7.0,2.0,sqrt,True,balanced,,,,,,,,,
3,XGB,1,0.5458,0.506,0.4674,0.4642,0.5261,0.5458,0.5136,0.65,0.711,"{'pca__n_components': 0.9, 'clf__n_estimators': 146, 'clf__max_depth': 4, 'clf__learning_rate': 0.05743741640529645, 'clf__subsample': 0.7515184553254067, 'clf__colsample_bytree': 0.9034505660975695, 'clf__min_child_weight': 9, 'clf__gamma': 2.2938109636059876, 'clf__reg_alpha': 0.2675396125878378, 'clf__reg_lambda': 1.3962440529120832}",0.5085,0.3191,0.3922,0.687,0.4333,0.2549,0.321,0.5691,0.5761,0.8281,0.6795,0.6939,0.9,146.0,4.0,,,,,,0.05743741640529645,0.7515184553254067,0.9034505660975695,9.0,2.2938109636059876,0.2675396125878378,1.3962440529120832,,
4,XGB,2,0.4467,0.3382,0.4367,0.3438,0.4209,0.4467,0.3961,0.6483,0.6367,"{'pca__n_components': 0.8, 'clf__n_estimators': 371, 'clf__max_depth': 9, 'clf__learning_rate': 0.03858149194443452, 'clf__subsample': 0.760452239868788, 'clf__colsample_bytree': 0.6583160559936805, 'clf__min_child_weight': 9, 'clf__gamma': 2.333483769358966, 'clf__reg_alpha': 1.22888216002847, 'clf__reg_lambda': 0.8459978449316554}",0.3177,0.8243,0.4586,0.6311,0.0,0.0,0.0,0.5774,0.697,0.4859,0.5726,0.7363,0.8,371.0,9.0,,,,,,0.03858149194443452,0.760452239868788,0.6583160559936805,9.0,2.333483769358966,1.22888216002847,0.8459978449316554,,
5,XGB,3,0.4633,0.4466,0.4586,0.3885,0.4702,0.4633,0.4108,0.6972,0.6666,"{'pca__n_components': 0.8, 'clf__n_estimators': 241, 'clf__max_depth': 9, 'clf__learning_rate': 0.2859993554712634, 'clf__subsample': 0.940947320936635, 'clf__colsample_bytree': 0.6668851701894493, 'clf__min_child_weight': 2, 'clf__gamma': 2.8495273781487014, 'clf__reg_alpha': 0.328687305052338, 'clf__reg_lambda': 0.5152840184708514}",0.5631,0.3718,0.4479,0.6737,0.35,0.0833,0.1346,0.633,0.4266,0.9208,0.5831,0.7848,0.8,241.0,9.0,,,,,,0.2859993554712634,0.940947320936635,0.6668851701894493,2.0,2.8495273781487014,0.328687305052338,0.5152840184708514,,
6,DT,1,0.3443,0.1148,0.3333,0.1708,0.1186,0.3443,0.1764,0.5,0.6099,"{'pca__n_components': 0.9, 'clf__criterion': 'entropy', 'clf__max_depth': 7, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.3443,1.0,0.5123,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.9,,7.0,15.0,7.0,sqrt,,balanced,,,,,,,,entropy,random
7,DT,2,0.5292,0.3249,0.4046,0.3416,0.3762,0.5292,0.4229,0.5807,0.6589,"{'pca__n_components': 0.99, 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",0.4255,0.2703,0.3306,0.5751,0.0,0.0,0.0,0.5651,0.5492,0.9437,0.6943,0.6018,0.99,,2.0,18.0,4.0,log2,,,,,,,,,,gini,random
8,DT,3,0.2962,0.0987,0.3333,0.1523,0.0877,0.2962,0.1354,0.5,0.5249,"{'pca__n_components': 0.95, 'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.2962,1.0,0.457,0.5,0.95,,6.0,18.0,8.0,sqrt,,,,,,,,,,gini,random
9,RF,MEAN,0.4946,0.4509,0.4644,0.4211,0.4961,0.4946,0.4625,0.671,0.6762,N/A,0.4965,0.4786,0.4359,0.664,0.2705,0.1828,0.1951,0.6027,0.5857,0.7319,0.6325,0.7464,,,,,,,,,,,,,,,,,
