,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5942,0.6446,0.5075,0.4944,0.653,0.5942,0.5754,0.7224,0.7612,"{'pca__n_components': 0.9, 'clf__n_estimators': 171, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4138,0.6486,0.5053,0.6987,0.8,0.1538,0.2581,0.7067,0.72,0.72,0.72,0.7619,0.9,171.0,3.0,13.0,2.0,sqrt,True,,,,,,,,,,
1,RF,2,0.5085,0.4337,0.4362,0.4333,0.5145,0.5085,0.5103,0.6352,0.6897,"{'pca__n_components': 0.99, 'clf__n_estimators': 243, 'clf__max_depth': 16, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.303,0.3704,0.3333,0.5714,0.2692,0.2333,0.25,0.5477,0.7288,0.7049,0.7167,0.7863,0.99,243.0,16.0,9.0,9.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.5032,0.4978,0.4711,0.4438,0.505,0.5032,0.4683,0.6459,0.6711,"{'pca__n_components': 0.99, 'clf__n_estimators': 181, 'clf__max_depth': 8, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4091,0.551,0.4696,0.6032,0.5,0.1364,0.2143,0.5606,0.5844,0.7258,0.6475,0.7738,0.99,181.0,8.0,4.0,8.0,sqrt,True,,,,,,,,,,
3,RF,4,0.4038,0.3855,0.3836,0.3834,0.4081,0.4038,0.4046,0.5793,0.5982,"{'pca__n_components': 0.95, 'clf__n_estimators': 237, 'clf__max_depth': 3, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4815,0.4194,0.4483,0.6443,0.2571,0.2647,0.2609,0.4841,0.4179,0.4667,0.4409,0.6094,0.95,237.0,3.0,6.0,3.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.5342,0.5728,0.5198,0.4716,0.6089,0.5342,0.5065,0.6901,0.6932,"{'pca__n_components': 0.99, 'clf__n_estimators': 282, 'clf__max_depth': 4, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7576,0.4808,0.5882,0.7453,0.5333,0.1569,0.2424,0.5581,0.4275,0.9219,0.5842,0.7667,0.99,282.0,4.0,9.0,4.0,sqrt,True,,,,,,,,,,
5,XGB,1,0.5652,0.3689,0.4608,0.4022,0.494,0.5652,0.5194,0.7262,0.7629,"{'pca__n_components': 0.7, 'clf__n_estimators': 99, 'clf__max_depth': 4, 'clf__learning_rate': 0.0351684896142991, 'clf__subsample': 0.6481263112337703, 'clf__colsample_bytree': 0.9573851135312487, 'clf__min_child_weight': 3, 'clf__gamma': 2.715093850029873, 'clf__reg_alpha': 0.2591744759996899, 'clf__reg_lambda': 0.9467400427529123}",0.3906,0.6757,0.495,0.6956,0.0,0.0,0.0,0.726,0.7162,0.7067,0.7114,0.7569,0.7,99.0,4.0,,,,,,0.0351684896142991,0.6481263112337703,0.9573851135312487,3.0,2.715093850029873,0.2591744759996899,0.9467400427529123,,
6,XGB,2,0.5847,0.5203,0.5085,0.4858,0.5794,0.5847,0.5603,0.6418,0.6974,"{'pca__n_components': 0.99, 'clf__n_estimators': 235, 'clf__max_depth': 9, 'clf__learning_rate': 0.12717503579594344, 'clf__subsample': 0.9323051948333203, 'clf__colsample_bytree': 0.6195180623934885, 'clf__min_child_weight': 7, 'clf__gamma': 2.0596240023116614, 'clf__reg_alpha': 0.26718273572517803, 'clf__reg_lambda': 1.4211930765063978}",0.375,0.5556,0.4478,0.6162,0.4545,0.1667,0.2439,0.525,0.7313,0.8033,0.7656,0.7843,0.99,235.0,9.0,,,,,,0.12717503579594344,0.9323051948333203,0.6195180623934885,7.0,2.0596240023116614,0.26718273572517803,1.4211930765063978,,
7,XGB,3,0.529,0.5341,0.4919,0.466,0.5376,0.529,0.4913,0.6487,0.6746,"{'pca__n_components': 0.99, 'clf__n_estimators': 363, 'clf__max_depth': 12, 'clf__learning_rate': 0.025627010679974586, 'clf__subsample': 0.8524884376260822, 'clf__colsample_bytree': 0.8680242585008113, 'clf__min_child_weight': 1, 'clf__gamma': 1.5617231569151933, 'clf__reg_alpha': 1.8973938352063189, 'clf__reg_lambda': 0.835507952863329}",0.4237,0.5102,0.463,0.6088,0.5833,0.1591,0.25,0.5637,0.5952,0.8065,0.6849,0.7735,0.99,363.0,12.0,,,,,,0.025627010679974586,0.8524884376260822,0.8680242585008113,1.0,1.5617231569151933,1.8973938352063189,0.835507952863329,,
8,XGB,4,0.5,0.4938,0.4529,0.4473,0.4999,0.5,0.4804,0.6391,0.6768,"{'pca__n_components': 0.99, 'clf__n_estimators': 90, 'clf__max_depth': 7, 'clf__learning_rate': 0.07374811959392107, 'clf__subsample': 0.723759651528968, 'clf__colsample_bytree': 0.6555650982323419, 'clf__min_child_weight': 3, 'clf__gamma': 3.096311905230011, 'clf__reg_alpha': 1.0605719522001267, 'clf__reg_lambda': 1.753223810744396}",0.55,0.5323,0.541,0.6661,0.4615,0.1765,0.2553,0.5933,0.4699,0.65,0.5455,0.658,0.99,90.0,7.0,,,,,,0.07374811959392107,0.723759651528968,0.6555650982323419,3.0,3.096311905230011,1.0605719522001267,1.753223810744396,,
9,XGB,5,0.5479,0.5795,0.5295,0.4827,0.6167,0.5479,0.5207,0.7088,0.7044,"{'pca__n_components': 0.99, 'clf__n_estimators': 137, 'clf__max_depth': 11, 'clf__learning_rate': 0.016114902661272645, 'clf__subsample': 0.7064158064171341, 'clf__colsample_bytree': 0.6583160559936805, 'clf__min_child_weight': 6, 'clf__gamma': 1.9484997889924875, 'clf__reg_alpha': 1.3345925769308802, 'clf__reg_lambda': 0.27380313630423897}",0.7681,0.5096,0.6127,0.7566,0.5333,0.1569,0.2424,0.5994,0.437,0.9219,0.593,0.7703,0.99,137.0,11.0,,,,,,0.016114902661272645,0.7064158064171341,0.6583160559936805,6.0,1.9484997889924875,1.3345925769308802,0.27380313630423897,,
