Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7724,0.7985,0.7572,0.7727,0.7829,0.7724,0.7725,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 395, 'clf__max_depth': 4, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.8621,0.7353,0.7937,0.8214,0.697,0.7541,0.7121,0.8393,0.7705,21.0,f_classif,395.0,4.0,20.0,7.0,sqrt,False,,,,,,,,,,
RF,2,0.6786,0.7123,0.6683,0.6721,0.7164,0.6786,0.6802,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 401, 'clf__max_depth': 5, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6974,0.791,0.7413,0.9062,0.5472,0.6824,0.5333,0.6667,0.5926,10.0,f_classif,401.0,5.0,10.0,1.0,sqrt,True,,,,,,,,,,
RF,3,0.7547,0.7559,0.7713,0.7395,0.7727,0.7547,0.7369,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 293, 'clf__max_depth': 16, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.75,0.9667,0.8447,0.6809,0.8649,0.7619,0.8367,0.4824,0.6119,31.0,f_classif,293.0,16.0,7.0,7.0,sqrt,True,,,,,,,,,,
RF,4,0.811,0.8245,0.8249,0.8114,0.8413,0.811,0.8122,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 222, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",1.0,0.7031,0.8257,0.7297,0.9,0.806,0.7439,0.8714,0.8026,31.0,f_classif,222.0,20.0,2.0,2.0,sqrt,True,,,,,,,,,,
RF,5,0.8235,0.8255,0.7979,0.8099,0.827,0.8235,0.8235,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 328, 'clf__max_depth': 15, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",0.7391,0.7083,0.7234,0.9286,0.8125,0.8667,0.8088,0.873,0.8397,42.0,f_classif,328.0,15.0,8.0,5.0,sqrt,False,balanced,,,,,,,,,
XGB,1,0.8049,0.8208,0.797,0.807,0.8095,0.8049,0.8053,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 447, 'clf__max_depth': 5, 'clf__learning_rate': 0.2909358367805821, 'clf__subsample': 0.6391797204030553, 'clf__colsample_bytree': 0.9505932517411801, 'clf__min_child_weight': 6, 'clf__gamma': 3.5362817198565057, 'clf__reg_alpha': 1.7073960291930252, 'clf__reg_lambda': 0.35115274946995867}",0.871,0.7941,0.8308,0.8333,0.7576,0.7937,0.7581,0.8393,0.7966,10.0,f_classif,447.0,5.0,,,,,,0.2909358367805821,0.6391797204030553,0.9505932517411801,6.0,3.5362817198565057,1.7073960291930252,0.35115274946995867,,
XGB,2,0.6607,0.705,0.6468,0.6514,0.7074,0.6607,0.6605,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 363, 'clf__max_depth': 9, 'clf__learning_rate': 0.17650522053661769, 'clf__subsample': 0.6789756481482331, 'clf__colsample_bytree': 0.6412674918955481, 'clf__min_child_weight': 5, 'clf__gamma': 2.1771079801191187, 'clf__reg_alpha': 0.9677216379002566, 'clf__reg_lambda': 1.9819553275736406}",0.6667,0.806,0.7297,0.931,0.5094,0.6585,0.5172,0.625,0.566,10.0,f_classif,363.0,9.0,,,,,,0.17650522053661769,0.6789756481482331,0.6412674918955481,5.0,2.1771079801191187,0.9677216379002566,1.9819553275736406,,
XGB,3,0.7547,0.7711,0.7656,0.7387,0.7814,0.7547,0.7329,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 215, 'clf__max_depth': 5, 'clf__learning_rate': 0.1213210662167404, 'clf__subsample': 0.7212371052833857, 'clf__colsample_bytree': 0.9341828738423713, 'clf__min_child_weight': 2, 'clf__gamma': 3.9359266989172323, 'clf__reg_alpha': 0.024224017164696222, 'clf__reg_lambda': 0.578103246622786}",0.7258,1.0,0.8411,0.7209,0.8378,0.775,0.8667,0.4588,0.6,52.0,f_classif,215.0,5.0,,,,,,0.1213210662167404,0.7212371052833857,0.9341828738423713,2.0,3.9359266989172323,0.024224017164696222,0.578103246622786,,
XGB,4,0.811,0.8357,0.8303,0.8174,0.8439,0.811,0.8103,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 370, 'clf__max_depth': 9, 'clf__learning_rate': 0.2946826506799494, 'clf__subsample': 0.7149724064583245, 'clf__colsample_bytree': 0.8882458926686506, 'clf__min_child_weight': 9, 'clf__gamma': 4.497751147928717, 'clf__reg_alpha': 0.6773567267755806, 'clf__reg_lambda': 0.5027842044433275}",1.0,0.6719,0.8037,0.7778,0.9333,0.8485,0.7294,0.8857,0.8,21.0,f_classif,370.0,9.0,,,,,,0.2946826506799494,0.7149724064583245,0.8882458926686506,9.0,4.497751147928717,0.6773567267755806,0.5027842044433275,,
XGB,5,0.8235,0.8367,0.7963,0.8114,0.8329,0.8235,0.8235,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 195, 'clf__max_depth': 11, 'clf__learning_rate': 0.13088373141897613, 'clf__subsample': 0.601822861055624, 'clf__colsample_bytree': 0.6431307814480043, 'clf__min_child_weight': 6, 'clf__gamma': 3.379757928187729, 'clf__reg_alpha': 0.7959955352460144, 'clf__reg_lambda': 0.7629609989069398}",0.75,0.75,0.75,0.96,0.75,0.8421,0.8,0.8889,0.8421,10.0,f_classif,195.0,11.0,,,,,,0.13088373141897613,0.601822861055624,0.6431307814480043,6.0,3.379757928187729,0.7959955352460144,0.7629609989069398,,
