Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7951,0.8234,0.7748,0.7925,0.8075,0.7951,0.7948,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 422, 'clf__max_depth': 7, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.931,0.7826,0.8504,0.8077,0.6667,0.7304,0.7313,0.875,0.7967,31.0,f_classif,422.0,7.0,13.0,7.0,sqrt,False,,,,,,,,,,
RF,2,0.6467,0.6684,0.6296,0.6359,0.672,0.6467,0.6473,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 293, 'clf__max_depth': 14, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6815,0.7754,0.7254,0.8281,0.53,0.6463,0.4956,0.5833,0.5359,21.0,f_classif,293.0,14.0,11.0,5.0,log2,True,,,,,,,,,,
RF,3,0.7368,0.7416,0.7527,0.7153,0.7618,0.7368,0.713,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 298, 'clf__max_depth': 15, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7303,0.9832,0.8381,0.6556,0.8429,0.7375,0.8391,0.432,0.5703,31.0,f_classif,298.0,15.0,3.0,7.0,sqrt,True,,,,,,,,,,
RF,4,0.8086,0.822,0.8177,0.8095,0.8342,0.8086,0.8093,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 456, 'clf__max_depth': 11, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.9688,0.7045,0.8158,0.7656,0.8596,0.8099,0.7317,0.8889,0.8027,42.0,f_classif,456.0,11.0,10.0,5.0,sqrt,False,,,,,,,,,,
RF,5,0.8026,0.7973,0.7796,0.7878,0.8019,0.8026,0.8017,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 100, 'clf__max_depth': 6, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",0.7442,0.6809,0.7111,0.8448,0.8167,0.8305,0.803,0.8413,0.8217,42.0,f_classif,100.0,6.0,3.0,9.0,sqrt,False,balanced,,,,,,,,,
XGB,1,0.7992,0.8168,0.7898,0.8006,0.8058,0.7992,0.7998,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 400, 'clf__max_depth': 12, 'clf__learning_rate': 0.02083465724178921, 'clf__subsample': 0.7012370048121255, 'clf__colsample_bytree': 0.7801512018368411, 'clf__min_child_weight': 7, 'clf__gamma': 3.1347206340205345, 'clf__reg_alpha': 0.11284677066551851, 'clf__reg_lambda': 0.429198278803635}",0.8983,0.7681,0.8281,0.8,0.7619,0.7805,0.752,0.8393,0.7932,21.0,f_classif,400.0,12.0,,,,,,0.02083465724178921,0.7012370048121255,0.7801512018368411,7.0,3.1347206340205345,0.11284677066551851,0.429198278803635,,
XGB,2,0.6497,0.6834,0.6283,0.6346,0.6841,0.6497,0.647,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 412, 'clf__max_depth': 9, 'clf__learning_rate': 0.07472004227234182, 'clf__subsample': 0.8181121585319173, 'clf__colsample_bytree': 0.6524781280026353, 'clf__min_child_weight': 4, 'clf__gamma': 2.096884016271084, 'clf__reg_alpha': 0.2062753135851083, 'clf__reg_lambda': 1.8466416007575832}",0.6707,0.8116,0.7344,0.875,0.49,0.6282,0.5045,0.5833,0.5411,21.0,f_classif,412.0,9.0,,,,,,0.07472004227234182,0.8181121585319173,0.6524781280026353,4.0,2.096884016271084,0.2062753135851083,1.8466416007575832,,
XGB,3,0.7321,0.7386,0.7321,0.7127,0.7478,0.7321,0.7122,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 243, 'clf__max_depth': 4, 'clf__learning_rate': 0.0194527870167804, 'clf__subsample': 0.7443198709282677, 'clf__colsample_bytree': 0.6432848049299871, 'clf__min_child_weight': 10, 'clf__gamma': 4.962767355240607, 'clf__reg_alpha': 0.8329511835446471, 'clf__reg_lambda': 1.0014703274442662}",0.7143,0.9777,0.8255,0.6974,0.7571,0.726,0.8041,0.4615,0.5865,94.0,f_classif,243.0,4.0,,,,,,0.0194527870167804,0.7443198709282677,0.6432848049299871,10.0,4.962767355240607,0.8329511835446471,1.0014703274442662,,
XGB,4,0.8086,0.8358,0.8175,0.813,0.8422,0.8086,0.8088,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 270, 'clf__max_depth': 4, 'clf__learning_rate': 0.28975611428819353, 'clf__subsample': 0.9569331539847317, 'clf__colsample_bytree': 0.9563639321218855, 'clf__min_child_weight': 4, 'clf__gamma': 1.906215682266151, 'clf__reg_alpha': 0.9900094190212506, 'clf__reg_lambda': 0.42574870782511137}",0.989,0.6818,0.8072,0.8033,0.8596,0.8305,0.7151,0.9111,0.8013,31.0,f_classif,270.0,4.0,,,,,,0.28975611428819353,0.9569331539847317,0.9563639321218855,4.0,1.906215682266151,0.9900094190212506,0.42574870782511137,,
XGB,5,0.8112,0.8179,0.7746,0.7927,0.8162,0.8112,0.8103,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 294, 'clf__max_depth': 7, 'clf__learning_rate': 0.012696500474651625, 'clf__subsample': 0.6300469524176395, 'clf__colsample_bytree': 0.6988142804473558, 'clf__min_child_weight': 6, 'clf__gamma': 2.393656980247907, 'clf__reg_alpha': 1.7983525496291546, 'clf__reg_lambda': 0.15337063951762323}",0.7209,0.6596,0.6889,0.94,0.7833,0.8545,0.7929,0.881,0.8346,94.0,f_classif,294.0,7.0,,,,,,0.012696500474651625,0.6300469524176395,0.6988142804473558,6.0,2.393656980247907,1.7983525496291546,0.15337063951762323,,
DT,1,0.5041,0.4879,0.4527,0.3965,0.5113,0.5041,0.444,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.5,0.0435,0.08,0.3608,0.5556,0.4375,0.6028,0.7589,0.6719,52.0,f_classif,,2.0,13.0,10.0,log2,,balanced,,,,,,,,entropy,best
DT,2,0.5659,0.6067,0.5432,0.5467,0.6138,0.5659,0.5642,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': None}",0.6456,0.7391,0.6892,0.7917,0.38,0.5135,0.3828,0.5104,0.4375,21.0,f_classif,,2.0,12.0,10.0,,,,,,,,,,,gini,best
DT,3,0.445,0.5109,0.4882,0.4289,0.5834,0.445,0.4509,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.6333,0.2123,0.318,0.2174,0.6429,0.3249,0.6821,0.6095,0.6438,21.0,f_classif,,2.0,17.0,2.0,log2,,balanced,,,,,,,,gini,best
DT,4,0.784,0.8274,0.7473,0.767,0.8256,0.784,0.7841,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.9792,0.7121,0.8246,0.8293,0.5965,0.6939,0.6738,0.9333,0.7826,73.0,f_classif,,2.0,16.0,9.0,,,,,,,,,,,gini,random
DT,5,0.7253,0.7863,0.6517,0.682,0.7605,0.7253,0.7105,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 6, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.7436,0.617,0.6744,0.9286,0.4333,0.5909,0.6867,0.9048,0.7808,73.0,f_classif,,2.0,13.0,6.0,,,,,,,,,,,gini,random
