Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.8146,0.8349,0.8003,0.8144,0.8211,0.8146,0.8147,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 433, 'clf__max_depth': 14, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.9268,0.8085,0.8636,0.8095,0.7234,0.764,0.7684,0.869,0.8156,31.0,f_classif,433.0,14.0,9.0,4.0,sqrt,True,,,,,,,,,,
RF,2,0.6169,0.645,0.5935,0.6002,0.6523,0.6169,0.6169,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 308, 'clf__max_depth': 18, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6639,0.7788,0.7168,0.8372,0.48,0.6102,0.4337,0.5217,0.4737,10.0,f_classif,308.0,18.0,5.0,2.0,sqrt,True,,,,,,,,,,
RF,3,0.7419,0.7591,0.7746,0.7234,0.7847,0.7419,0.7152,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 448, 'clf__max_depth': 7, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7263,0.9848,0.836,0.6528,0.9216,0.7642,0.8983,0.4173,0.5699,42.0,f_classif,448.0,7.0,8.0,3.0,sqrt,True,,,,,,,,,,
RF,4,0.8292,0.8364,0.8432,0.8309,0.85,0.8292,0.8298,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 481, 'clf__max_depth': 18, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.973,0.7347,0.8372,0.7755,0.9048,0.8352,0.7607,0.89,0.8203,31.0,f_classif,481.0,18.0,10.0,5.0,sqrt,False,,,,,,,,,,
RF,5,0.8012,0.8016,0.7696,0.783,0.8047,0.8012,0.8006,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 202, 'clf__max_depth': 14, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7188,0.697,0.7077,0.8919,0.75,0.8148,0.7941,0.8617,0.8265,42.0,f_classif,202.0,14.0,14.0,3.0,sqrt,True,,,,,,,,,,
XGB,1,0.7865,0.8068,0.7711,0.7853,0.7929,0.7865,0.7861,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 300, 'clf__max_depth': 10, 'clf__learning_rate': 0.12422864686446453, 'clf__subsample': 0.7101556694352882, 'clf__colsample_bytree': 0.9098765562422001, 'clf__min_child_weight': 5, 'clf__gamma': 3.686077207119025, 'clf__reg_alpha': 1.7983525496291546, 'clf__reg_lambda': 0.11444210711575487}",0.881,0.7872,0.8315,0.8,0.6809,0.7356,0.7396,0.8452,0.7889,21.0,f_classif,300.0,10.0,,,,,,0.12422864686446453,0.7101556694352882,0.9098765562422001,5.0,3.686077207119025,1.7983525496291546,0.11444210711575487,,
XGB,2,0.6613,0.6863,0.6402,0.6473,0.6902,0.6613,0.6607,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 396, 'clf__max_depth': 9, 'clf__learning_rate': 0.04096399417370173, 'clf__subsample': 0.9603238008940421, 'clf__colsample_bytree': 0.6974040046404777, 'clf__min_child_weight': 6, 'clf__gamma': 1.7896774280223604, 'clf__reg_alpha': 0.026948726589264373, 'clf__reg_lambda': 1.7752980193413488}",0.6829,0.8077,0.7401,0.8696,0.5333,0.6612,0.5063,0.5797,0.5405,10.0,f_classif,396.0,9.0,,,,,,0.04096399417370173,0.9603238008940421,0.6974040046404777,6.0,1.7896774280223604,0.026948726589264373,1.7752980193413488,,
XGB,3,0.7355,0.756,0.7574,0.716,0.7746,0.7355,0.7074,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 260, 'clf__max_depth': 10, 'clf__learning_rate': 0.04191836986730093, 'clf__subsample': 0.7785464911696146, 'clf__colsample_bytree': 0.8794030830388812, 'clf__min_child_weight': 9, 'clf__gamma': 1.4976816404647568, 'clf__reg_alpha': 0.8044086110629275, 'clf__reg_lambda': 0.6406794705158333}",0.7097,1.0,0.8302,0.6769,0.8627,0.7586,0.8814,0.4094,0.5591,52.0,f_classif,260.0,10.0,,,,,,0.04191836986730093,0.7785464911696146,0.8794030830388812,9.0,1.4976816404647568,0.8044086110629275,0.6406794705158333,,
XGB,4,0.7958,0.8213,0.816,0.802,0.8347,0.7958,0.7962,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 360, 'clf__max_depth': 8, 'clf__learning_rate': 0.05432652137587149, 'clf__subsample': 0.6197605051030849, 'clf__colsample_bytree': 0.9256323450999511, 'clf__min_child_weight': 1, 'clf__gamma': 2.9453236961829488, 'clf__reg_alpha': 1.9966157022700766, 'clf__reg_lambda': 1.6789519943764992}",1.0,0.6633,0.7975,0.76,0.9048,0.8261,0.704,0.88,0.7822,21.0,f_classif,360.0,8.0,,,,,,0.05432652137587149,0.6197605051030849,0.9256323450999511,1.0,2.9453236961829488,1.9966157022700766,1.6789519943764992,,
XGB,5,0.8012,0.8048,0.7812,0.7875,0.81,0.8012,0.8013,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 477, 'clf__max_depth': 9, 'clf__learning_rate': 0.05092343147632006, 'clf__subsample': 0.6441739540964568, 'clf__colsample_bytree': 0.6854406750287904, 'clf__min_child_weight': 5, 'clf__gamma': 4.628816086679441, 'clf__reg_alpha': 1.9929638090390496, 'clf__reg_lambda': 1.7218061543457859}",0.7027,0.7879,0.7429,0.9118,0.7045,0.7949,0.8,0.8511,0.8247,10.0,f_classif,477.0,9.0,,,,,,0.05092343147632006,0.6441739540964568,0.6854406750287904,5.0,4.628816086679441,1.9929638090390496,1.7218061543457859,,
