Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7712,0.7908,0.7601,0.7723,0.7786,0.7712,0.7717,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 397, 'clf__max_depth': 19, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.866,0.7671,0.8136,0.7919,0.6954,0.7405,0.7147,0.8176,0.7627,42,f_classif,397.0,19.0,10.0,8.0,sqrt,False,,,,,,,,,,
RF,2,0.6524,0.6771,0.6318,0.6385,0.6831,0.6524,0.653,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 311, 'clf__max_depth': 9, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6901,0.7921,0.7376,0.8571,0.5243,0.6506,0.4839,0.5789,0.5272,21,f_classif,311.0,9.0,10.0,3.0,log2,True,,,,,,,,,,
RF,3,0.7418,0.7503,0.7577,0.7192,0.7705,0.7418,0.717,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 464, 'clf__max_depth': 7, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.7335,0.9855,0.841,0.6596,0.8611,0.747,0.8577,0.4263,0.5696,42,f_classif,464.0,7.0,6.0,10.0,log2,True,balanced,,,,,,,,,
RF,4,0.7938,0.8087,0.8106,0.7963,0.8283,0.7938,0.796,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 265, 'clf__max_depth': 9, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.9898,0.6954,0.8169,0.7327,0.8785,0.799,0.7035,0.8579,0.773,52,f_classif,265.0,9.0,6.0,2.0,sqrt,True,,,,,,,,,,
RF,5,0.795,0.8007,0.7704,0.7834,0.7979,0.795,0.7944,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 294, 'clf__max_depth': 12, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7448,0.7013,0.7224,0.8765,0.7594,0.8138,0.7807,0.8504,0.8141,52,f_classif,294.0,12.0,18.0,4.0,sqrt,True,,,,,,,,,,
XGB,1,0.7831,0.804,0.7719,0.7846,0.7908,0.7831,0.7835,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 223, 'clf__max_depth': 4, 'clf__learning_rate': 0.018764336201126223, 'clf__subsample': 0.6017217037246786, 'clf__colsample_bytree': 0.8484432168112981, 'clf__min_child_weight': 6, 'clf__gamma': 4.9846349715356855, 'clf__reg_alpha': 1.3218681171963726, 'clf__reg_lambda': 0.5139911371178132}",0.8608,0.7626,0.8087,0.8256,0.7208,0.7696,0.7256,0.8324,0.7753,21,f_classif,223.0,4.0,,,,,,0.018764336201126223,0.6017217037246786,0.8484432168112981,6.0,4.9846349715356855,1.3218681171963726,0.5139911371178132,,
XGB,2,0.6534,0.6827,0.6293,0.6357,0.6869,0.6534,0.6512,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 183, 'clf__max_depth': 9, 'clf__learning_rate': 0.034100983771224405, 'clf__subsample': 0.7575298000590621, 'clf__colsample_bytree': 0.6048219186879759, 'clf__min_child_weight': 3, 'clf__gamma': 3.4906339545096494, 'clf__reg_alpha': 0.3951739918292455, 'clf__reg_lambda': 0.7162113153088331}",0.6808,0.8176,0.7429,0.875,0.4984,0.6351,0.4924,0.5719,0.5292,21,f_classif,183.0,9.0,,,,,,0.034100983771224405,0.7575298000590621,0.6048219186879759,3.0,3.4906339545096494,0.3951739918292455,0.7162113153088331,,
XGB,3,0.7543,0.7554,0.7508,0.7367,0.7641,0.7543,0.7393,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__learning_rate': 0.010063969898527194, 'clf__subsample': 0.7151665016542049, 'clf__colsample_bytree': 0.969525537737715, 'clf__min_child_weight': 1, 'clf__gamma': 2.897104356503162, 'clf__reg_alpha': 0.3139871328273258, 'clf__reg_lambda': 0.5456497532349417}",0.7427,0.9711,0.8417,0.7155,0.7685,0.7411,0.808,0.5128,0.6274,42,f_classif,349.0,3.0,,,,,,0.010063969898527194,0.7151665016542049,0.969525537737715,1.0,2.897104356503162,0.3139871328273258,0.5456497532349417,,
XGB,4,0.7858,0.8132,0.8055,0.7926,0.8265,0.7858,0.7864,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 284, 'clf__max_depth': 6, 'clf__learning_rate': 0.012977315694968787, 'clf__subsample': 0.7937447500273656, 'clf__colsample_bytree': 0.6821735257966102, 'clf__min_child_weight': 2, 'clf__gamma': 4.573213681897916, 'clf__reg_alpha': 1.1181355299432538, 'clf__reg_lambda': 0.00813846483782621}",0.9891,0.6547,0.7879,0.7656,0.884,0.8205,0.6848,0.8778,0.7694,21,f_classif,284.0,6.0,,,,,,0.012977315694968787,0.7937447500273656,0.6821735257966102,2.0,4.573213681897916,1.1181355299432538,0.00813846483782621,,
XGB,5,0.7922,0.7984,0.7582,0.7751,0.7956,0.7922,0.7909,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 173, 'clf__max_depth': 9, 'clf__learning_rate': 0.015485669607442213, 'clf__subsample': 0.6336657051640473, 'clf__colsample_bytree': 0.8318103285844156, 'clf__min_child_weight': 7, 'clf__gamma': 0.8099641760383761, 'clf__reg_alpha': 1.473601029167654, 'clf__reg_lambda': 0.5116569652070749}",0.7037,0.6169,0.6574,0.9198,0.7968,0.8539,0.7718,0.8609,0.8139,42,f_classif,173.0,9.0,,,,,,0.015485669607442213,0.6336657051640473,0.8318103285844156,7.0,0.8099641760383761,1.473601029167654,0.5116569652070749,,
