Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7989,0.8197,0.7883,0.8006,0.8069,0.7989,0.7995,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 456, 'clf__max_depth': 16, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.8913,0.7593,0.82,0.8242,0.7576,0.7895,0.7436,0.848,0.7923,42.0,f_classif,456.0,16.0,8.0,7.0,sqrt,True,,,,,,,,,,
RF,2,0.6505,0.6775,0.6306,0.6365,0.6842,0.6505,0.6511,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 495, 'clf__max_depth': 16, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6923,0.7917,0.7387,0.8602,0.5128,0.6426,0.48,0.5874,0.5283,31.0,f_classif,495.0,16.0,5.0,1.0,sqrt,True,,,,,,,,,,
RF,3,0.752,0.7599,0.7683,0.7307,0.7805,0.752,0.7289,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 114, 'clf__max_depth': 7, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.7439,0.9891,0.8491,0.6667,0.8727,0.7559,0.8692,0.4431,0.587,31.0,f_classif,114.0,7.0,19.0,1.0,log2,True,balanced,,,,,,,,,
RF,4,0.7928,0.8186,0.8097,0.7986,0.8314,0.7928,0.7938,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 316, 'clf__max_depth': 15, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.9929,0.6683,0.7989,0.7692,0.8791,0.8205,0.6938,0.8818,0.7766,42.0,f_classif,316.0,15.0,17.0,6.0,sqrt,False,,,,,,,,,,
RF,5,0.826,0.8256,0.8054,0.8142,0.8293,0.826,0.8264,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 228, 'clf__max_depth': 16, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7297,0.7297,0.7297,0.9286,0.8211,0.8715,0.8186,0.8653,0.8413,73.0,f_classif,228.0,16.0,7.0,5.0,sqrt,True,,,,,,,,,,
XGB,1,0.7593,0.7874,0.7434,0.7596,0.7712,0.7593,0.7594,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 376, 'clf__max_depth': 8, 'clf__learning_rate': 0.01978433480135107, 'clf__subsample': 0.7546555856503595, 'clf__colsample_bytree': 0.655874821874246, 'clf__min_child_weight': 6, 'clf__gamma': 4.0200894454726, 'clf__reg_alpha': 0.14652653320154682, 'clf__reg_lambda': 1.7224118494555607}",0.837,0.713,0.77,0.8293,0.6869,0.7514,0.6961,0.8304,0.7573,31.0,f_classif,376.0,8.0,,,,,,0.01978433480135107,0.7546555856503595,0.655874821874246,6.0,4.0200894454726,0.14652653320154682,1.7224118494555607,,
XGB,2,0.633,0.6644,0.6077,0.6114,0.6706,0.633,0.6287,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 377, 'clf__max_depth': 7, 'clf__learning_rate': 0.04096399417370173, 'clf__subsample': 0.784470702307805, 'clf__colsample_bytree': 0.9138046979809548, 'clf__min_child_weight': 2, 'clf__gamma': 4.282303738232989, 'clf__reg_alpha': 0.027005572057196225, 'clf__reg_lambda': 0.46096147823468825}",0.6743,0.8148,0.7379,0.8537,0.4487,0.5882,0.4651,0.5594,0.5079,73.0,f_classif,377.0,7.0,,,,,,0.04096399417370173,0.784470702307805,0.9138046979809548,2.0,4.282303738232989,0.027005572057196225,0.46096147823468825,,
XGB,3,0.7426,0.7488,0.7435,0.7233,0.758,0.7426,0.7229,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 248, 'clf__max_depth': 12, 'clf__learning_rate': 0.015418218046104435, 'clf__subsample': 0.6322439929264305, 'clf__colsample_bytree': 0.9564536948962393, 'clf__min_child_weight': 10, 'clf__gamma': 3.229347930427876, 'clf__reg_alpha': 1.909496179000354, 'clf__reg_lambda': 1.2431157110863589}",0.7265,0.9819,0.8351,0.7049,0.7818,0.7414,0.8151,0.4667,0.5935,73.0,f_classif,248.0,12.0,,,,,,0.015418218046104435,0.6322439929264305,0.9564536948962393,10.0,3.229347930427876,1.909496179000354,1.2431157110863589,,
XGB,4,0.7948,0.8286,0.8094,0.8021,0.8372,0.7948,0.7954,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 110, 'clf__max_depth': 7, 'clf__learning_rate': 0.04388142851830458, 'clf__subsample': 0.6978850286192697, 'clf__colsample_bytree': 0.9257213969730808, 'clf__min_child_weight': 6, 'clf__gamma': 2.93417380683953, 'clf__reg_alpha': 1.4482767444277638, 'clf__reg_lambda': 0.31182541726436763}",1.0,0.6587,0.7942,0.798,0.8681,0.8316,0.688,0.9015,0.7804,21.0,f_classif,110.0,7.0,,,,,,0.04388142851830458,0.6978850286192697,0.9257213969730808,6.0,2.93417380683953,1.4482767444277638,0.31182541726436763,,
XGB,5,0.8039,0.8037,0.7759,0.788,0.8075,0.8039,0.804,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 419, 'clf__max_depth': 11, 'clf__learning_rate': 0.013817132331574118, 'clf__subsample': 0.6233371982011976, 'clf__colsample_bytree': 0.7215904196458885, 'clf__min_child_weight': 7, 'clf__gamma': 3.047661672971571, 'clf__reg_alpha': 1.6021946543363985, 'clf__reg_lambda': 0.24149790633954255}",0.6901,0.6622,0.6759,0.9277,0.8105,0.8652,0.7933,0.8549,0.8229,73.0,f_classif,419.0,11.0,,,,,,0.013817132331574118,0.6233371982011976,0.7215904196458885,7.0,3.047661672971571,1.6021946543363985,0.24149790633954255,,
