Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7977,0.8287,0.763,0.786,0.8101,0.7977,0.7947,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 368, 'clf__max_depth': 13, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.925,0.7872,0.8506,0.8197,0.6024,0.6944,0.7415,0.8994,0.8128,31.0,f_classif,368.0,13.0,9.0,5.0,sqrt,True,,,,,,,,,,
RF,2,0.619,0.6528,0.6047,0.6114,0.653,0.619,0.6208,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 298, 'clf__max_depth': 7, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6636,0.72,0.6906,0.8193,0.4857,0.6099,0.4754,0.6084,0.5337,10.0,f_classif,298.0,7.0,16.0,10.0,sqrt,True,,,,,,,,,,
RF,3,0.7143,0.7295,0.748,0.6863,0.7666,0.7143,0.6822,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 407, 'clf__max_depth': 6, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",0.7119,0.9885,0.8277,0.5887,0.883,0.7064,0.8879,0.3725,0.5249,52.0,f_classif,407.0,6.0,16.0,2.0,log2,False,balanced,,,,,,,,,
RF,4,0.7897,0.7908,0.8035,0.7834,0.8229,0.7897,0.7929,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 313, 'clf__max_depth': 6, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.9853,0.7053,0.8221,0.6562,0.863,0.7456,0.7308,0.8424,0.7826,21.0,f_classif,313.0,6.0,4.0,6.0,log2,False,,,,,,,,,,
RF,5,0.8121,0.7979,0.7742,0.7846,0.8144,0.8121,0.812,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 294, 'clf__max_depth': 13, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6724,0.6724,0.6724,0.8986,0.7848,0.8378,0.8227,0.8653,0.8434,52.0,f_classif,294.0,13.0,3.0,9.0,sqrt,True,,,,,,,,,,
XGB,1,0.7803,0.8083,0.7425,0.7646,0.7916,0.7803,0.776,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 286, 'clf__max_depth': 7, 'clf__learning_rate': 0.013941158671494754, 'clf__subsample': 0.6328610343583784, 'clf__colsample_bytree': 0.6788634855245298, 'clf__min_child_weight': 8, 'clf__gamma': 3.1310468977845685, 'clf__reg_alpha': 0.5820601294002055, 'clf__reg_lambda': 1.1237644067927364}",0.9375,0.7979,0.8621,0.7627,0.5422,0.6338,0.7246,0.8876,0.7979,21.0,f_classif,286.0,7.0,,,,,,0.013941158671494754,0.6328610343583784,0.6788634855245298,8.0,3.1310468977845685,0.5820601294002055,1.1237644067927364,,
XGB,2,0.6563,0.6882,0.6341,0.642,0.6844,0.6563,0.6528,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 57, 'clf__max_depth': 11, 'clf__learning_rate': 0.22439848226094772, 'clf__subsample': 0.901418872638222, 'clf__colsample_bytree': 0.6458230359485807, 'clf__min_child_weight': 2, 'clf__gamma': 3.715432205696797, 'clf__reg_alpha': 1.7983525496291546, 'clf__reg_lambda': 1.9787743760621654}",0.6653,0.815,0.7326,0.8642,0.5,0.6335,0.535,0.5874,0.56,31.0,f_classif,57.0,11.0,,,,,,0.22439848226094772,0.901418872638222,0.6458230359485807,2.0,3.715432205696797,1.7983525496291546,1.9787743760621654,,
XGB,3,0.7192,0.7287,0.734,0.6943,0.7572,0.7192,0.6944,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 441, 'clf__max_depth': 6, 'clf__learning_rate': 0.014895718913746357, 'clf__subsample': 0.6642184948852838, 'clf__colsample_bytree': 0.688048138370125, 'clf__min_child_weight': 10, 'clf__gamma': 2.1423154725171103, 'clf__reg_alpha': 1.3793654394432275, 'clf__reg_lambda': 0.7085459149027944}",0.7033,0.9846,0.8205,0.6198,0.7979,0.6977,0.8629,0.4196,0.5646,52.0,f_classif,441.0,6.0,,,,,,0.014895718913746357,0.6642184948852838,0.688048138370125,10.0,2.1423154725171103,1.3793654394432275,0.7085459149027944,,
XGB,4,0.7983,0.7968,0.8105,0.7925,0.8252,0.7983,0.8009,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 78, 'clf__max_depth': 8, 'clf__learning_rate': 0.04458968607858953, 'clf__subsample': 0.6278709118240596, 'clf__colsample_bytree': 0.9718344129313948, 'clf__min_child_weight': 1, 'clf__gamma': 2.8121876368564984, 'clf__reg_alpha': 1.3688127407386605, 'clf__reg_lambda': 0.4739521399455878}",0.9716,0.7211,0.8278,0.6774,0.863,0.759,0.7414,0.8473,0.7908,52.0,f_classif,78.0,8.0,,,,,,0.04458968607858953,0.6278709118240596,0.9718344129313948,1.0,2.8121876368564984,1.3688127407386605,0.4739521399455878,,
XGB,5,0.8091,0.8008,0.7579,0.776,0.8132,0.8091,0.8082,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 241, 'clf__max_depth': 6, 'clf__learning_rate': 0.013195763620518471, 'clf__subsample': 0.7496922833597893, 'clf__colsample_bytree': 0.8185186384535889, 'clf__min_child_weight': 7, 'clf__gamma': 2.34108509082385, 'clf__reg_alpha': 0.8743572189053939, 'clf__reg_lambda': 1.8819948265032762}",0.6545,0.6207,0.6372,0.9385,0.7722,0.8472,0.8095,0.8808,0.8437,42.0,f_classif,241.0,6.0,,,,,,0.013195763620518471,0.7496922833597893,0.8185186384535889,7.0,2.34108509082385,0.8743572189053939,1.8819948265032762,,
