Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
DT,1,0.654,0.7542,0.5735,0.5814,0.7212,0.654,0.6156,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.9174,0.5917,0.7194,0.7632,0.1921,0.3069,0.5821,0.9366,0.7179,73,f_classif,,2.0,7.0,7.0,,,,,,,,,,,gini,random
DT,2,0.573,0.546,0.5364,0.5328,0.5584,0.573,0.5568,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.6427,0.829,0.7241,0.6304,0.4774,0.5433,0.365,0.3029,0.3311,all,f_classif,,2.0,18.0,10.0,,,balanced,,,,,,,,gini,best
DT,3,0.4129,0.4773,0.4614,0.4111,0.5458,0.4129,0.435,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.5064,0.2646,0.3476,0.2046,0.6407,0.3101,0.7208,0.4789,0.5755,21,f_classif,,2.0,17.0,2.0,sqrt,,balanced,,,,,,,,gini,best
DT,4,0.5985,0.3973,0.4799,0.4342,0.4951,0.5985,0.5412,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.5652,0.6303,0.596,0.0,0.0,0.0,0.6267,0.8095,0.7065,31,f_classif,,3.0,10.0,6.0,sqrt,,,,,,,,,,gini,random
DT,5,0.6365,0.6035,0.4902,0.4815,0.6495,0.6365,0.5891,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.3391,0.3482,0.3436,0.7647,0.1818,0.2938,0.7066,0.9406,0.807,31,f_classif,,2.0,11.0,3.0,,,,,,,,,,,gini,random
RF,MEAN,0.7561,0.7698,0.7454,0.7434,0.7771,0.7561,0.7516,N/A,N/A,N/A,0.806,0.7834,0.7844,0.7837,0.7153,0.7338,0.7198,0.7375,0.712,,,,,,,,,,,,,,,,,,
RF,STD,0.0633,0.0599,0.0667,0.0671,0.0588,0.0633,0.0661,N/A,N/A,N/A,0.1437,0.1195,0.0747,0.105,0.1454,0.0749,0.1255,0.1993,0.1297,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7555,0.7708,0.7457,0.7437,0.7763,0.7555,0.7501,N/A,N/A,N/A,0.7978,0.7839,0.7771,0.7921,0.7247,0.7445,0.7224,0.7283,0.7096,,,,,,,,,,,,,,,,,,
XGB,STD,0.055,0.0515,0.06,0.0589,0.0523,0.055,0.0579,N/A,N/A,N/A,0.1392,0.1469,0.0755,0.1118,0.142,0.0795,0.1176,0.1978,0.1247,,,,,,,,,,,,,,,,,,
DT,MEAN,0.575,0.5557,0.5083,0.4882,0.594,0.575,0.5475,N/A,N/A,N/A,0.5942,0.5328,0.5461,0.4726,0.2984,0.2908,0.6002,0.6937,0.6276,,,,,,,,,,,,,,,,,,
DT,STD,0.096,0.1351,0.0458,0.07,0.0903,0.096,0.0692,N/A,N/A,N/A,0.2124,0.2273,0.1901,0.3499,0.2565,0.193,0.1434,0.2882,0.1852,,,,,,,,,,,,,,,,,,
