Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7838,0.8083,0.7695,0.7844,0.7934,0.7838,0.784,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 258, 'clf__max_depth': 8, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.8736,0.7379,0.8,0.8256,0.7245,0.7717,0.7259,0.8462,0.7814,31.0,f_classif,258.0,8.0,4.0,4.0,sqrt,True,,,,,,,,,,
RF,2,0.6391,0.6709,0.6216,0.6264,0.6771,0.6391,0.6401,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 92, 'clf__max_depth': 9, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6878,0.7689,0.7261,0.8523,0.4902,0.6224,0.4725,0.6056,0.5309,21.0,f_classif,92.0,9.0,4.0,4.0,log2,True,,,,,,,,,,
RF,3,0.7488,0.7561,0.7661,0.7286,0.7765,0.7488,0.7261,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 496, 'clf__max_depth': 13, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.739,0.9853,0.8446,0.6667,0.8679,0.7541,0.8626,0.4449,0.587,42.0,f_classif,496.0,13.0,11.0,7.0,sqrt,True,,,,,,,,,,
RF,4,0.7972,0.8223,0.8152,0.8052,0.8312,0.7972,0.798,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 295, 'clf__max_depth': 20, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.9789,0.678,0.8012,0.7921,0.8889,0.8377,0.696,0.8788,0.7768,31.0,f_classif,295.0,20.0,18.0,10.0,sqrt,True,,,,,,,,,,
RF,5,0.8249,0.831,0.8057,0.8161,0.8282,0.8249,0.8245,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 311, 'clf__max_depth': 12, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7838,0.7838,0.7838,0.8974,0.7609,0.8235,0.8119,0.8723,0.841,21.0,f_classif,311.0,12.0,16.0,7.0,sqrt,True,,,,,,,,,,
XGB,1,0.7757,0.7971,0.7634,0.7767,0.7833,0.7757,0.7759,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 293, 'clf__max_depth': 9, 'clf__learning_rate': 0.03981242592160133, 'clf__subsample': 0.6278374710756325, 'clf__colsample_bytree': 0.9445922439366397, 'clf__min_child_weight': 3, 'clf__gamma': 4.695834943264415, 'clf__reg_alpha': 1.698652998415747, 'clf__reg_lambda': 1.4432866023755504}",0.8462,0.7476,0.7938,0.8235,0.7143,0.765,0.7216,0.8284,0.7713,31.0,f_classif,293.0,9.0,,,,,,0.03981242592160133,0.6278374710756325,0.9445922439366397,3.0,4.695834943264415,1.698652998415747,1.4432866023755504,,
XGB,2,0.6509,0.6896,0.6338,0.6399,0.6926,0.6509,0.6518,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 418, 'clf__max_depth': 7, 'clf__learning_rate': 0.27880931634929546, 'clf__subsample': 0.6889385427604511, 'clf__colsample_bytree': 0.6094781646023328, 'clf__min_child_weight': 4, 'clf__gamma': 4.216519216591328, 'clf__reg_alpha': 0.080061432677241, 'clf__reg_lambda': 0.25205984443513213}",0.679,0.7783,0.7253,0.8953,0.5033,0.6444,0.4944,0.6197,0.55,21.0,f_classif,418.0,7.0,,,,,,0.27880931634929546,0.6889385427604511,0.6094781646023328,4.0,4.216519216591328,0.080061432677241,0.25205984443513213,,
XGB,3,0.7314,0.7367,0.7427,0.7115,0.7508,0.7314,0.7083,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 320, 'clf__max_depth': 3, 'clf__learning_rate': 0.01307347483242261, 'clf__subsample': 0.8705042899249547, 'clf__colsample_bytree': 0.666342314507702, 'clf__min_child_weight': 9, 'clf__gamma': 4.2871237861055915, 'clf__reg_alpha': 1.5281619964390871, 'clf__reg_lambda': 0.452132866841295}",0.7209,0.9744,0.8287,0.6744,0.8208,0.7404,0.8148,0.4331,0.5656,42.0,f_classif,320.0,3.0,,,,,,0.01307347483242261,0.8705042899249547,0.666342314507702,9.0,4.2871237861055915,1.5281619964390871,0.452132866841295,,
XGB,4,0.7931,0.823,0.8079,0.8005,0.8313,0.7931,0.7941,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 393, 'clf__max_depth': 6, 'clf__learning_rate': 0.013668988097025088, 'clf__subsample': 0.7972383914514187, 'clf__colsample_bytree': 0.6590973526873768, 'clf__min_child_weight': 2, 'clf__gamma': 4.277038818015396, 'clf__reg_alpha': 0.7581828422049759, 'clf__reg_lambda': 0.16343872652241975}",0.9856,0.6683,0.7965,0.7959,0.8667,0.8298,0.6875,0.8889,0.7753,31.0,f_classif,393.0,6.0,,,,,,0.013668988097025088,0.7972383914514187,0.6590973526873768,2.0,4.277038818015396,0.7581828422049759,0.16343872652241975,,
XGB,5,0.8362,0.8602,0.8009,0.8246,0.8435,0.8362,0.8343,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 305, 'clf__max_depth': 3, 'clf__learning_rate': 0.26025633470263165, 'clf__subsample': 0.8959861959097547, 'clf__colsample_bytree': 0.9614503677095196, 'clf__min_child_weight': 2, 'clf__gamma': 4.676294070730552, 'clf__reg_alpha': 0.35749198574455265, 'clf__reg_lambda': 1.075132943335658}",0.873,0.7432,0.8029,0.9067,0.7391,0.8144,0.8009,0.9202,0.8564,21.0,f_classif,305.0,3.0,,,,,,0.26025633470263165,0.8959861959097547,0.9614503677095196,2.0,4.676294070730552,0.35749198574455265,1.075132943335658,,
