,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.7071,162.0,3.0,14.0,1.0,,True,,,,,,,,,
1,RF,2,0.5408,429.0,20.0,10.0,9.0,,True,,,,,,,,,
2,RF,3,0.4201,205.0,7.0,17.0,1.0,,True,,,,,,,,,
3,RF,4,0.5467,334.0,9.0,9.0,1.0,,True,,,,,,,,,
4,RF,5,0.5987,90.0,11.0,2.0,7.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6946,250.0,11.0,,,,,0.01401753574035082,0.6568200856510673,0.7442018475387333,5.0,0.363659992035986,1.6786543884596474,0.5490342783371417,,
6,XGB,2,0.5408,441.0,5.0,,,,,0.1301886298208531,0.6688536269610755,0.6273900800846123,9.0,2.4419046439457412,0.6527037495294952,1.6031809728685837,,
7,XGB,3,0.4231,354.0,8.0,,,,,0.0735243591437403,0.6466895783569385,0.7487998228316226,8.0,1.9694984267568154,1.2775267070670575,1.690406077866893,,
8,XGB,4,0.5184,391.0,9.0,,,,,0.08583646618366272,0.7243712482376289,0.8500589706877348,6.0,4.203863616697385,0.5150018213405856,1.018440607856419,,
9,XGB,5,0.592,165.0,5.0,,,,,0.012548519225569234,0.9474008622864487,0.7934615693944517,2.0,1.2085868846661945,1.9846496854869826,0.7312866000523723,,
10,DT,1,0.6151,,3.0,14.0,4.0,log2,,,,,,,,,gini,best
11,DT,2,0.4562,,5.0,18.0,9.0,log2,,,,,,,,,entropy,best
12,DT,3,0.432,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.5014,,3.0,16.0,8.0,sqrt,,,,,,,,,gini,best
14,DT,5,0.5585,,1.0,17.0,8.0,log2,,,,,,,,,gini,best
15,RF,MEAN,0.5627,,,,,,,,,,,,,,,
16,RF,STD,0.093,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5538,,,,,,,,,,,,,,,
18,XGB,STD,0.0892,,,,,,,,,,,,,,,
19,DT,MEAN,0.5126,,,,,,,,,,,,,,,
20,DT,STD,0.067,,,,,,,,,,,,,,,
