,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7078,0.7176,0.6032,0.594,0.7368,0.7078,0.6792,"{'n_estimators': 121, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 'log2', 'bootstrap': True}",121.0,5.0,5.0,8.0,log2,True,,,,,,,,,
1,RF,2,0.4409,0.3957,0.424,0.362,0.4469,0.4409,0.405,"{'n_estimators': 409, 'max_depth': 5, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 'log2', 'bootstrap': True}",409.0,5.0,12.0,7.0,log2,True,,,,,,,,,
2,RF,3,0.5043,0.4812,0.5022,0.4222,0.5382,0.5043,0.4705,"{'n_estimators': 427, 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'log2', 'bootstrap': True}",427.0,10.0,9.0,7.0,log2,True,,,,,,,,,
3,RF,4,0.5747,0.5534,0.4934,0.5075,0.5656,0.5747,0.561,"{'n_estimators': 107, 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'log2', 'bootstrap': True}",107.0,6.0,10.0,7.0,log2,True,,,,,,,,,
4,RF,5,0.5705,0.581,0.5235,0.5303,0.5835,0.5705,0.5624,"{'n_estimators': 392, 'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': False}",392.0,6.0,9.0,3.0,log2,False,,,,,,,,,
5,XGB,1,0.7304,0.7307,0.646,0.653,0.7446,0.7304,0.7141,"{'n_estimators': 267, 'max_depth': 3, 'learning_rate': 0.011942961398392175, 'subsample': 0.8362161072208332, 'colsample_bytree': 0.6650434056953325, 'min_child_weight': 8, 'gamma': 4.111059872032159, 'reg_alpha': 1.1295342320678308, 'reg_lambda': 0.33755162116431925}",267.0,3.0,,,,,0.011942961398392175,0.8362161072208332,0.6650434056953325,8.0,4.111059872032159,1.1295342320678308,0.33755162116431925,,
6,XGB,2,0.4882,0.4705,0.4545,0.4258,0.5146,0.4882,0.4692,"{'n_estimators': 442, 'max_depth': 7, 'learning_rate': 0.0451776229508803, 'subsample': 0.7437563076985625, 'colsample_bytree': 0.6465958856659794, 'min_child_weight': 5, 'gamma': 4.449930961681823, 'reg_alpha': 1.0260674206823945, 'reg_lambda': 0.0023643877697438523}",442.0,7.0,,,,,0.0451776229508803,0.7437563076985625,0.6465958856659794,5.0,4.449930961681823,1.0260674206823945,0.0023643877697438523,,
7,XGB,3,0.5145,0.5031,0.5277,0.4707,0.5584,0.5145,0.5032,"{'n_estimators': 431, 'max_depth': 9, 'learning_rate': 0.021925313108593154, 'subsample': 0.6033441195093107, 'colsample_bytree': 0.7766490421270443, 'min_child_weight': 7, 'gamma': 4.216638442959628, 'reg_alpha': 1.3764590239003986, 'reg_lambda': 0.9228096789737752}",431.0,9.0,,,,,0.021925313108593154,0.6033441195093107,0.7766490421270443,7.0,4.216638442959628,1.3764590239003986,0.9228096789737752,,
8,XGB,4,0.5724,0.536,0.5278,0.529,0.5634,0.5724,0.5643,"{'n_estimators': 167, 'max_depth': 3, 'learning_rate': 0.01018956435859667, 'subsample': 0.8290973248460497, 'colsample_bytree': 0.9622383611178279, 'min_child_weight': 3, 'gamma': 1.1626674118770999, 'reg_alpha': 0.6907404692479169, 'reg_lambda': 1.2140427621801761}",167.0,3.0,,,,,0.01018956435859667,0.8290973248460497,0.9622383611178279,3.0,1.1626674118770999,0.6907404692479169,1.2140427621801761,,
9,XGB,5,0.53,0.5387,0.4919,0.4971,0.5458,0.53,0.5249,"{'n_estimators': 69, 'max_depth': 3, 'learning_rate': 0.014335768545576983, 'subsample': 0.8099007107849233, 'colsample_bytree': 0.6997985580564803, 'min_child_weight': 1, 'gamma': 0.32811473320534923, 'reg_alpha': 1.494490752662525, 'reg_lambda': 0.07928985807784107}",69.0,3.0,,,,,0.014335768545576983,0.8099007107849233,0.6997985580564803,1.0,0.32811473320534923,1.494490752662525,0.07928985807784107,,
10,DT,1,0.6425,0.6347,0.5329,0.5096,0.6707,0.6425,0.6089,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 2, 'max_features': 'log2', 'splitter': 'best'}",,5.0,18.0,2.0,log2,,,,,,,,,entropy,best
11,DT,2,0.4659,0.3235,0.4738,0.362,0.3811,0.4659,0.4002,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': 'log2', 'splitter': 'best'}",,3.0,17.0,10.0,log2,,,,,,,,,gini,best
12,DT,3,0.4519,0.4508,0.487,0.3996,0.5159,0.4519,0.4293,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'random'}",,5.0,6.0,1.0,sqrt,,,,,,,,,entropy,random
13,DT,4,0.5385,0.4664,0.4589,0.4579,0.5278,0.5385,0.5273,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 'log2', 'splitter': 'random'}",,6.0,12.0,3.0,log2,,,,,,,,,entropy,random
14,DT,5,0.5316,0.3644,0.4475,0.3947,0.4497,0.5316,0.4792,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",,1.0,17.0,8.0,log2,,,,,,,,,gini,best
15,RF,MEAN,0.5596,0.5458,0.5093,0.4832,0.5742,0.5596,0.5356,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0993,0.1199,0.0644,0.0915,0.105,0.0993,0.104,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5671,0.5558,0.5296,0.5151,0.5854,0.5671,0.5551,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0963,0.1016,0.0718,0.0858,0.091,0.0963,0.0953,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.5261,0.448,0.48,0.4248,0.509,0.5261,0.489,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0756,0.1201,0.0331,0.0587,0.1077,0.0756,0.0827,N/A,,,,,,,,,,,,,,,
