,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.5986,174.0,5.0,4.0,2.0,log2,True,,,,,,,,,
1,RF,2,0.4388,127.0,4.0,16.0,6.0,log2,True,,,,,,,,,
2,RF,3,0.5325,187.0,4.0,15.0,5.0,log2,True,,,,,,,,,
3,RF,4,0.5276,473.0,7.0,18.0,7.0,log2,False,,,,,,,,,
4,RF,5,0.6043,248.0,5.0,19.0,6.0,log2,False,,,,,,,,,
5,XGB,1,0.5877,133.0,3.0,,,,,0.06113731055158916,0.8770452850049631,0.8825539813538574,2.0,4.525809323564775,1.6647988845035437,1.1674546545138258,,
6,XGB,2,0.4451,437.0,10.0,,,,,0.01697448911598911,0.661391121064335,0.9848355620628402,8.0,4.572269886602276,1.051838561977462,0.3423968392991469,,
7,XGB,3,0.565,274.0,5.0,,,,,0.047246527645281484,0.6014398847131033,0.9880271934157469,1.0,4.068409044678129,1.9880162837166937,0.0772795773279018,,
8,XGB,4,0.5195,401.0,7.0,,,,,0.018207090469720015,0.8659515464845774,0.7578493757750058,5.0,4.101887310454726,0.80967725901645,0.026358428761846797,,
9,XGB,5,0.5896,171.0,3.0,,,,,0.044769565092851744,0.802565611873692,0.7193483013121793,2.0,4.126632401033405,1.8456397480143079,0.8971266923828375,,
10,DT,1,0.5616,,2.0,4.0,8.0,,,,,,,,,,entropy,random
11,DT,2,0.4477,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.4889,,3.0,10.0,8.0,sqrt,,,,,,,,,gini,best
13,DT,4,0.5115,,3.0,16.0,6.0,log2,,,,,,,,,entropy,best
14,DT,5,0.5132,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5404,,,,,,,,,,,,,,,
16,RF,STD,0.06,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5414,,,,,,,,,,,,,,,
18,XGB,STD,0.0543,,,,,,,,,,,,,,,
19,DT,MEAN,0.5046,,,,,,,,,,,,,,,
20,DT,STD,0.037,,,,,,,,,,,,,,,
