,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7071,0.6706,0.5676,0.5856,0.6914,0.7071,0.6708,"{'n_estimators': 162, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}",162.0,3.0,14.0,1.0,,True,,,,,,,,,
1,RF,2,0.5408,0.5143,0.5006,0.4989,0.5345,0.5408,0.5315,"{'n_estimators': 429, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': None, 'bootstrap': True}",429.0,20.0,10.0,9.0,,True,,,,,,,,,
2,RF,3,0.4201,0.4088,0.4237,0.3701,0.4074,0.4201,0.371,"{'n_estimators': 205, 'max_depth': 7, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}",205.0,7.0,17.0,1.0,,True,,,,,,,,,
3,RF,4,0.5467,0.5074,0.5192,0.5034,0.5799,0.5467,0.5515,"{'n_estimators': 334, 'max_depth': 9, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}",334.0,9.0,9.0,1.0,,True,,,,,,,,,
4,RF,5,0.5987,0.575,0.5646,0.565,0.6038,0.5987,0.5975,"{'n_estimators': 90, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': False}",90.0,11.0,2.0,7.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6946,0.6406,0.609,0.6216,0.6863,0.6946,0.6881,"{'n_estimators': 250, 'max_depth': 11, 'learning_rate': 0.01401753574035082, 'subsample': 0.6568200856510673, 'colsample_bytree': 0.7442018475387333, 'min_child_weight': 5, 'gamma': 0.363659992035986, 'reg_alpha': 1.6786543884596474, 'reg_lambda': 0.5490342783371417}",250.0,11.0,,,,,0.01401753574035082,0.6568200856510673,0.7442018475387333,5.0,0.363659992035986,1.6786543884596474,0.5490342783371417,,
6,XGB,2,0.5408,0.5148,0.5078,0.5063,0.5384,0.5408,0.5358,"{'n_estimators': 441, 'max_depth': 5, 'learning_rate': 0.1301886298208531, 'subsample': 0.6688536269610755, 'colsample_bytree': 0.6273900800846123, 'min_child_weight': 9, 'gamma': 2.4419046439457412, 'reg_alpha': 0.6527037495294952, 'reg_lambda': 1.6031809728685837}",441.0,5.0,,,,,0.1301886298208531,0.6688536269610755,0.6273900800846123,9.0,2.4419046439457412,0.6527037495294952,1.6031809728685837,,
7,XGB,3,0.4231,0.3975,0.4273,0.3839,0.3969,0.4231,0.3838,"{'n_estimators': 354, 'max_depth': 8, 'learning_rate': 0.0735243591437403, 'subsample': 0.6466895783569385, 'colsample_bytree': 0.7487998228316226, 'min_child_weight': 8, 'gamma': 1.9694984267568154, 'reg_alpha': 1.2775267070670575, 'reg_lambda': 1.690406077866893}",354.0,8.0,,,,,0.0735243591437403,0.6466895783569385,0.7487998228316226,8.0,1.9694984267568154,1.2775267070670575,1.690406077866893,,
8,XGB,4,0.5184,0.4781,0.4881,0.4741,0.5478,0.5184,0.5223,"{'n_estimators': 391, 'max_depth': 9, 'learning_rate': 0.08583646618366272, 'subsample': 0.7243712482376289, 'colsample_bytree': 0.8500589706877348, 'min_child_weight': 6, 'gamma': 4.203863616697385, 'reg_alpha': 0.5150018213405856, 'reg_lambda': 1.018440607856419}",391.0,9.0,,,,,0.08583646618366272,0.7243712482376289,0.8500589706877348,6.0,4.203863616697385,0.5150018213405856,1.018440607856419,,
9,XGB,5,0.592,0.5734,0.5586,0.5605,0.5965,0.592,0.5902,"{'n_estimators': 165, 'max_depth': 5, 'learning_rate': 0.012548519225569234, 'subsample': 0.9474008622864487, 'colsample_bytree': 0.7934615693944517, 'min_child_weight': 2, 'gamma': 1.2085868846661945, 'reg_alpha': 1.9846496854869826, 'reg_lambda': 0.7312866000523723}",165.0,5.0,,,,,0.012548519225569234,0.9474008622864487,0.7934615693944517,2.0,1.2085868846661945,1.9846496854869826,0.7312866000523723,,
10,DT,1,0.6151,0.3691,0.4526,0.4046,0.527,0.6151,0.5659,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'log2', 'splitter': 'best'}",,3.0,14.0,4.0,log2,,,,,,,,,gini,best
11,DT,2,0.4562,0.4344,0.434,0.4332,0.4645,0.4562,0.4596,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'best'}",,5.0,18.0,9.0,log2,,,,,,,,,entropy,best
12,DT,3,0.432,0.2885,0.433,0.3448,0.2942,0.432,0.3485,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.5014,0.5123,0.5042,0.4784,0.6018,0.5014,0.5155,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'splitter': 'best'}",,3.0,16.0,8.0,sqrt,,,,,,,,,gini,best
14,DT,5,0.5585,0.399,0.4909,0.4185,0.5039,0.5585,0.5061,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",,1.0,17.0,8.0,log2,,,,,,,,,gini,best
15,RF,MEAN,0.5627,0.5352,0.5151,0.5046,0.5634,0.5627,0.5445,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.1039,0.0963,0.0587,0.0842,0.1042,0.1039,0.1108,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5538,0.5209,0.5182,0.5093,0.5532,0.5538,0.544,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0997,0.0924,0.0692,0.0897,0.1052,0.0997,0.1108,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.5126,0.4007,0.4629,0.4159,0.4783,0.5126,0.4791,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0749,0.0824,0.0329,0.0485,0.1144,0.0749,0.0822,N/A,,,,,,,,,,,,,,,
