,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6281,449.0,11.0,6.0,10.0,log2,True,,,,,,,,,
1,RF,2,0.6042,348.0,8.0,11.0,6.0,log2,True,,,,,,,,,
2,RF,3,0.5385,157.0,5.0,18.0,6.0,,True,,,,,,,,,
3,RF,4,0.4051,217.0,4.0,17.0,5.0,log2,False,,,,,,,,,
4,RF,5,0.6798,377.0,6.0,4.0,10.0,log2,True,,,,,,,,,
5,XGB,1,0.634,403.0,3.0,,,,,0.05237572043597848,0.732105622087776,0.689263016993851,1.0,4.4369908604358095,1.6518056878940546,1.6631487480025022,,
6,XGB,2,0.6004,192.0,5.0,,,,,0.09468763086391122,0.9385448512112797,0.8437876276776834,9.0,3.9184677863792885,1.5203222083579795,1.4336788714018627,,
7,XGB,3,0.5952,98.0,9.0,,,,,0.06508919316196791,0.6264905670847752,0.8747422165743509,1.0,4.995046299254978,1.9561848684275331,1.1590054347994299,,
8,XGB,4,0.386,441.0,8.0,,,,,0.01421390724130236,0.8139898563851254,0.6226517360583484,2.0,4.607192914768046,1.9941449218437786,1.839206620815206,,
9,XGB,5,0.6279,305.0,6.0,,,,,0.011846171693001608,0.7422523852977112,0.6709990438272081,10.0,2.870990087646084,1.620915278281347,0.9400171627018556,,
10,DT,1,0.5388,,1.0,9.0,2.0,log2,,,,,,,,,gini,random
11,DT,2,0.527,,3.0,3.0,6.0,,,,,,,,,,entropy,best
12,DT,3,0.5733,,2.0,6.0,3.0,log2,,,,,,,,,entropy,random
13,DT,4,0.3828,,1.0,2.0,3.0,,,,,,,,,,entropy,random
14,DT,5,0.553,,4.0,16.0,7.0,log2,,,,,,,,,entropy,best
15,RF,MEAN,0.5712,,,,,,,,,,,,,,,
16,RF,STD,0.0946,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5687,,,,,,,,,,,,,,,
18,XGB,STD,0.0926,,,,,,,,,,,,,,,
19,DT,MEAN,0.515,,,,,,,,,,,,,,,
20,DT,STD,0.0679,,,,,,,,,,,,,,,
