,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6095,173.0,7.0,3.0,6.0,,True,,,,,,,,,
1,RF,2,0.6061,211.0,4.0,7.0,6.0,,True,,,,,,,,,
2,RF,3,0.5253,281.0,13.0,2.0,7.0,,True,,,,,,,,,
3,RF,4,0.6541,481.0,13.0,6.0,4.0,log2,False,,,,,,,,,
4,RF,5,0.5665,382.0,13.0,20.0,8.0,log2,False,,,,,,,,,
5,XGB,1,0.6381,471.0,11.0,,,,,0.10033902948638207,0.7019658387090374,0.981650342709915,2.0,3.9918323572236294,1.7861487135636285,1.9149130642833458,,
6,XGB,2,0.5576,447.0,8.0,,,,,0.028384751942895404,0.886619415310442,0.7814106223313823,8.0,4.413122099386829,1.0452037830742769,1.330152780283696,,
7,XGB,3,0.5455,196.0,6.0,,,,,0.03133761240137578,0.8436473264896194,0.6098965371289271,8.0,0.007250058963767181,0.08245516163747307,1.7012359802664556,,
8,XGB,4,0.6164,229.0,5.0,,,,,0.016092366083157193,0.6042281258411868,0.9309928803268596,5.0,4.904273819297568,0.7414850802386804,0.7014050032919221,,
9,XGB,5,0.526,304.0,7.0,,,,,0.01619699286150809,0.6022046530804224,0.6244049946386432,2.0,1.5028424616511413,1.843408971689399,1.6274129254636682,,
10,DT,1,0.5714,,3.0,12.0,2.0,sqrt,,,,,,,,,entropy,random
11,DT,2,0.4606,,3.0,18.0,3.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.4293,,11.0,12.0,8.0,log2,,,,,,,,,entropy,random
13,DT,4,0.5535,,2.0,9.0,8.0,log2,,,,,,,,,gini,random
14,DT,5,0.4104,,4.0,10.0,8.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5923,,,,,,,,,,,,,,,
16,RF,STD,0.0435,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5767,,,,,,,,,,,,,,,
18,XGB,STD,0.043,,,,,,,,,,,,,,,
19,DT,MEAN,0.485,,,,,,,,,,,,,,,
20,DT,STD,0.0655,,,,,,,,,,,,,,,
