,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6512,417.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.4372,346.0,6.0,19.0,4.0,log2,True,,,,,,,,,
2,RF,3,0.5473,226.0,7.0,12.0,10.0,sqrt,True,,,,,,,,,
3,RF,4,0.5359,162.0,7.0,16.0,9.0,log2,False,,,,,,,,,
4,RF,5,0.6189,450.0,5.0,13.0,8.0,log2,False,,,,,,,,,
5,XGB,1,0.7027,154.0,3.0,,,,,0.0335729817675125,0.7468468855758761,0.8250122810664506,5.0,3.5329744661229174,1.2143685480664512,0.5345658993343937,,
6,XGB,2,0.406,99.0,3.0,,,,,0.039108913612204844,0.7727431143998708,0.9492504026639947,6.0,1.2624552854106552,0.614348638963732,1.9786919006534194,,
7,XGB,3,0.5436,167.0,11.0,,,,,0.012637124713745361,0.6999862492333339,0.6689718860925683,3.0,3.9956667101033685,1.673779688047131,1.1325729433816347,,
8,XGB,4,0.4907,452.0,6.0,,,,,0.026938661884427346,0.8057716223201136,0.789281867907875,5.0,2.7873506083198976,0.5400079796035442,0.16113807922047269,,
9,XGB,5,0.6097,71.0,3.0,,,,,0.02076245207434494,0.7432189351569813,0.9065865784013705,1.0,2.1600267226569043,0.5628339227143941,1.7368965790717363,,
10,DT,1,0.6019,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.4122,,4.0,20.0,8.0,sqrt,,,,,,,,,gini,best
12,DT,3,0.4995,,4.0,19.0,4.0,,,,,,,,,,entropy,random
13,DT,4,0.4586,,3.0,14.0,5.0,log2,,,,,,,,,gini,best
14,DT,5,0.574,,4.0,18.0,1.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5581,,,,,,,,,,,,,,,
16,RF,STD,0.0743,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5506,,,,,,,,,,,,,,,
18,XGB,STD,0.1012,,,,,,,,,,,,,,,
19,DT,MEAN,0.5093,,,,,,,,,,,,,,,
20,DT,STD,0.0705,,,,,,,,,,,,,,,
