,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,30,30,f_classif,0.294
1,RF,2,30,30,f_classif,0.294
2,RF,3,20,20,f_classif,0.196
3,RF,4,40,40,f_classif,0.392
4,RF,5,10,10,f_classif,0.098
5,XGB,1,40,40,f_classif,0.392
6,XGB,2,all,102,f_classif,1.0
7,XGB,3,40,40,f_classif,0.392
8,XGB,4,30,30,f_classif,0.294
9,XGB,5,10,10,f_classif,0.098
10,DT,1,71,71,f_classif,0.696
11,DT,2,10,10,f_classif,0.098
12,DT,3,10,10,f_classif,0.098
13,DT,4,30,30,f_classif,0.294
14,DT,5,20,20,f_classif,0.196
