,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,139,94,134,188,188,139,94,134,0.5838509316770186,0.5965665236051502,0.6666666666666666,0.5091575091575091
1,RF,2,316,198,134,238,238,316,198,134,0.6397849462365591,0.6147859922178989,0.5458715596330275,0.7022222222222222
2,RF,3,206,28,127,173,173,206,28,127,0.5766666666666667,0.8803418803418803,0.8606965174129353,0.6186186186186187
3,RF,4,290,140,29,257,257,290,140,29,0.8986013986013986,0.6744186046511628,0.6473551637279596,0.9090909090909091
4,RF,5,655,176,47,280,280,655,176,47,0.8562691131498471,0.7882069795427196,0.6140350877192983,0.9330484330484331
5,XGB,1,135,98,109,213,213,135,98,109,0.6614906832298136,0.5793991416309013,0.684887459807074,0.5532786885245902
6,XGB,2,373,141,182,190,190,373,141,182,0.510752688172043,0.72568093385214,0.5740181268882175,0.6720720720720721
7,XGB,3,200,34,135,165,165,200,34,135,0.55,0.8547008547008547,0.8291457286432161,0.5970149253731343
8,XGB,4,292,138,36,250,250,292,138,36,0.8741258741258742,0.6790697674418604,0.6443298969072165,0.8902439024390244
9,XGB,5,671,160,44,283,283,671,160,44,0.8654434250764526,0.8074608904933814,0.6388261851015802,0.9384615384615385
10,DT,1,108,125,122,200,200,108,125,122,0.6211180124223602,0.463519313304721,0.6153846153846154,0.46956521739130436
11,DT,2,267,247,58,314,314,267,247,58,0.8440860215053764,0.519455252918288,0.5597147950089126,0.8215384615384616
12,DT,3,187,47,108,192,192,187,47,108,0.64,0.7991452991452992,0.803347280334728,0.6338983050847458
13,DT,4,284,146,31,255,255,284,146,31,0.8916083916083916,0.6604651162790698,0.6359102244389028,0.9015873015873016
14,DT,5,597,234,29,298,298,597,234,29,0.9113149847094801,0.7184115523465704,0.5601503759398496,0.9536741214057508
