,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,83,47,35,107,107,83,47,35,0.7535211267605634,0.6384615384615384,0.6948051948051948,0.7033898305084746
1,RF,2,101,18,82,39,39,101,18,82,0.32231404958677684,0.8487394957983193,0.6842105263157895,0.5519125683060109
2,RF,3,136,53,32,114,114,136,53,32,0.7808219178082192,0.7195767195767195,0.6826347305389222,0.8095238095238095
3,RF,4,191,66,20,113,113,191,66,20,0.849624060150376,0.7431906614785992,0.6312849162011173,0.9052132701421801
4,RF,5,191,29,47,49,49,191,29,47,0.5104166666666666,0.8681818181818182,0.6282051282051282,0.8025210084033614
5,XGB,1,85,45,43,99,99,85,45,43,0.6971830985915493,0.6538461538461539,0.6875,0.6640625
6,XGB,2,95,24,83,38,38,95,24,83,0.3140495867768595,0.7983193277310925,0.6129032258064516,0.5337078651685393
7,XGB,3,135,54,38,108,108,135,54,38,0.7397260273972602,0.7142857142857143,0.6666666666666666,0.7803468208092486
8,XGB,4,197,60,19,114,114,197,60,19,0.8571428571428571,0.7665369649805448,0.6551724137931034,0.9120370370370371
9,XGB,5,194,26,55,41,41,194,26,55,0.4270833333333333,0.8818181818181818,0.6119402985074627,0.7791164658634538
10,DT,1,65,65,23,119,119,65,65,23,0.8380281690140845,0.5,0.6467391304347826,0.7386363636363636
11,DT,2,58,61,32,89,89,58,61,32,0.7355371900826446,0.48739495798319327,0.5933333333333334,0.6444444444444445
12,DT,3,150,39,65,81,81,150,39,65,0.5547945205479452,0.7936507936507936,0.675,0.6976744186046512
13,DT,4,101,156,5,128,128,101,156,5,0.9624060150375939,0.39299610894941633,0.4507042253521127,0.9528301886792453
14,DT,5,211,9,80,16,16,211,9,80,0.16666666666666666,0.9590909090909091,0.64,0.7250859106529209
