,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,104,34,30,108,108,104,34,30,0.782608695652174,0.7536231884057971,0.7605633802816901,0.7761194029850746
1,RF,2,124,70,98,132,132,124,70,98,0.5739130434782609,0.6391752577319587,0.6534653465346535,0.5585585585585585
2,RF,3,272,89,41,138,138,272,89,41,0.770949720670391,0.7534626038781164,0.6079295154185022,0.8690095846645367
3,RF,4,232,98,47,181,181,232,98,47,0.793859649122807,0.703030303030303,0.6487455197132617,0.8315412186379928
4,RF,5,159,89,25,163,163,159,89,25,0.8670212765957447,0.6411290322580645,0.6468253968253969,0.8641304347826086
5,XGB,1,108,30,43,95,95,108,30,43,0.6884057971014492,0.782608695652174,0.76,0.7152317880794702
6,XGB,2,117,77,89,141,141,117,77,89,0.6130434782608696,0.6030927835051546,0.6467889908256881,0.5679611650485437
7,XGB,3,273,88,66,113,113,273,88,66,0.6312849162011173,0.7562326869806094,0.5621890547263682,0.8053097345132744
8,XGB,4,228,102,55,173,173,228,102,55,0.7587719298245614,0.6909090909090909,0.6290909090909091,0.8056537102473498
9,XGB,5,166,82,32,156,156,166,82,32,0.8297872340425532,0.6693548387096774,0.6554621848739496,0.8383838383838383
10,DT,1,79,59,16,122,122,79,59,16,0.8840579710144928,0.572463768115942,0.6740331491712708,0.8315789473684211
11,DT,2,94,100,75,155,155,94,100,75,0.6739130434782609,0.4845360824742268,0.6078431372549019,0.5562130177514792
12,DT,3,211,150,31,148,148,211,150,31,0.8268156424581006,0.5844875346260388,0.4966442953020134,0.871900826446281
13,DT,4,224,106,57,171,171,224,106,57,0.75,0.6787878787878788,0.6173285198555957,0.797153024911032
14,DT,5,168,80,68,120,120,168,80,68,0.6382978723404256,0.6774193548387096,0.6,0.711864406779661
