Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.7027,0.7893,0.839,-0.5663,all,f_classif,372.0,4,8.0,balanced,,,
XGB,1,0.6647,0.7722,0.8443,-0.5548,94,f_classif,211.0,3,,,0.01189033809355637,0.6857348449354894,
DT,1,0.6416,0.7218,0.7488,-0.6257,73,f_classif,,2,7.0,,,,gini
RF,2,0.8056,0.8421,0.9006,-0.532,73,f_classif,408.0,12,12.0,,,,
XGB,2,0.778,0.8177,0.8806,-0.5114,73,f_classif,131.0,9,,,0.014163226453370564,0.7908554924445647,
DT,2,0.6549,0.7425,0.7913,-0.6085,31,f_classif,,4,17.0,,,,gini
RF,3,0.7801,0.8,0.8791,-0.5477,73,f_classif,300.0,19,2.0,balanced,,,
XGB,3,0.6964,0.707,0.7937,-0.5443,10,f_classif,257.0,5,,,0.012145375272472819,0.8727769394544769,
DT,3,0.6868,0.6744,0.724,-0.559,42,f_classif,,3,3.0,,,,entropy
RF,4,0.7196,0.7397,0.8098,-0.4606,84,f_classif,300.0,12,11.0,balanced,,,
XGB,4,0.729,0.7517,0.8211,-0.4769,94,f_classif,168.0,10,,,0.02624948962468241,0.6357895956642512,
DT,4,0.7002,0.6935,0.7237,-0.5436,52,f_classif,,3,18.0,,,,gini
RF,5,0.8196,0.8286,0.9045,-0.4778,84,f_classif,240.0,11,19.0,balanced,,,
XGB,5,0.8132,0.8263,0.901,-0.4872,84,f_classif,172.0,3,,,0.028386199614605763,0.6857348449354894,
DT,5,0.6487,0.63,0.6904,-0.5671,21,f_classif,,4,14.0,,,,gini
