Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7745,0.7396,0.7382,0.7389,0.7739,0.7745,0.7742,0.6458,0.6392,0.6425,0.8333,0.8373,0.8353,0.8365,k=94; n_est=231; depth=15,-0.5765
2RF,2,0.8,0.7889,0.8142,0.7922,0.8252,0.8,0.8042,0.6667,0.8621,0.7519,0.9111,0.7664,0.8325,0.8872,k=52; n_est=223; depth=18,-0.5277
3RF,3,0.6755,0.7246,0.7149,0.6749,0.7597,0.6755,0.6721,0.5556,0.9048,0.6884,0.8936,0.525,0.6614,0.7858,k=21; n_est=371; depth=3,-0.5936
4RF,4,0.7444,0.7741,0.7497,0.7398,0.7774,0.7444,0.7387,0.873,0.5914,0.7051,0.6752,0.908,0.7745,0.7802,k=94; n_est=396; depth=9,-0.4724
5RF,5,0.8199,0.8184,0.8207,0.819,0.8216,0.8199,0.8202,0.7846,0.8293,0.8063,0.8521,0.8121,0.8316,0.9137,k=73; n_est=382; depth=18,-0.5226
1XGB,1,0.7647,0.7283,0.7283,0.7283,0.7647,0.7647,0.7647,0.6289,0.6289,0.6289,0.8278,0.8278,0.8278,0.8558,k=94; n_est=281; depth=8; lr=0.012,-0.5539
2XGB,2,0.8182,0.8061,0.8322,0.8106,0.8409,0.8182,0.8219,0.6892,0.8793,0.7727,0.9231,0.785,0.8485,0.8835,k=73; n_est=445; depth=9; lr=0.015,-0.5211
3XGB,3,0.7811,0.7742,0.7844,0.7763,0.7908,0.7811,0.7831,0.6942,0.8,0.7434,0.8542,0.7688,0.8092,0.8603,k=94; n_est=235; depth=11; lr=0.010,-0.5689
4XGB,4,0.7056,0.7333,0.711,0.6998,0.7363,0.7056,0.6984,0.8226,0.5484,0.6581,0.6441,0.8736,0.7415,0.7977,k=94; n_est=426; depth=4; lr=0.017,-0.4679
5XGB,5,0.8051,0.8037,0.8023,0.8029,0.8049,0.8051,0.8049,0.7917,0.7724,0.7819,0.8158,0.8322,0.8239,0.8955,k=73; n_est=441; depth=12; lr=0.044,-0.5037
1DT,1,0.7582,0.7221,0.729,0.7252,0.7625,0.7582,0.76,0.6117,0.6495,0.63,0.8325,0.8086,0.8204,0.8081,k=31; depth=4,-0.6068
2DT,2,0.7394,0.7574,0.7793,0.7369,0.8094,0.7394,0.7445,0.5824,0.9138,0.7114,0.9324,0.6449,0.7624,0.7877,k=52; depth=2,-0.5789
3DT,3,0.6792,0.7268,0.718,0.6788,0.7616,0.6792,0.6763,0.5588,0.9048,0.6909,0.8947,0.5312,0.6667,0.718,k=84; depth=1,-0.6275
4DT,4,0.6722,0.6759,0.6691,0.6677,0.6753,0.6722,0.669,0.6574,0.7634,0.7065,0.6944,0.5747,0.6289,0.6803,k=73; depth=2,-0.5209
5DT,5,0.6507,0.6477,0.6479,0.6478,0.651,0.6507,0.6509,0.6129,0.6179,0.6154,0.6824,0.6779,0.6801,0.7242,k=42; depth=2,-0.5954
RF,MEAN,0.7629,0.7691,0.7675,0.753,0.7916,0.7629,0.7619,0.7051,0.7654,0.7188,0.8331,0.7698,0.7871,0.8407,MEAN_VALUES,-0.5386
RF,STD,0.0505,0.0338,0.0423,0.0497,0.0267,0.0505,0.0528,0.1112,0.1258,0.056,0.0837,0.1307,0.0668,0.0533,STD_VALUES,0.0429
XGB,MEAN,0.7749,0.7691,0.7716,0.7636,0.7875,0.7749,0.7746,0.7253,0.7258,0.717,0.813,0.8175,0.8102,0.8586,MEAN_VALUES,-0.5231
XGB,STD,0.0393,0.0333,0.0454,0.043,0.0355,0.0393,0.0427,0.0713,0.1201,0.062,0.0923,0.0371,0.0366,0.0338,STD_VALUES,0.036
DT,MEAN,0.6999,0.706,0.7087,0.6913,0.732,0.6999,0.7001,0.6046,0.7699,0.6708,0.8073,0.6475,0.7117,0.7437,MEAN_VALUES,-0.5859
DT,STD,0.0414,0.0391,0.0464,0.0342,0.0593,0.0414,0.0436,0.0332,0.1237,0.0402,0.1022,0.0956,0.0697,0.0472,STD_VALUES,0.0361
