Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6757,0.7711,0.845,-0.5333,all,f_classif,391.0,8,16.0,balanced,,,
XGB,1,0.6801,0.7834,0.8582,-0.5213,84,f_classif,69.0,10,,,0.024833174917514595,0.7534679966585921,
DT,1,0.6332,0.7112,0.7657,-0.594,73,f_classif,,2,17.0,,,,gini
RF,2,0.8049,0.8363,0.9035,-0.529,84,f_classif,353.0,12,8.0,balanced,,,
XGB,2,0.7976,0.8286,0.8939,-0.5113,94,f_classif,291.0,5,,,0.013245439384501982,0.6334074192451434,
DT,2,0.6434,0.7391,0.7984,-0.6132,10,f_classif,,3,15.0,,,,gini
RF,3,0.7685,0.783,0.8588,-0.5235,73,f_classif,217.0,7,3.0,,,,
XGB,3,0.6818,0.6918,0.7882,-0.5224,10,f_classif,99.0,6,,,0.02086914800392202,0.8097528625990739,
DT,3,0.6909,0.6792,0.7255,-0.5493,21,f_classif,,2,12.0,,,,gini
RF,4,0.7308,0.7395,0.7998,-0.4605,73,f_classif,485.0,11,16.0,balanced,,,
XGB,4,0.7038,0.7279,0.7963,-0.4865,94,f_classif,129.0,7,,,0.023865653742736682,0.7045144255221693,
DT,4,0.3448,0.5581,0.7287,-0.533,42,f_classif,,2,3.0,,,,entropy
RF,5,0.8013,0.8136,0.9086,-0.4984,all,f_classif,481.0,20,18.0,balanced,,,
XGB,5,0.8034,0.8197,0.8953,-0.5059,73,f_classif,324.0,9,,,0.010072405863407517,0.6383656446755445,
DT,5,0.774,0.7211,0.6996,-0.5724,84,f_classif,,2,19.0,balanced,,,gini
