Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7677,0.736,0.7372,0.7366,0.7683,0.7677,0.768,0.6429,0.6495,0.6462,0.8291,0.825,0.8271,0.8507,k=73; n_est=93; depth=16,-0.5374
2RF,2,0.8544,0.8399,0.8672,0.8469,0.8716,0.8544,0.8572,0.7353,0.9091,0.813,0.9444,0.8252,0.8808,0.8951,k=73; n_est=137; depth=15,-0.5536
3RF,3,0.7266,0.733,0.7431,0.7249,0.758,0.7266,0.7294,0.6148,0.8218,0.7034,0.8512,0.6645,0.7464,0.7946,k=42; n_est=351; depth=13,-0.5363
4RF,4,0.6936,0.7214,0.7084,0.6916,0.7319,0.6936,0.6892,0.8281,0.5579,0.6667,0.6147,0.859,0.7166,0.7723,k=all; n_est=256; depth=8,-0.4687
5RF,5,0.8137,0.8136,0.8129,0.8132,0.8137,0.8137,0.8136,0.813,0.7937,0.8032,0.8143,0.8321,0.8231,0.8947,k=73; n_est=450; depth=14,-0.5458
1XGB,1,0.7677,0.7358,0.7293,0.7323,0.7649,0.7677,0.766,0.6522,0.6186,0.6349,0.8195,0.84,0.8296,0.859,k=73; n_est=449; depth=8; lr=0.013,-0.5331
2XGB,2,0.8228,0.8131,0.8429,0.8162,0.852,0.8228,0.8268,0.6849,0.9091,0.7812,0.9412,0.7767,0.8511,0.8787,k=73; n_est=493; depth=10; lr=0.011,-0.5567
3XGB,3,0.7188,0.7232,0.7332,0.7167,0.7473,0.7188,0.7218,0.609,0.802,0.6923,0.8374,0.6645,0.741,0.7898,k=42; n_est=388; depth=7; lr=0.014,-0.5294
4XGB,4,0.7225,0.7502,0.737,0.721,0.7612,0.7225,0.7189,0.8615,0.5895,0.7,0.6389,0.8846,0.7419,0.7806,k=94; n_est=171; depth=7; lr=0.069,-0.473
5XGB,5,0.8061,0.8116,0.803,0.8039,0.8103,0.8061,0.8047,0.844,0.7302,0.783,0.7792,0.8759,0.8247,0.8889,k=73; n_est=168; depth=11; lr=0.010,-0.5515
1DT,1,0.6599,0.6859,0.7077,0.6559,0.7545,0.6599,0.6688,0.4881,0.8454,0.6189,0.8837,0.57,0.693,0.7305,k=52; depth=3,-0.5893
2DT,2,0.6962,0.7435,0.7543,0.6958,0.8064,0.6962,0.6993,0.5361,0.9455,0.6842,0.9508,0.5631,0.7073,0.8342,k=21; depth=2,-0.6488
3DT,3,0.6875,0.6938,0.7023,0.6856,0.7183,0.6875,0.6908,0.5778,0.7723,0.661,0.8099,0.6323,0.7101,0.7088,k=94; depth=3,-0.5743
4DT,4,0.6185,0.6315,0.6285,0.6179,0.6387,0.6185,0.6164,0.7042,0.5263,0.6024,0.5588,0.7308,0.6333,0.6285,k=21; depth=1,-0.5599
5DT,5,0.6882,0.688,0.6864,0.6866,0.6881,0.6882,0.6875,0.6864,0.6429,0.6639,0.6897,0.7299,0.7092,0.7364,k=31; depth=5,-0.5462
RF,MEAN,0.7712,0.7688,0.7738,0.7626,0.7887,0.7712,0.7715,0.7268,0.7464,0.7265,0.8107,0.8012,0.7988,0.8415,MEAN_VALUES,-0.5284
RF,STD,0.0579,0.0483,0.058,0.058,0.0492,0.0579,0.0595,0.0864,0.1259,0.0692,0.108,0.0695,0.0594,0.0505,STD_VALUES,0.0305
XGB,MEAN,0.7676,0.7668,0.7691,0.758,0.7871,0.7676,0.7676,0.7303,0.7299,0.7183,0.8032,0.8083,0.7977,0.8394,MEAN_VALUES,-0.5287
XGB,STD,0.0423,0.0382,0.0458,0.043,0.0387,0.0423,0.0433,0.103,0.1178,0.0568,0.098,0.0813,0.0467,0.0454,STD_VALUES,0.0298
DT,MEAN,0.6701,0.6885,0.6958,0.6684,0.7212,0.6701,0.6726,0.5985,0.7465,0.6461,0.7786,0.6452,0.6906,0.7277,MEAN_VALUES,-0.5837
DT,STD,0.0286,0.0355,0.0406,0.0286,0.0571,0.0286,0.0298,0.0842,0.1478,0.0305,0.1399,0.0736,0.0293,0.0658,STD_VALUES,0.0356
