Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6345,0.7628,0.8545,-0.5553,84,f_classif,51.0,5,6.0,balanced,,,
XGB,1,0.625,0.7628,0.8573,-0.5246,84,f_classif,56.0,5,,,0.04365692795493456,0.9752580890083029,
DT,1,0.5933,0.659,0.7002,-0.6224,10,f_classif,,2,12.0,balanced,,,gini
RF,2,0.7584,0.8012,0.8864,-0.52,84,f_classif,334.0,12,2.0,balanced,,,
XGB,2,0.7615,0.8104,0.8901,-0.5204,94,f_classif,397.0,3,,,0.026687732393048308,0.9530868557301748,
DT,2,0.6448,0.6361,0.7794,-0.5922,21,f_classif,,2,17.0,balanced,,,gini
RF,3,0.7095,0.7338,0.8112,-0.5146,31,f_classif,298.0,14,15.0,,,,
XGB,3,0.6898,0.7281,0.7932,-0.5185,31,f_classif,490.0,11,,,0.05004439004839043,0.895400942673265,
DT,3,0.5479,0.6863,0.738,-0.5705,31,f_classif,,2,16.0,,,,gini
RF,4,0.6558,0.7047,0.7997,-0.4423,73,f_classif,267.0,18,20.0,balanced,,,
XGB,4,0.6752,0.7159,0.818,-0.4406,73,f_classif,418.0,10,,,0.013505342351391352,0.6364850643514379,
DT,4,0.6272,0.649,0.6582,-0.5304,94,f_classif,,2,13.0,balanced,,,gini
RF,5,0.8033,0.8253,0.8975,-0.5285,all,f_classif,496.0,17,2.0,balanced,,,
XGB,5,0.7822,0.8086,0.8966,-0.5308,all,f_classif,118.0,3,,,0.1431564031639755,0.6546222785562366,
DT,5,0.714,0.6933,0.7098,-0.614,all,f_classif,,2,16.0,,,,entropy
