Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7682,0.7362,0.7522,0.7422,0.7792,0.7682,0.772,0.6182,0.7083,0.6602,0.8542,0.7961,0.8241,0.824,k=all; n_est=328; depth=4,-0.5804
2RF,2,0.8125,0.803,0.831,0.8057,0.8411,0.8125,0.8166,0.6757,0.8929,0.7692,0.9302,0.7692,0.8421,0.8853,k=73; n_est=351; depth=18,-0.5658
3RF,3,0.7405,0.7498,0.7633,0.7386,0.7818,0.7405,0.7438,0.6143,0.86,0.7167,0.8852,0.6667,0.7606,0.819,k=all; n_est=463; depth=12,-0.5755
4RF,4,0.6705,0.7202,0.6936,0.6652,0.7358,0.6705,0.6605,0.8571,0.4898,0.6234,0.5833,0.8974,0.7071,0.7609,k=94; n_est=183; depth=11,-0.4705
5RF,5,0.7895,0.7921,0.7926,0.7895,0.7954,0.7895,0.7896,0.7429,0.8387,0.7879,0.8413,0.7465,0.791,0.8646,k=all; n_est=483; depth=13,-0.5545
1XGB,1,0.7417,0.7017,0.6994,0.7005,0.7403,0.7417,0.741,0.5957,0.5833,0.5895,0.8077,0.8155,0.8116,0.8173,k=94; n_est=328; depth=11; lr=0.122,-0.5762
2XGB,2,0.825,0.8183,0.8489,0.8195,0.8585,0.825,0.8289,0.6842,0.9286,0.7879,0.9524,0.7692,0.8511,0.8853,k=73; n_est=247; depth=12; lr=0.035,-0.5555
3XGB,3,0.7557,0.7606,0.7757,0.7533,0.791,0.7557,0.7591,0.6324,0.86,0.7288,0.8889,0.6914,0.7778,0.8254,k=94; n_est=457; depth=12; lr=0.020,-0.559
4XGB,4,0.6932,0.7351,0.714,0.6899,0.75,0.6932,0.6863,0.8667,0.5306,0.6582,0.6034,0.8974,0.7216,0.7624,k=94; n_est=334; depth=4; lr=0.014,-0.4877
5XGB,5,0.797,0.8026,0.7915,0.7932,0.8007,0.797,0.7951,0.8302,0.7097,0.7652,0.775,0.8732,0.8212,0.8766,k=94; n_est=360; depth=4; lr=0.025,-0.5311
1DT,1,0.755,0.7179,0.7203,0.719,0.7564,0.755,0.7556,0.6122,0.625,0.6186,0.8235,0.8155,0.8195,0.7987,k=52; depth=2,-0.6107
2DT,2,0.55,0.7188,0.6538,0.5396,0.8031,0.55,0.5189,0.4375,1.0,0.6087,1.0,0.3077,0.4706,0.6538,k=21; depth=1,-0.5803
3DT,3,0.6565,0.6829,0.6878,0.6562,0.7185,0.6565,0.6587,0.5325,0.82,0.6457,0.8333,0.5556,0.6667,0.7119,k=10; depth=2,-0.625
4DT,4,0.6023,0.7635,0.6429,0.5674,0.7904,0.6023,0.5534,1.0,0.2857,0.4444,0.527,1.0,0.6903,0.7679,k=31; depth=2,-0.5232
5DT,5,0.6842,0.6832,0.6838,0.6833,0.685,0.6842,0.6845,0.6562,0.6774,0.6667,0.7101,0.6901,0.7,0.7051,k=all; depth=5,-0.5815
RF,MEAN,0.7562,0.7603,0.7665,0.7482,0.7867,0.7562,0.7565,0.7016,0.7579,0.7115,0.8188,0.7752,0.785,0.8308,MEAN_VALUES,-0.5493
RF,STD,0.049,0.032,0.0455,0.049,0.0338,0.049,0.0535,0.0907,0.148,0.0626,0.1217,0.0748,0.0479,0.0429,STD_VALUES,0.0404
XGB,MEAN,0.7625,0.7637,0.7659,0.7513,0.7881,0.7625,0.7621,0.7218,0.7224,0.7059,0.8055,0.8093,0.7967,0.8334,MEAN_VALUES,-0.5419
XGB,STD,0.0456,0.0428,0.0543,0.0505,0.0421,0.0456,0.0485,0.1078,0.1535,0.0729,0.1186,0.074,0.0442,0.0446,STD_VALUES,0.0307
DT,MEAN,0.6496,0.7133,0.6777,0.6331,0.7507,0.6496,0.6342,0.6477,0.6816,0.5968,0.7788,0.6738,0.6694,0.7275,MEAN_VALUES,-0.5841
DT,STD,0.07,0.0297,0.0273,0.0685,0.0441,0.07,0.0868,0.1913,0.2369,0.0789,0.1562,0.2344,0.1126,0.0508,STD_VALUES,0.035
