Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7711,0.7449,0.7563,0.7494,0.7783,0.7711,0.7737,0.6434,0.7114,0.6757,0.8463,0.8012,0.8232,0.845,k=all; n_est=391; depth=8,-0.5333
2RF,2,0.8363,0.8294,0.8515,0.832,0.8573,0.8363,0.8389,0.7213,0.9103,0.8049,0.9375,0.7927,0.859,0.9035,k=84; n_est=353; depth=12,-0.529
3RF,3,0.783,0.7891,0.7981,0.7822,0.8087,0.783,0.7847,0.6815,0.8808,0.7685,0.8967,0.7154,0.7959,0.8588,k=73; n_est=217; depth=7,-0.5235
4RF,4,0.7395,0.7542,0.7499,0.7393,0.763,0.7395,0.7384,0.8444,0.6441,0.7308,0.664,0.8557,0.7477,0.7998,k=73; n_est=485; depth=11,-0.4605
5RF,5,0.8136,0.8159,0.8127,0.8128,0.8154,0.8136,0.8131,0.8385,0.7673,0.8013,0.7933,0.858,0.8244,0.9086,k=all; n_est=481; depth=20,-0.4984
1XGB,1,0.7834,0.7569,0.7595,0.7582,0.7845,0.7834,0.7839,0.6733,0.687,0.6801,0.8406,0.832,0.8363,0.8582,k=84; n_est=69; depth=10; lr=0.025,-0.5213
2XGB,2,0.8286,0.8231,0.8454,0.8245,0.8524,0.8286,0.8315,0.7097,0.9103,0.7976,0.9366,0.7805,0.8514,0.8939,k=94; n_est=291; depth=5; lr=0.013,-0.5113
3XGB,3,0.6918,0.7057,0.7097,0.6915,0.7268,0.6918,0.6933,0.5899,0.8077,0.6818,0.8214,0.6117,0.7012,0.7882,k=10; n_est=99; depth=6; lr=0.021,-0.5224
4XGB,4,0.7279,0.7581,0.7429,0.7261,0.7695,0.7279,0.7239,0.8742,0.589,0.7038,0.6421,0.8969,0.7484,0.7963,k=94; n_est=129; depth=7; lr=0.024,-0.4865
5XGB,5,0.8197,0.8252,0.8184,0.8185,0.8245,0.8197,0.8188,0.8628,0.7516,0.8034,0.7876,0.8852,0.8336,0.8953,k=73; n_est=324; depth=9; lr=0.010,-0.5059
1DT,1,0.7112,0.6972,0.7193,0.6975,0.7454,0.7112,0.7187,0.5512,0.7439,0.6332,0.8433,0.6947,0.7618,0.7657,k=73; depth=2,-0.594
2DT,2,0.7391,0.7202,0.7176,0.7189,0.7377,0.7391,0.7384,0.6525,0.6345,0.6434,0.788,0.8008,0.7944,0.7984,k=10; depth=3,-0.6132
3DT,3,0.6792,0.7172,0.7097,0.6788,0.7441,0.6792,0.6766,0.57,0.8769,0.6909,0.8644,0.5426,0.6667,0.7255,k=21; depth=2,-0.5493
4DT,4,0.5581,0.7156,0.5956,0.5057,0.7362,0.5581,0.49,0.9259,0.2119,0.3448,0.5053,0.9794,0.6667,0.7287,k=42; depth=2,-0.533
5DT,5,0.7211,0.7968,0.7261,0.7049,0.7999,0.7211,0.7035,0.6418,0.9748,0.774,0.9518,0.4773,0.6358,0.6996,k=84; depth=2,-0.5724
RF,MEAN,0.7887,0.7867,0.7937,0.7831,0.8045,0.7887,0.7898,0.7458,0.7828,0.7562,0.8276,0.8046,0.81,0.8631,MEAN_VALUES,-0.5089
RF,STD,0.0336,0.0331,0.0375,0.0356,0.0327,0.0336,0.0343,0.0819,0.1004,0.0483,0.095,0.0521,0.037,0.0401,STD_VALUES,0.0271
XGB,MEAN,0.7703,0.7738,0.7752,0.7638,0.7915,0.7703,0.7703,0.742,0.7491,0.7333,0.8057,0.8013,0.7942,0.8464,MEAN_VALUES,-0.5095
XGB,STD,0.0529,0.0453,0.0497,0.0517,0.0436,0.0529,0.0536,0.1104,0.1085,0.0555,0.0956,0.1034,0.0589,0.0462,STD_VALUES,0.013
DT,MEAN,0.6817,0.7294,0.6937,0.6612,0.7527,0.6817,0.6654,0.6683,0.6884,0.6173,0.7906,0.699,0.7051,0.7436,MEAN_VALUES,-0.5724
DT,STD,0.0648,0.0347,0.0493,0.0788,0.0239,0.0648,0.09,0.1347,0.2648,0.145,0.1521,0.1803,0.0615,0.0346,STD_VALUES,0.029
