Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6598,0.7746,0.8537,-0.5676,94,f_classif,410.0,8,13.0,balanced,,,
XGB,1,0.6378,0.7671,0.8466,-0.5488,84,f_classif,110.0,6,,,0.015465913515231381,0.677224892366106,
DT,1,0.6775,0.7403,0.8232,-0.6356,52,f_classif,,2,20.0,balanced,,,gini
RF,2,0.7414,0.7829,0.8844,-0.4927,52,f_classif,288.0,13,17.0,,,,
XGB,2,0.7436,0.7817,0.891,-0.504,52,f_classif,129.0,3,,,0.04553684532317553,0.7514972659882362,
DT,2,0.4963,0.6743,0.724,-0.5975,94,f_classif,,5,15.0,,,,entropy
RF,3,0.7467,0.7653,0.8532,-0.5375,42,f_classif,411.0,6,13.0,,,,
XGB,3,0.7024,0.7646,0.8478,-0.5096,42,f_classif,77.0,6,,,0.03452601603333797,0.9445646275427255,
DT,3,0.6539,0.7142,0.7599,-0.5814,42,f_classif,,3,9.0,balanced,,,gini
RF,4,0.7187,0.738,0.8148,-0.4564,73,f_classif,455.0,10,2.0,balanced,,,
XGB,4,0.6844,0.7188,0.816,-0.4749,all,f_classif,182.0,3,,,0.019087455461355006,0.8577549276676641,
DT,4,0.7183,0.6654,0.6682,-0.5572,42,f_classif,,2,18.0,,,,entropy
RF,5,0.8039,0.814,0.8944,-0.4907,73,f_classif,297.0,9,10.0,balanced,,,
XGB,5,0.7746,0.8004,0.8842,-0.5044,84,f_classif,73.0,3,,,0.03542575605818419,0.8435812686176722,
DT,5,0.6913,0.6964,0.7271,-0.5908,73,f_classif,,2,14.0,balanced,,,gini
