Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6806,0.778,0.8424,-0.5362,all,f_classif,459.0,6,13.0,balanced,,,
XGB,1,0.6321,0.7647,0.8491,-0.5262,84,f_classif,145.0,4,,,0.01113693326782652,0.9262114989709592,
DT,1,0.6743,0.7535,0.8249,-0.5943,52,f_classif,,2,20.0,balanced,,,gini
RF,2,0.7569,0.7946,0.8972,-0.5509,73,f_classif,304.0,9,18.0,balanced,,,
XGB,2,0.7555,0.7946,0.8756,-0.5661,52,f_classif,112.0,3,,,0.07253410153662936,0.8194897628473555,
DT,2,0.6723,0.7146,0.7705,-0.6095,21,f_classif,,2,14.0,balanced,,,gini
RF,3,0.7684,0.7942,0.8684,-0.5,52,f_classif,177.0,11,7.0,,,,
XGB,3,0.7455,0.7851,0.8552,-0.5098,52,f_classif,107.0,5,,,0.02956213456190244,0.6714107176085895,
DT,3,0.6929,0.702,0.7379,-0.5622,73,f_classif,,2,3.0,,,,gini
RF,4,0.6933,0.7332,0.8097,-0.4562,73,f_classif,344.0,15,7.0,,,,
XGB,4,0.6803,0.7186,0.8041,-0.4904,all,f_classif,164.0,7,,,0.013041297144600622,0.6430996347791346,
DT,4,0.6582,0.6693,0.673,-0.5491,all,f_classif,,1,20.0,,,,gini
RF,5,0.8214,0.8179,0.8823,-0.562,all,f_classif,444.0,6,13.0,balanced,,,
XGB,5,0.7866,0.8104,0.8959,-0.5357,73,f_classif,138.0,6,,,0.012157775494982809,0.6676857470843597,
DT,5,0.7456,0.6873,0.7456,-0.6147,52,f_classif,,2,20.0,balanced,,,gini
