Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.7143,0.7983,0.85,-0.5429,94,f_classif,361.0,10,4.0,balanced,,,
XGB,1,0.7342,0.8235,0.8627,-0.5256,94,f_classif,441.0,4,,,0.028981651374820575,0.7623133207049181,
DT,1,0.7179,0.8151,0.8215,-0.5979,10,f_classif,,14,19.0,,,,gini
RF,2,0.8077,0.8413,0.8946,-0.5096,84,f_classif,157.0,16,14.0,balanced,,,
XGB,2,0.8235,0.8571,0.9098,-0.523,all,f_classif,333.0,6,,,0.09966922586484321,0.7341335885793561,
DT,2,0.6875,0.6825,0.775,-0.5791,52,f_classif,,4,16.0,,,,gini
RF,3,0.7327,0.7404,0.8395,-0.5504,all,f_classif,122.0,18,19.0,balanced,,,
XGB,3,0.7912,0.8173,0.8703,-0.5503,94,f_classif,182.0,9,,,0.012655079534794547,0.8984617293080012,
DT,3,0.6609,0.625,0.6898,-0.5872,94,f_classif,,2,12.0,balanced,,,gini
RF,4,0.6765,0.6901,0.744,-0.499,94,f_classif,362.0,14,14.0,balanced,,,
XGB,4,0.7077,0.7324,0.764,-0.4997,94,f_classif,221.0,11,,,0.04242932897232545,0.9777830270249471,
DT,4,0.6849,0.6761,0.6774,-0.5704,52,f_classif,,1,5.0,balanced,,,entropy
RF,5,0.7965,0.783,0.8854,-0.5478,94,f_classif,235.0,10,12.0,balanced,,,
XGB,5,0.8,0.8113,0.89,-0.5433,84,f_classif,396.0,7,,,0.010183017626725025,0.6407541475788169,
DT,5,0.7667,0.7358,0.7555,-0.5558,21,f_classif,,4,4.0,balanced,,,gini
