Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7854,0.7561,0.7525,0.7542,0.784,0.7854,0.7847,0.6757,0.6579,0.6667,0.8365,0.8471,0.8418,0.8628,k=73; n_est=360; depth=15,-0.5228
2RF,2,0.8387,0.8277,0.8545,0.8324,0.8607,0.8387,0.8418,0.7143,0.9091,0.8,0.9412,0.8,0.8649,0.8966,k=73; n_est=331; depth=20,-0.4969
3RF,3,0.7438,0.7476,0.7578,0.742,0.7697,0.7438,0.7464,0.6381,0.8272,0.7204,0.8571,0.6885,0.7636,0.7988,k=42; n_est=360; depth=16,-0.4904
4RF,4,0.7246,0.7445,0.7321,0.7225,0.7495,0.7246,0.7211,0.8302,0.6027,0.6984,0.6588,0.8615,0.7467,0.7871,k=73; n_est=183; depth=13,-0.4433
5RF,5,0.7005,0.7539,0.7139,0.6917,0.7623,0.7005,0.6884,0.6207,0.9278,0.7438,0.8871,0.5,0.6395,0.7543,k=21; n_est=371; depth=3,-0.6784
1XGB,1,0.7811,0.7512,0.7459,0.7484,0.7791,0.7811,0.7799,0.6712,0.6447,0.6577,0.8313,0.8471,0.8391,0.8492,k=94; n_est=372; depth=10; lr=0.014,-0.5064
2XGB,2,0.8387,0.8277,0.8545,0.8324,0.8607,0.8387,0.8418,0.7143,0.9091,0.8,0.9412,0.8,0.8649,0.8983,k=73; n_est=245; depth=10; lr=0.035,-0.5004
3XGB,3,0.803,0.8007,0.8132,0.8004,0.8196,0.803,0.805,0.7071,0.8642,0.7778,0.8942,0.7623,0.823,0.8834,k=84; n_est=282; depth=10; lr=0.023,-0.4962
4XGB,4,0.7391,0.7647,0.7475,0.7364,0.7704,0.7391,0.7349,0.8627,0.6027,0.7097,0.6667,0.8923,0.7632,0.7996,k=73; n_est=313; depth=11; lr=0.084,-0.4549
5XGB,5,0.8261,0.8281,0.823,0.8243,0.8272,0.8261,0.8254,0.8427,0.7732,0.8065,0.8136,0.8727,0.8421,0.8743,k=94; n_est=163; depth=6; lr=0.013,-0.6234
1DT,1,0.7082,0.6965,0.7223,0.6947,0.752,0.7082,0.717,0.537,0.7632,0.6304,0.856,0.6815,0.7589,0.7563,k=52; depth=3,-0.5921
2DT,2,0.7177,0.7514,0.7659,0.7168,0.8065,0.7177,0.7215,0.5616,0.9318,0.7009,0.9412,0.6,0.7328,0.7659,k=21; depth=1,-0.5586
3DT,3,0.6601,0.7383,0.7089,0.6568,0.7779,0.6601,0.6499,0.5423,0.9506,0.6906,0.9344,0.4672,0.623,0.7089,k=52; depth=1,-0.5873
4DT,4,0.7174,0.7226,0.7211,0.7173,0.7256,0.7174,0.7169,0.7742,0.6575,0.7111,0.6711,0.7846,0.7234,0.7337,k=42; depth=2,-0.5035
5DT,5,0.715,0.7943,0.7306,0.7027,0.805,0.715,0.699,0.625,0.9794,0.7631,0.9636,0.4818,0.6424,0.7306,k=84; depth=1,-0.6575
RF,MEAN,0.7586,0.766,0.7622,0.7486,0.7852,0.7586,0.7565,0.6958,0.7849,0.7259,0.8361,0.7394,0.7713,0.8199,MEAN_VALUES,-0.5264
RF,STD,0.0488,0.0312,0.0487,0.0469,0.0393,0.0488,0.053,0.0745,0.1319,0.0449,0.0954,0.1342,0.0797,0.0521,STD_VALUES,0.0802
XGB,MEAN,0.7976,0.7945,0.7968,0.7884,0.8114,0.7976,0.7974,0.7596,0.7588,0.7503,0.8294,0.8349,0.8265,0.861,MEAN_VALUES,-0.5163
XGB,STD,0.0353,0.0317,0.0431,0.0392,0.0331,0.0353,0.0375,0.0777,0.1194,0.0576,0.0932,0.0477,0.0343,0.0346,STD_VALUES,0.0566
DT,MEAN,0.7037,0.7406,0.7298,0.6977,0.7734,0.7037,0.7009,0.608,0.8565,0.6992,0.8733,0.603,0.6961,0.7391,MEAN_VALUES,-0.5798
DT,STD,0.0221,0.0325,0.0194,0.0222,0.0312,0.0221,0.0266,0.0888,0.1248,0.0425,0.1074,0.1202,0.0534,0.0201,STD_VALUES,0.05
