Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7628,0.7277,0.7314,0.7295,0.7648,0.7628,0.7637,0.625,0.6443,0.6345,0.8305,0.8184,0.8244,0.8545,k=84; n_est=51; depth=5,-0.5553
2RF,2,0.8012,0.7948,0.8252,0.7948,0.8383,0.8012,0.806,0.6538,0.9027,0.7584,0.9357,0.7477,0.8312,0.8864,k=84; n_est=334; depth=12,-0.52
3RF,3,0.7338,0.7392,0.75,0.732,0.7642,0.7338,0.7367,0.6218,0.8261,0.7095,0.8566,0.674,0.7544,0.8112,k=31; n_est=298; depth=14,-0.5146
4RF,4,0.7047,0.7388,0.7131,0.6987,0.7437,0.7047,0.6966,0.8417,0.5372,0.6558,0.636,0.8889,0.7415,0.7997,k=73; n_est=267; depth=18,-0.4423
5RF,5,0.8253,0.827,0.8215,0.8231,0.8261,0.8253,0.8245,0.8384,0.7711,0.8033,0.8155,0.872,0.8428,0.8975,k=all; n_est=496; depth=17,-0.5285
1XGB,1,0.7628,0.7271,0.7245,0.7258,0.7615,0.7628,0.7621,0.6316,0.6186,0.625,0.8225,0.8305,0.8265,0.8573,k=84; n_est=56; depth=5; lr=0.044,-0.5246
2XGB,2,0.8104,0.7978,0.8259,0.8021,0.8363,0.8104,0.8146,0.6735,0.8761,0.7615,0.9222,0.7757,0.8426,0.8901,k=94; n_est=397; depth=3; lr=0.027,-0.5204
3XGB,3,0.7281,0.7248,0.7352,0.7239,0.7458,0.7281,0.7312,0.626,0.7681,0.6898,0.8235,0.7022,0.758,0.7932,k=31; n_est=490; depth=11; lr=0.050,-0.5185
4XGB,4,0.7159,0.7447,0.7234,0.7113,0.7492,0.7159,0.7096,0.8413,0.5638,0.6752,0.6481,0.883,0.7475,0.818,k=73; n_est=418; depth=10; lr=0.014,-0.4406
5XGB,5,0.8086,0.811,0.804,0.8057,0.8099,0.8086,0.8075,0.8259,0.743,0.7822,0.7962,0.8651,0.8292,0.8966,k=all; n_est=118; depth=3; lr=0.143,-0.5308
1DT,1,0.659,0.6661,0.6906,0.6499,0.7334,0.659,0.6702,0.4794,0.7784,0.5933,0.8527,0.6029,0.7064,0.7002,k=10; depth=2,-0.6224
2DT,2,0.6361,0.7194,0.7115,0.6359,0.7914,0.6361,0.6331,0.4865,0.9558,0.6448,0.9524,0.4673,0.627,0.7794,k=21; depth=2,-0.5922
3DT,3,0.6863,0.6711,0.6506,0.6539,0.6792,0.6863,0.6764,0.6329,0.4831,0.5479,0.7092,0.8182,0.7598,0.738,k=31; depth=2,-0.5705
4DT,4,0.649,0.6572,0.6533,0.6478,0.6595,0.649,0.6468,0.7067,0.5638,0.6272,0.6077,0.7427,0.6684,0.6582,k=94; depth=2,-0.5304
5DT,5,0.6933,0.7116,0.7026,0.6917,0.7179,0.6933,0.69,0.628,0.8273,0.714,0.7952,0.5779,0.6693,0.7098,k=all; depth=2,-0.614
RF,MEAN,0.7656,0.7655,0.7682,0.7556,0.7874,0.7656,0.7655,0.7161,0.7363,0.7123,0.8149,0.8002,0.7989,0.8499,MEAN_VALUES,-0.5121
RF,STD,0.0437,0.0387,0.0465,0.046,0.0375,0.0437,0.0463,0.1018,0.1304,0.0627,0.0986,0.08,0.0422,0.0391,STD_VALUES,0.0376
XGB,MEAN,0.7652,0.7611,0.7626,0.7538,0.7805,0.7652,0.765,0.7197,0.7139,0.7067,0.8025,0.8113,0.8008,0.851,MEAN_VALUES,-0.507
XGB,STD,0.0393,0.0363,0.0435,0.0413,0.0361,0.0393,0.0412,0.0946,0.1111,0.0577,0.0884,0.0657,0.0397,0.0402,STD_VALUES,0.0335
DT,MEAN,0.6647,0.6851,0.6817,0.6558,0.7163,0.6647,0.6633,0.5867,0.7217,0.6254,0.7834,0.6418,0.6862,0.7171,MEAN_VALUES,-0.5859
DT,STD,0.0218,0.0254,0.0252,0.0189,0.0459,0.0218,0.0206,0.0892,0.1738,0.0553,0.1182,0.1244,0.0446,0.0403,STD_VALUES,0.0331
