Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6425,0.7745,0.8365,-0.5765,94,f_classif,231.0,15,4.0,,,,
XGB,1,0.6289,0.7647,0.8558,-0.5539,94,f_classif,281.0,8,,,0.011711509955524094,0.8430179407605753,
DT,1,0.63,0.7582,0.8081,-0.6068,31,f_classif,,4,17.0,,,,gini
RF,2,0.7519,0.8,0.8872,-0.5277,52,f_classif,223.0,18,12.0,,,,
XGB,2,0.7727,0.8182,0.8835,-0.5211,73,f_classif,445.0,9,,,0.015429334269801647,0.9752950837292917,
DT,2,0.7114,0.7394,0.7877,-0.5789,52,f_classif,,2,20.0,balanced,,,gini
RF,3,0.6884,0.6755,0.7858,-0.5936,21,f_classif,371.0,3,20.0,balanced,,,
XGB,3,0.7434,0.7811,0.8603,-0.5689,94,f_classif,235.0,11,,,0.010421810316777975,0.6855371825782387,
DT,3,0.6909,0.6792,0.718,-0.6275,84,f_classif,,1,9.0,balanced,,,gini
RF,4,0.7051,0.7444,0.7802,-0.4724,94,f_classif,396.0,9,18.0,,,,
XGB,4,0.6581,0.7056,0.7977,-0.4679,94,f_classif,426.0,4,,,0.01658050997969722,0.8209906073467672,
DT,4,0.7065,0.6722,0.6803,-0.5209,73,f_classif,,2,11.0,,,,gini
RF,5,0.8063,0.8199,0.9137,-0.5226,73,f_classif,382.0,18,9.0,balanced,,,
XGB,5,0.7819,0.8051,0.8955,-0.5037,73,f_classif,441.0,12,,,0.0444784614131363,0.8579227005731702,
DT,5,0.6154,0.6507,0.7242,-0.5954,42,f_classif,,2,9.0,,,,gini
