Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6334,0.7614,0.8335,-0.5167,all,f_classif,225.0,13,15.0,balanced,,,
XGB,1,0.6158,0.7549,0.8421,-0.5055,94,f_classif,226.0,4,,,0.010182171670815868,0.8175864106947313,
DT,1,0.591,0.7484,0.7947,-0.6104,42,f_classif,,3,16.0,balanced,,,gini
RF,2,0.7681,0.8084,0.8978,-0.5157,73,f_classif,450.0,19,4.0,balanced,,,
XGB,2,0.7704,0.8144,0.9111,-0.5224,42,f_classif,217.0,10,,,0.030192989389966018,0.7125472634316612,
DT,2,0.6195,0.6617,0.7193,-0.5814,42,f_classif,,2,18.0,balanced,,,gini
RF,3,0.7542,0.7794,0.8531,-0.5207,73,f_classif,268.0,12,18.0,,,,
XGB,3,0.7261,0.7701,0.8342,-0.4994,all,f_classif,55.0,8,,,0.04019097334792248,0.7639810848195495,
DT,3,0.6899,0.6841,0.7606,-0.5551,73,f_classif,,3,10.0,,,,gini
RF,4,0.6542,0.6967,0.7955,-0.4818,84,f_classif,316.0,8,20.0,,,,
XGB,4,0.6832,0.7213,0.8284,-0.4843,all,f_classif,322.0,4,,,0.014409873671124784,0.6627364708298777,
DT,4,0.6544,0.6421,0.6812,-0.5788,31,f_classif,,4,11.0,,,,gini
RF,5,0.815,0.819,0.8981,-0.5087,52,f_classif,144.0,7,9.0,balanced,,,
XGB,5,0.8058,0.8282,0.8916,-0.5103,73,f_classif,425.0,10,,,0.010629965824084646,0.9856512949095118,
DT,5,0.7126,0.6947,0.7178,-0.6106,all,f_classif,,3,8.0,,,,entropy
