Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6667,0.7854,0.8628,-0.5228,73,f_classif,360.0,15,4.0,,,,
XGB,1,0.6577,0.7811,0.8492,-0.5064,94,f_classif,372.0,10,,,0.013707953799103738,0.9031068510826213,
DT,1,0.6304,0.7082,0.7563,-0.5921,52,f_classif,,3,5.0,balanced,,,gini
RF,2,0.8,0.8387,0.8966,-0.4969,73,f_classif,331.0,20,20.0,balanced,,,
XGB,2,0.8,0.8387,0.8983,-0.5004,73,f_classif,245.0,10,,,0.03457814734907554,0.826283903951477,
DT,2,0.7009,0.7177,0.7659,-0.5586,21,f_classif,,1,14.0,balanced,,,entropy
RF,3,0.7204,0.7438,0.7988,-0.4904,42,f_classif,360.0,16,3.0,balanced,,,
XGB,3,0.7778,0.803,0.8834,-0.4962,84,f_classif,282.0,10,,,0.023476750319798102,0.7206298481767054,
DT,3,0.6906,0.6601,0.7089,-0.5873,52,f_classif,,1,19.0,balanced,,,gini
RF,4,0.6984,0.7246,0.7871,-0.4433,73,f_classif,183.0,13,18.0,balanced,,,
XGB,4,0.7097,0.7391,0.7996,-0.4549,73,f_classif,313.0,11,,,0.0844901500484204,0.6323966196835862,
DT,4,0.7111,0.7174,0.7337,-0.5035,42,f_classif,,2,12.0,,,,gini
RF,5,0.7438,0.7005,0.7543,-0.6784,21,f_classif,371.0,3,20.0,balanced,,,
XGB,5,0.8065,0.8261,0.8743,-0.6234,94,f_classif,163.0,6,,,0.012570398253647362,0.761510048885947,
DT,5,0.7631,0.715,0.7306,-0.6575,84,f_classif,,1,15.0,balanced,,,gini
