Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7614,0.7263,0.7304,0.7283,0.7637,0.7614,0.7624,0.6225,0.6447,0.6334,0.8301,0.8162,0.8231,0.8335,k=all; n_est=225; depth=13,-0.5167
2RF,2,0.8084,0.8032,0.8353,0.8024,0.8483,0.8084,0.8131,0.6584,0.9217,0.7681,0.948,0.7489,0.8367,0.8978,k=73; n_est=450; depth=19,-0.5157
3RF,3,0.7794,0.7805,0.794,0.7771,0.8041,0.7794,0.782,0.6704,0.8619,0.7542,0.8906,0.7262,0.8,0.8531,k=73; n_est=268; depth=12,-0.5207
4RF,4,0.6967,0.7199,0.7025,0.6921,0.723,0.6967,0.6906,0.8015,0.5526,0.6542,0.6383,0.8523,0.7299,0.7955,k=84; n_est=316; depth=8,-0.4818
5RF,5,0.819,0.8205,0.822,0.8189,0.824,0.819,0.8192,0.773,0.8617,0.815,0.8679,0.7823,0.8229,0.8981,k=52; n_est=144; depth=7,-0.5087
1XGB,1,0.7549,0.7182,0.7176,0.7179,0.7545,0.7549,0.7547,0.6173,0.6142,0.6158,0.819,0.821,0.82,0.8421,k=94; n_est=226; depth=4; lr=0.010,-0.5055
2XGB,2,0.8144,0.8048,0.8357,0.8073,0.8464,0.8144,0.8188,0.671,0.9043,0.7704,0.9385,0.7671,0.8442,0.9111,k=42; n_est=217; depth=10; lr=0.030,-0.5224
3XGB,3,0.7701,0.7616,0.7712,0.764,0.7787,0.7701,0.7721,0.682,0.7762,0.7261,0.8412,0.7662,0.8019,0.8342,k=all; n_est=55; depth=8; lr=0.040,-0.4994
4XGB,4,0.7213,0.7457,0.727,0.7172,0.7491,0.7213,0.7159,0.8333,0.5789,0.6832,0.6581,0.875,0.7512,0.8284,k=all; n_est=322; depth=4; lr=0.014,-0.4843
5XGB,5,0.8282,0.8303,0.8242,0.8258,0.8293,0.8282,0.8273,0.8442,0.7708,0.8058,0.8165,0.8776,0.8459,0.8916,k=73; n_est=425; depth=10; lr=0.011,-0.5103
1DT,1,0.7484,0.7098,0.7007,0.7047,0.7438,0.7484,0.7456,0.6154,0.5685,0.591,0.8041,0.8329,0.8183,0.7947,k=42; depth=3,-0.6104
2DT,2,0.6617,0.6771,0.6945,0.6575,0.7305,0.6617,0.6693,0.5055,0.8,0.6195,0.8487,0.589,0.6954,0.7193,k=42; depth=2,-0.5814
3DT,3,0.6841,0.7256,0.7215,0.684,0.7609,0.6841,0.6827,0.5612,0.8952,0.6899,0.89,0.5477,0.6781,0.7606,k=73; depth=3,-0.5551
4DT,4,0.6421,0.6416,0.6417,0.6416,0.6422,0.6421,0.6421,0.6561,0.6526,0.6544,0.6271,0.6307,0.6289,0.6812,k=31; depth=4,-0.5788
5DT,5,0.6947,0.7105,0.7033,0.6935,0.7165,0.6947,0.6921,0.6311,0.8182,0.7126,0.79,0.5884,0.6745,0.7178,k=all; depth=3,-0.6106
RF,MEAN,0.773,0.7701,0.7768,0.7638,0.7926,0.773,0.7735,0.7052,0.7685,0.725,0.835,0.7852,0.8025,0.8556,MEAN_VALUES,-0.5087
RF,STD,0.0433,0.0405,0.0518,0.0471,0.0445,0.0433,0.0463,0.0694,0.1434,0.0696,0.1055,0.0453,0.0382,0.0392,STD_VALUES,0.014
XGB,MEAN,0.7778,0.7721,0.7751,0.7664,0.7916,0.7778,0.7778,0.7296,0.7289,0.7203,0.8147,0.8214,0.8126,0.8615,MEAN_VALUES,-0.5044
XGB,STD,0.0391,0.0404,0.0484,0.0447,0.0394,0.0391,0.0413,0.0919,0.1187,0.0666,0.0901,0.049,0.0348,0.0334,STD_VALUES,0.0126
DT,MEAN,0.6862,0.6929,0.6923,0.6763,0.7188,0.6862,0.6864,0.5939,0.7469,0.6535,0.792,0.6377,0.699,0.7347,MEAN_VALUES,-0.5873
DT,STD,0.036,0.0302,0.0269,0.0233,0.041,0.036,0.0341,0.054,0.1188,0.0445,0.0896,0.101,0.0636,0.0391,STD_VALUES,0.0211
