Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.778,0.7497,0.7641,0.7553,0.787,0.778,0.7811,0.6421,0.7241,0.6806,0.8573,0.8041,0.8299,0.8424,k=all; n_est=459; depth=6,-0.5362
2RF,2,0.7946,0.792,0.819,0.7895,0.8329,0.7946,0.799,0.6516,0.9028,0.7569,0.9324,0.7352,0.8222,0.8972,k=73; n_est=304; depth=9,-0.5509
3RF,3,0.7942,0.7921,0.804,0.7916,0.8107,0.7942,0.7963,0.6989,0.8533,0.7684,0.8852,0.7548,0.8148,0.8684,k=52; n_est=177; depth=11,-0.5
4RF,4,0.7332,0.768,0.7423,0.7286,0.774,0.7332,0.7267,0.8791,0.5723,0.6933,0.657,0.9123,0.7639,0.8097,k=73; n_est=344; depth=15,-0.4562
5RF,5,0.8179,0.8238,0.8218,0.8178,0.8273,0.8179,0.8176,0.7633,0.8891,0.8214,0.8843,0.7546,0.8143,0.8823,k=all; n_est=444; depth=6,-0.562
1XGB,1,0.7647,0.7324,0.7271,0.7296,0.7623,0.7647,0.7634,0.6462,0.6187,0.6321,0.8187,0.8356,0.8271,0.8491,k=84; n_est=145; depth=4; lr=0.011,-0.5262
2XGB,2,0.7946,0.7907,0.8174,0.7892,0.8308,0.7946,0.799,0.6532,0.8958,0.7555,0.9282,0.739,0.8229,0.8756,k=52; n_est=112; depth=3; lr=0.073,-0.5661
3XGB,3,0.7851,0.7774,0.7853,0.7797,0.7912,0.7851,0.7866,0.7084,0.7867,0.7455,0.8464,0.784,0.814,0.8552,k=52; n_est=107; depth=5; lr=0.030,-0.5098
4XGB,4,0.7186,0.7479,0.7272,0.7145,0.7533,0.7186,0.7127,0.8476,0.5681,0.6803,0.6482,0.8863,0.7487,0.8041,k=all; n_est=164; depth=7; lr=0.013,-0.4904
5XGB,5,0.8104,0.8143,0.8067,0.808,0.8129,0.8104,0.8093,0.8372,0.7417,0.7866,0.7913,0.8717,0.8295,0.8959,k=73; n_est=138; depth=6; lr=0.012,-0.5357
1DT,1,0.7535,0.7338,0.7605,0.738,0.7825,0.7535,0.7601,0.5932,0.7809,0.6743,0.8744,0.7402,0.8017,0.8249,k=52; depth=2,-0.5943
2DT,2,0.7146,0.7197,0.7399,0.7098,0.7643,0.7146,0.7207,0.5667,0.8264,0.6723,0.8728,0.6533,0.7473,0.7705,k=21; depth=2,-0.6095
3DT,3,0.702,0.7203,0.725,0.7017,0.7464,0.702,0.7035,0.5896,0.84,0.6929,0.8511,0.6099,0.7106,0.7379,k=73; depth=2,-0.5622
4DT,4,0.6693,0.675,0.673,0.6689,0.6775,0.6693,0.6684,0.7226,0.6043,0.6582,0.6273,0.7417,0.6797,0.673,k=all; depth=1,-0.5491
5DT,5,0.6873,0.7759,0.703,0.67,0.7859,0.6873,0.6656,0.6043,0.9731,0.7456,0.9475,0.433,0.5944,0.7456,k=52; depth=2,-0.6147
RF,MEAN,0.7836,0.7851,0.7902,0.7766,0.8064,0.7836,0.7841,0.727,0.7883,0.7441,0.8432,0.7922,0.809,0.86,MEAN_VALUES,-0.5211
RF,STD,0.0282,0.0251,0.0316,0.0311,0.0227,0.0282,0.031,0.0873,0.1251,0.0517,0.0962,0.0642,0.0233,0.031,STD_VALUES,0.0386
XGB,MEAN,0.7747,0.7725,0.7727,0.7642,0.7901,0.7747,0.7742,0.7385,0.7222,0.72,0.8066,0.8233,0.8084,0.856,MEAN_VALUES,-0.5256
XGB,STD,0.0317,0.0294,0.0386,0.0359,0.0293,0.0317,0.0344,0.0876,0.1176,0.0559,0.0915,0.055,0.0303,0.0307,STD_VALUES,0.0254
DT,MEAN,0.7053,0.7249,0.7203,0.6977,0.7513,0.7053,0.7037,0.6153,0.8049,0.6887,0.8346,0.6356,0.7067,0.7504,MEAN_VALUES,-0.586
DT,STD,0.0284,0.0323,0.0302,0.026,0.0395,0.0284,0.0351,0.055,0.119,0.0305,0.1087,0.1133,0.0693,0.0492,STD_VALUES,0.026
