Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7893,0.7641,0.7791,0.7698,0.7981,0.7893,0.7922,0.6622,0.7485,0.7027,0.8659,0.8097,0.8368,0.839,k=all; n_est=372; depth=4,-0.5663
2RF,2,0.8421,0.8316,0.8549,0.8363,0.86,0.8421,0.8448,0.728,0.9016,0.8056,0.9352,0.8083,0.8671,0.9006,k=73; n_est=408; depth=12,-0.532
3RF,3,0.8,0.8012,0.8128,0.7983,0.8205,0.8,0.8019,0.7011,0.879,0.7801,0.9012,0.7466,0.8166,0.8791,k=73; n_est=300; depth=19,-0.5477
4RF,4,0.7397,0.7614,0.75,0.7384,0.7691,0.7397,0.7369,0.859,0.619,0.7196,0.6639,0.881,0.7572,0.8098,k=84; n_est=300; depth=12,-0.4606
5RF,5,0.8286,0.8285,0.828,0.8282,0.8286,0.8286,0.8285,0.8265,0.8128,0.8196,0.8305,0.8431,0.8368,0.9045,k=84; n_est=240; depth=11,-0.4778
1XGB,1,0.7722,0.7438,0.7488,0.7461,0.7748,0.7722,0.7733,0.6512,0.6788,0.6647,0.8364,0.8187,0.8275,0.8443,k=94; n_est=211; depth=3; lr=0.012,-0.5548
2XGB,2,0.8177,0.8084,0.8313,0.8117,0.8391,0.8177,0.8209,0.6967,0.8808,0.778,0.9201,0.7817,0.8453,0.8806,k=73; n_est=131; depth=9; lr=0.014,-0.5114
3XGB,3,0.707,0.7222,0.7273,0.7066,0.7462,0.707,0.7086,0.5983,0.8329,0.6964,0.8462,0.6218,0.7169,0.7937,k=10; n_est=257; depth=5; lr=0.012,-0.5443
4XGB,4,0.7517,0.7783,0.7631,0.75,0.7869,0.7517,0.7483,0.8864,0.619,0.729,0.6703,0.9071,0.7709,0.8211,k=94; n_est=168; depth=10; lr=0.026,-0.4769
5XGB,5,0.8263,0.8275,0.8248,0.8255,0.827,0.8263,0.826,0.8388,0.7891,0.8132,0.8161,0.8606,0.8378,0.901,k=84; n_est=172; depth=3; lr=0.028,-0.4872
1DT,1,0.7218,0.7055,0.7285,0.7071,0.7537,0.7218,0.729,0.5614,0.7485,0.6416,0.8496,0.7085,0.7727,0.7488,k=73; depth=2,-0.6257
2DT,2,0.7425,0.7226,0.7276,0.7248,0.746,0.7425,0.7439,0.6373,0.6736,0.6549,0.8079,0.7817,0.7946,0.7913,k=31; depth=4,-0.6085
3DT,3,0.6744,0.7167,0.7084,0.6739,0.7467,0.6744,0.6714,0.5612,0.8847,0.6868,0.8722,0.5322,0.661,0.724,k=42; depth=3,-0.559
4DT,4,0.6935,0.6951,0.6961,0.6933,0.6987,0.6935,0.6939,0.7411,0.6635,0.7002,0.649,0.7286,0.6865,0.7237,k=52; depth=3,-0.5436
5DT,5,0.63,0.6361,0.6333,0.6289,0.6378,0.63,0.6281,0.5949,0.7133,0.6487,0.6773,0.5534,0.6091,0.6904,k=21; depth=4,-0.5671
RF,MEAN,0.7999,0.7974,0.805,0.7942,0.8153,0.7999,0.8009,0.7554,0.7922,0.7655,0.8393,0.8177,0.8229,0.8666,MEAN_VALUES,-0.5169
RF,STD,0.0356,0.0302,0.0368,0.0365,0.0304,0.0356,0.037,0.0751,0.1018,0.0465,0.0944,0.0444,0.0366,0.0367,STD_VALUES,0.0408
XGB,MEAN,0.775,0.776,0.7791,0.768,0.7948,0.775,0.7754,0.7343,0.7601,0.7363,0.8178,0.798,0.7997,0.8481,MEAN_VALUES,-0.5149
XGB,STD,0.0439,0.0391,0.0416,0.0442,0.0341,0.0439,0.0443,0.1103,0.0972,0.0537,0.0817,0.0975,0.049,0.0389,STD_VALUES,0.0306
DT,MEAN,0.6924,0.6952,0.6988,0.6856,0.7166,0.6924,0.6933,0.6192,0.7367,0.6664,0.7712,0.6609,0.7048,0.7356,MEAN_VALUES,-0.5808
DT,STD,0.039,0.031,0.0349,0.0329,0.044,0.039,0.0414,0.0671,0.0799,0.0229,0.091,0.0996,0.0694,0.0335,STD_VALUES,0.0311
