Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6602,0.7682,0.824,-0.5804,all,f_classif,328.0,4,6.0,balanced,,,
XGB,1,0.5895,0.7417,0.8173,-0.5762,94,f_classif,328.0,11,,,0.12232956077406881,0.9352810866856994,
DT,1,0.6186,0.755,0.7987,-0.6107,52,f_classif,,2,20.0,balanced,,,gini
RF,2,0.7692,0.8125,0.8853,-0.5658,73,f_classif,351.0,18,12.0,,,,
XGB,2,0.7879,0.825,0.8853,-0.5555,73,f_classif,247.0,12,,,0.034721387061418765,0.7809305251510433,
DT,2,0.6087,0.55,0.6538,-0.5803,21,f_classif,,1,10.0,,,,gini
RF,3,0.7167,0.7405,0.819,-0.5755,all,f_classif,463.0,12,9.0,balanced,,,
XGB,3,0.7288,0.7557,0.8254,-0.559,94,f_classif,457.0,12,,,0.02031881976060475,0.8430156189646673,
DT,3,0.6457,0.6565,0.7119,-0.625,10,f_classif,,2,19.0,,,,gini
RF,4,0.6234,0.6705,0.7609,-0.4705,94,f_classif,183.0,11,2.0,balanced,,,
XGB,4,0.6582,0.6932,0.7624,-0.4877,94,f_classif,334.0,4,,,0.0135776401443501,0.7608742470731585,
DT,4,0.4444,0.6023,0.7679,-0.5232,31,f_classif,,2,16.0,,,,gini
RF,5,0.7879,0.7895,0.8646,-0.5545,all,f_classif,483.0,13,11.0,balanced,,,
XGB,5,0.7652,0.797,0.8766,-0.5311,94,f_classif,360.0,4,,,0.025033991372233246,0.6845500299620746,
DT,5,0.6667,0.6842,0.7051,-0.5815,all,f_classif,,5,16.0,,,,entropy
