,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,755,188,149,241,136,242,160,13,909
1,RF,2,212,48,88,264,40,245,259,20,456
2,RF,3,589,37,497,433,50,288,24,0,745
3,RF,4,188,307,391,34,217,92,138,483,658
4,RF,5,582,40,334,154,149,96,90,52,823
5,XGB,1,690,277,125,183,229,207,234,82,766
6,XGB,2,218,43,87,228,42,279,236,17,482
7,XGB,3,547,64,512,425,47,299,19,4,746
8,XGB,4,328,81,477,106,138,99,324,196,759
9,XGB,5,583,39,334,166,128,105,96,48,821
10,DT,1,778,0,314,315,0,304,162,0,920
11,DT,2,294,0,54,419,0,130,346,0,389
12,DT,3,548,15,560,498,0,273,77,0,692
13,DT,4,184,472,230,65,186,92,166,517,596
14,DT,5,574,0,382,258,0,141,219,0,746
