,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1058,298,446,603,603,1058,298,446,0.5748331744518589,0.7802359882005899,0.6692563817980022,0.7034574468085106
1,RF,2,980,403,256,427,427,980,403,256,0.6251830161054173,0.7086044830079538,0.5144578313253012,0.7928802588996764
2,RF,3,1183,318,653,864,864,1183,318,653,0.5695451549110085,0.7881412391738841,0.7309644670050761,0.6443355119825708
3,RF,4,946,290,127,497,497,946,290,127,0.7964743589743589,0.7653721682847896,0.6315120711562897,0.8816402609506058
4,RF,5,842,768,189,768,768,842,768,189,0.8025078369905956,0.5229813664596273,0.5,0.8166828322017459
5,XGB,1,1215,141,610,439,439,1215,141,610,0.4184938036224976,0.8960176991150443,0.756896551724138,0.6657534246575343
6,XGB,2,997,386,249,434,434,997,386,249,0.6354319180087847,0.7208966015907448,0.5292682926829269,0.8001605136436597
7,XGB,3,1177,324,661,856,856,1177,324,661,0.5642715886618326,0.7841439040639574,0.7254237288135593,0.6403699673558215
8,XGB,4,958,278,143,481,481,958,278,143,0.7708333333333334,0.7750809061488673,0.6337285902503293,0.8701180744777475
9,XGB,5,961,649,206,751,751,961,649,206,0.7847439916405433,0.5968944099378882,0.5364285714285715,0.8234790059982862
10,DT,1,1217,139,853,196,196,1217,139,853,0.18684461391801716,0.8974926253687315,0.5850746268656717,0.5879227053140097
11,DT,2,1083,300,410,273,273,1083,300,410,0.39970717423133234,0.7830802603036876,0.47643979057591623,0.725385130609511
12,DT,3,971,530,675,842,842,971,530,675,0.5550428477257745,0.6469020652898068,0.6137026239067055,0.5899149453219927
13,DT,4,961,275,205,419,419,961,275,205,0.6714743589743589,0.7775080906148867,0.6037463976945245,0.8241852487135506
14,DT,5,750,860,184,773,773,750,860,184,0.8077324973876698,0.4658385093167702,0.4733619105939988,0.8029978586723768
