,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6991,384.0,6.0,20.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.5556,146.0,6.0,7.0,6.0,,True,,,,,,,,,
2,RF,3,0.5218,422.0,5.0,19.0,9.0,sqrt,True,,,,,,,,,
3,RF,4,0.5206,363.0,3.0,12.0,2.0,log2,True,,,,,,,,,
4,RF,5,0.5773,331.0,8.0,3.0,4.0,log2,True,,,,,,,,,
5,XGB,1,0.6903,481.0,9.0,,,,,0.023686293187169458,0.7387403565626487,0.8010124870699185,9.0,3.271882613853765,1.2374360641884279,0.7440086525453037,,
6,XGB,2,0.5654,292.0,8.0,,,,,0.025840003250229778,0.6073248792362046,0.9117694300678478,3.0,4.570372796098489,1.2932148729787434,0.22422510058508327,,
7,XGB,3,0.5575,404.0,9.0,,,,,0.03620126962879194,0.6028324560711855,0.6077502042717191,2.0,4.3683551783135925,1.1970991062664542,1.531685480026518,,
8,XGB,4,0.575,473.0,9.0,,,,,0.03234102924308585,0.602822975090678,0.9030268141115423,7.0,3.8596200619003556,1.167235531675332,0.006977121465101266,,
9,XGB,5,0.5464,229.0,12.0,,,,,0.08753881526267639,0.7168891822456696,0.8340074787260544,2.0,1.3229454029232186,0.45888558601413454,0.9029953187459385,,
10,DT,1,0.5457,,2.0,13.0,6.0,,,,,,,,,,entropy,best
11,DT,2,0.558,,2.0,13.0,5.0,,,,,,,,,,gini,best
12,DT,3,0.506,,3.0,14.0,5.0,log2,,,,,,,,,gini,best
13,DT,4,0.5568,,3.0,10.0,5.0,sqrt,,,,,,,,,entropy,random
14,DT,5,0.4665,,2.0,13.0,6.0,,,,,,,,,,entropy,best
15,RF,MEAN,0.5749,,,,,,,,,,,,,,,
16,RF,STD,0.0657,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5869,,,,,,,,,,,,,,,
18,XGB,STD,0.0525,,,,,,,,,,,,,,,
19,DT,MEAN,0.5266,,,,,,,,,,,,,,,
20,DT,STD,0.0355,,,,,,,,,,,,,,,
