,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6345,226.0,3.0,13.0,2.0,,True,,,,,,,,,
1,RF,2,0.4982,449.0,6.0,20.0,4.0,log2,True,,,,,,,,,
2,RF,3,0.5217,90.0,6.0,9.0,8.0,log2,True,,,,,,,,,
3,RF,4,0.3808,439.0,6.0,13.0,5.0,log2,True,,,,,,,,,
4,RF,5,0.5742,374.0,12.0,19.0,3.0,log2,False,,,,,,,,,
5,XGB,1,0.6236,428.0,3.0,,,,,0.010127318612027557,0.7537475586472419,0.9479153819474428,10.0,2.506217433819222,1.9904532499372694,1.4563421553819018,,
6,XGB,2,0.5143,402.0,7.0,,,,,0.03530767652003509,0.6008105134576361,0.7469515548880064,7.0,4.137794092123723,0.7999613987674294,1.2907230771815728,,
7,XGB,3,0.5515,261.0,6.0,,,,,0.09365098199228716,0.691349955697369,0.7875969541010543,9.0,3.5062604742539785,0.6425556184967697,0.4367929751960342,,
8,XGB,4,0.4288,94.0,4.0,,,,,0.010573471061378526,0.6323068588040595,0.8044871195637164,3.0,1.2231788707386442,1.302846240774089,0.39708427506349797,,
9,XGB,5,0.5449,218.0,12.0,,,,,0.1205712628744377,0.8394633936788146,0.6624074561769746,2.0,0.2904180608409973,1.7323522915498704,1.2022300234864176,,
10,DT,1,0.647,,3.0,7.0,5.0,,,,,,,,,,entropy,best
11,DT,2,0.5286,,3.0,14.0,10.0,log2,,,,,,,,,entropy,best
12,DT,3,0.524,,8.0,11.0,9.0,log2,,,,,,,,,entropy,random
13,DT,4,0.4346,,3.0,12.0,4.0,,,,,,,,,,gini,best
14,DT,5,0.5858,,2.0,4.0,8.0,,,,,,,,,,gini,best
15,RF,MEAN,0.5219,,,,,,,,,,,,,,,
16,RF,STD,0.0847,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5326,,,,,,,,,,,,,,,
18,XGB,STD,0.0631,,,,,,,,,,,,,,,
19,DT,MEAN,0.544,,,,,,,,,,,,,,,
20,DT,STD,0.0706,,,,,,,,,,,,,,,
