,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.697,52.0,18.0,10.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.593,185.0,16.0,13.0,5.0,log2,True,,,,,,,,,
2,RF,3,0.6829,235.0,19.0,20.0,9.0,,True,,,,,,,,,
3,RF,4,0.4071,228.0,8.0,13.0,4.0,sqrt,True,,,,,,,,,
4,RF,5,0.5647,484.0,13.0,8.0,10.0,log2,False,,,,,,,,,
5,XGB,1,0.6768,187.0,3.0,,,,,0.1024932221692416,0.7760609974958406,0.6488152939379115,5.0,0.17194260557609198,1.8186408041575641,0.5175599632000338,,
6,XGB,2,0.6395,146.0,9.0,,,,,0.04067351283089762,0.7600591041258481,0.7564122592655995,4.0,1.4264519899579091,0.7948277271381501,0.6291282184489212,,
7,XGB,3,0.6951,466.0,11.0,,,,,0.04094162942045279,0.6270807693319538,0.8852098043303755,9.0,1.180429784044685,0.8004955724585501,1.1106925184868883,,
8,XGB,4,0.4071,197.0,6.0,,,,,0.01279368838114635,0.6321806697268401,0.9936851937203807,9.0,0.08882640617467058,0.7383616415397417,0.7846733723171949,,
9,XGB,5,0.5294,401.0,8.0,,,,,0.04602716010304527,0.8022304054975695,0.7727709972501315,9.0,2.852281598741168,1.0888296684273722,0.621264927087979,,
10,DT,1,0.5051,,20.0,9.0,6.0,log2,,,,,,,,,entropy,random
11,DT,2,0.5581,,2.0,5.0,3.0,log2,,,,,,,,,entropy,random
12,DT,3,0.5488,,3.0,19.0,7.0,log2,,,,,,,,,entropy,best
13,DT,4,0.354,,17.0,8.0,3.0,,,,,,,,,,gini,random
14,DT,5,0.5529,,16.0,12.0,8.0,log2,,,,,,,,,entropy,random
15,RF,MEAN,0.5889,,,,,,,,,,,,,,,
16,RF,STD,0.1041,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5896,,,,,,,,,,,,,,,
18,XGB,STD,0.1079,,,,,,,,,,,,,,,
19,DT,MEAN,0.5038,,,,,,,,,,,,,,,
20,DT,STD,0.0772,,,,,,,,,,,,,,,
