,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6188,52.0,13.0,8.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.5699,393.0,14.0,6.0,7.0,sqrt,False,,,,,,,,,
2,RF,3,0.5106,202.0,19.0,11.0,8.0,sqrt,False,,,,,,,,,
3,RF,4,0.4533,186.0,12.0,7.0,2.0,,True,,,,,,,,,
4,RF,5,0.5707,369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6409,348.0,6.0,,,,,0.05864129169696527,0.8186841117373118,0.6739417822102108,10.0,3.8756641168055728,1.8789978831283782,1.7896547008552977,,
6,XGB,2,0.5591,312.0,5.0,,,,,0.043275953345409894,0.7017550392978164,0.9753091410867505,6.0,4.077725005275463,0.1954401752137389,0.5465504299986421,,
7,XGB,3,0.4894,141.0,9.0,,,,,0.024388720084625823,0.9984067957444853,0.7864727961201928,3.0,2.8980211694339673,1.0667180335115558,0.7268130647495569,,
8,XGB,4,0.4867,244.0,5.0,,,,,0.08012737503998542,0.6557975442608167,0.7168578594140873,4.0,2.28034992108518,1.5703519227860272,0.39934756431671947,,
9,XGB,5,0.6335,239.0,3.0,,,,,0.12848281323846295,0.8312453072738961,0.6685902179921372,2.0,4.515824325057341,1.8126390554003051,0.36133292765573066,,
10,DT,1,0.4751,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.5269,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.4048,,2.0,4.0,7.0,,,,,,,,,,entropy,random
13,DT,4,0.49,,2.0,17.0,3.0,,,,,,,,,,entropy,best
14,DT,5,0.5288,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5447,,,,,,,,,,,,,,,
16,RF,STD,0.0571,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5619,,,,,,,,,,,,,,,
18,XGB,STD,0.0668,,,,,,,,,,,,,,,
19,DT,MEAN,0.4851,,,,,,,,,,,,,,,
20,DT,STD,0.0452,,,,,,,,,,,,,,,
