,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.697,0.6752,0.6751,0.6667,0.7173,0.697,0.6987,"{'n_estimators': 52, 'max_depth': 18, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",52.0,18.0,10.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.593,0.5791,0.5461,0.5538,0.5923,0.593,0.5845,"{'n_estimators': 185, 'max_depth': 16, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",185.0,16.0,13.0,5.0,log2,True,,,,,,,,,
2,RF,3,0.6829,0.7179,0.6725,0.6864,0.6961,0.6829,0.6824,"{'n_estimators': 235, 'max_depth': 19, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': None, 'bootstrap': True}",235.0,19.0,20.0,9.0,,True,,,,,,,,,
3,RF,4,0.4071,0.3556,0.4098,0.3459,0.3611,0.4071,0.3484,"{'n_estimators': 228, 'max_depth': 8, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",228.0,8.0,13.0,4.0,sqrt,True,,,,,,,,,
4,RF,5,0.5647,0.6291,0.479,0.4813,0.5959,0.5647,0.5194,"{'n_estimators': 484, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': False}",484.0,13.0,8.0,10.0,log2,False,,,,,,,,,
5,XGB,1,0.6768,0.6576,0.6593,0.6564,0.6922,0.6768,0.6827,"{'n_estimators': 187, 'max_depth': 3, 'learning_rate': 0.1024932221692416, 'subsample': 0.7760609974958406, 'colsample_bytree': 0.6488152939379115, 'min_child_weight': 5, 'gamma': 0.17194260557609198, 'reg_alpha': 1.8186408041575641, 'reg_lambda': 0.5175599632000338}",187.0,3.0,,,,,0.1024932221692416,0.7760609974958406,0.6488152939379115,5.0,0.17194260557609198,1.8186408041575641,0.5175599632000338,,
6,XGB,2,0.6395,0.6325,0.6028,0.6091,0.648,0.6395,0.6341,"{'n_estimators': 146, 'max_depth': 9, 'learning_rate': 0.04067351283089762, 'subsample': 0.7600591041258481, 'colsample_bytree': 0.7564122592655995, 'min_child_weight': 4, 'gamma': 1.4264519899579091, 'reg_alpha': 0.7948277271381501, 'reg_lambda': 0.6291282184489212}",146.0,9.0,,,,,0.04067351283089762,0.7600591041258481,0.7564122592655995,4.0,1.4264519899579091,0.7948277271381501,0.6291282184489212,,
7,XGB,3,0.6951,0.7075,0.6829,0.6872,0.7031,0.6951,0.6907,"{'n_estimators': 466, 'max_depth': 11, 'learning_rate': 0.04094162942045279, 'subsample': 0.6270807693319538, 'colsample_bytree': 0.8852098043303755, 'min_child_weight': 9, 'gamma': 1.180429784044685, 'reg_alpha': 0.8004955724585501, 'reg_lambda': 1.1106925184868883}",466.0,11.0,,,,,0.04094162942045279,0.6270807693319538,0.8852098043303755,9.0,1.180429784044685,0.8004955724585501,1.1106925184868883,,
8,XGB,4,0.4071,0.3474,0.4115,0.35,0.3534,0.4071,0.3522,"{'n_estimators': 197, 'max_depth': 6, 'learning_rate': 0.01279368838114635, 'subsample': 0.6321806697268401, 'colsample_bytree': 0.9936851937203807, 'min_child_weight': 9, 'gamma': 0.08882640617467058, 'reg_alpha': 0.7383616415397417, 'reg_lambda': 0.7846733723171949}",197.0,6.0,,,,,0.01279368838114635,0.6321806697268401,0.9936851937203807,9.0,0.08882640617467058,0.7383616415397417,0.7846733723171949,,
9,XGB,5,0.5294,0.5036,0.4398,0.4284,0.5058,0.5294,0.4794,"{'n_estimators': 401, 'max_depth': 8, 'learning_rate': 0.04602716010304527, 'subsample': 0.8022304054975695, 'colsample_bytree': 0.7727709972501315, 'min_child_weight': 9, 'gamma': 2.852281598741168, 'reg_alpha': 1.0888296684273722, 'reg_lambda': 0.621264927087979}",401.0,8.0,,,,,0.04602716010304527,0.8022304054975695,0.7727709972501315,9.0,2.852281598741168,1.0888296684273722,0.621264927087979,,
