,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6991,0.6506,0.621,0.6336,0.6924,0.6991,0.6944,"{'n_estimators': 384, 'max_depth': 6, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",384.0,6.0,20.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.5556,0.527,0.5234,0.5227,0.5552,0.5556,0.5524,"{'n_estimators': 146, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True}",146.0,6.0,7.0,6.0,,True,,,,,,,,,
2,RF,3,0.5218,0.4751,0.5135,0.4159,0.4801,0.5218,0.4288,"{'n_estimators': 422, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': True}",422.0,5.0,19.0,9.0,sqrt,True,,,,,,,,,
3,RF,4,0.5206,0.4573,0.4432,0.4305,0.4915,0.5206,0.4937,"{'n_estimators': 363, 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}",363.0,3.0,12.0,2.0,log2,True,,,,,,,,,
4,RF,5,0.5773,0.5687,0.549,0.5483,0.5944,0.5773,0.576,"{'n_estimators': 331, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",331.0,8.0,3.0,4.0,log2,True,,,,,,,,,
5,XGB,1,0.6903,0.6362,0.6144,0.6236,0.687,0.6903,0.6879,"{'n_estimators': 481, 'max_depth': 9, 'learning_rate': 0.023686293187169458, 'subsample': 0.7387403565626487, 'colsample_bytree': 0.8010124870699185, 'min_child_weight': 9, 'gamma': 3.271882613853765, 'reg_alpha': 1.2374360641884279, 'reg_lambda': 0.7440086525453037}",481.0,9.0,,,,,0.023686293187169458,0.7387403565626487,0.8010124870699185,9.0,3.271882613853765,1.2374360641884279,0.7440086525453037,,
6,XGB,2,0.5654,0.5298,0.5023,0.5032,0.5509,0.5654,0.5481,"{'n_estimators': 292, 'max_depth': 8, 'learning_rate': 0.025840003250229778, 'subsample': 0.6073248792362046, 'colsample_bytree': 0.9117694300678478, 'min_child_weight': 3, 'gamma': 4.570372796098489, 'reg_alpha': 1.2932148729787434, 'reg_lambda': 0.22422510058508327}",292.0,8.0,,,,,0.025840003250229778,0.6073248792362046,0.9117694300678478,3.0,4.570372796098489,1.2932148729787434,0.22422510058508327,,
7,XGB,3,0.5575,0.5361,0.5498,0.478,0.5389,0.5575,0.4884,"{'n_estimators': 404, 'max_depth': 9, 'learning_rate': 0.03620126962879194, 'subsample': 0.6028324560711855, 'colsample_bytree': 0.6077502042717191, 'min_child_weight': 2, 'gamma': 4.3683551783135925, 'reg_alpha': 1.1970991062664542, 'reg_lambda': 1.531685480026518}",404.0,9.0,,,,,0.03620126962879194,0.6028324560711855,0.6077502042717191,2.0,4.3683551783135925,1.1970991062664542,1.531685480026518,,
8,XGB,4,0.575,0.5488,0.5429,0.5443,0.5728,0.575,0.5721,"{'n_estimators': 473, 'max_depth': 9, 'learning_rate': 0.03234102924308585, 'subsample': 0.602822975090678, 'colsample_bytree': 0.9030268141115423, 'min_child_weight': 7, 'gamma': 3.8596200619003556, 'reg_alpha': 1.167235531675332, 'reg_lambda': 0.006977121465101266}",473.0,9.0,,,,,0.03234102924308585,0.602822975090678,0.9030268141115423,7.0,3.8596200619003556,1.167235531675332,0.006977121465101266,,
9,XGB,5,0.5464,0.5516,0.558,0.5394,0.592,0.5464,0.5527,"{'n_estimators': 229, 'max_depth': 12, 'learning_rate': 0.08753881526267639, 'subsample': 0.7168891822456696, 'colsample_bytree': 0.8340074787260544, 'min_child_weight': 2, 'gamma': 1.3229454029232186, 'reg_alpha': 0.45888558601413454, 'reg_lambda': 0.9029953187459385}",229.0,12.0,,,,,0.08753881526267639,0.7168891822456696,0.8340074787260544,2.0,1.3229454029232186,0.45888558601413454,0.9029953187459385,,
10,DT,1,0.5457,0.3537,0.41,0.3717,0.5188,0.5457,0.5234,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': None, 'splitter': 'best'}",,2.0,13.0,6.0,,,,,,,,,,entropy,best
11,DT,2,0.558,0.3746,0.4608,0.4114,0.4592,0.558,0.5016,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': None, 'splitter': 'best'}",,2.0,13.0,5.0,,,,,,,,,,gini,best
12,DT,3,0.506,0.4852,0.5085,0.4615,0.4903,0.506,0.4642,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 5, 'max_features': 'log2', 'splitter': 'best'}",,3.0,14.0,5.0,log2,,,,,,,,,gini,best
13,DT,4,0.5568,0.5161,0.507,0.5086,0.5472,0.5568,0.5499,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'splitter': 'random'}",,3.0,10.0,5.0,sqrt,,,,,,,,,entropy,random
14,DT,5,0.4665,0.3668,0.4132,0.35,0.4554,0.4665,0.4162,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': None, 'splitter': 'best'}",,2.0,13.0,6.0,,,,,,,,,,entropy,best
15,RF,MEAN,0.5749,0.5357,0.53,0.5102,0.5627,0.5749,0.5491,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0734,0.0778,0.0642,0.0896,0.0863,0.0734,0.0992,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5869,0.5605,0.5535,0.5377,0.5883,0.5869,0.5698,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0587,0.0433,0.0402,0.0552,0.0588,0.0587,0.073,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.5266,0.4193,0.4599,0.4206,0.4942,0.5266,0.4911,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0397,0.0754,0.0481,0.065,0.0392,0.0397,0.0523,N/A,,,,,,,,,,,,,,,
