,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7295,0.7288,0.7309,0.7286,0.7332,0.7295,0.7301,0.7742,0.7164,0.7442,0.6833,0.7455,0.713,"{'n_estimators': 355, 'max_depth': 9, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': False}",355.0,9.0,8.0,2.0,sqrt,False,,,,,,,,,
1,RF,2,0.6301,0.6199,0.619,0.6194,0.6288,0.6301,0.6293,0.5634,0.5479,0.5556,0.6765,0.69,0.6832,"{'n_estimators': 249, 'max_depth': 5, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': False}",249.0,5.0,12.0,4.0,,False,,,,,,,,,
2,RF,3,0.7474,0.7237,0.7173,0.7201,0.7444,0.7474,0.7455,0.6526,0.6139,0.6327,0.7947,0.8207,0.8075,"{'n_estimators': 440, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",440.0,3.0,19.0,8.0,sqrt,False,,,,,,,,,
3,RF,4,0.8397,0.8313,0.8551,0.8348,0.8607,0.8397,0.8425,0.7222,0.9123,0.8062,0.9405,0.798,0.8634,"{'n_estimators': 259, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",259.0,3.0,16.0,8.0,sqrt,False,,,,,,,,,
4,RF,5,0.6805,0.6925,0.6919,0.6805,0.7035,0.6805,0.6802,0.6042,0.7838,0.6824,0.7808,0.6,0.6786,"{'n_estimators': 360, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",360.0,4.0,17.0,10.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6803,0.6918,0.6894,0.6801,0.6994,0.6803,0.6794,0.7692,0.597,0.6723,0.6143,0.7818,0.688,"{'n_estimators': 146, 'max_depth': 5, 'learning_rate': 0.05495985978423373, 'subsample': 0.8031912272095859, 'colsample_bytree': 0.9403230481925785, 'min_child_weight': 3, 'gamma': 1.9032848446966095, 'reg_alpha': 0.15706167766458104, 'reg_lambda': 1.824421309285654}",146.0,5.0,,,,,0.05495985978423373,0.8031912272095859,0.9403230481925785,3.0,1.9032848446966095,0.15706167766458104,1.824421309285654,,
6,XGB,2,0.5954,0.5801,0.576,0.576,0.5889,0.5954,0.5901,0.5238,0.4521,0.4853,0.6364,0.7,0.6667,"{'n_estimators': 314, 'max_depth': 12, 'learning_rate': 0.022265137291936993, 'subsample': 0.7498809137210786, 'colsample_bytree': 0.7413423438672309, 'min_child_weight': 1, 'gamma': 0.6239738940448563, 'reg_alpha': 0.794558472834213, 'reg_lambda': 1.2004823295027718}",314.0,12.0,,,,,0.022265137291936993,0.7498809137210786,0.7413423438672309,1.0,0.6239738940448563,0.794558472834213,1.2004823295027718,,
7,XGB,3,0.7509,0.7279,0.7289,0.7284,0.7514,0.7509,0.7512,0.6471,0.6535,0.6502,0.8087,0.8043,0.8065,"{'n_estimators': 50, 'max_depth': 12, 'learning_rate': 0.04462357948881931, 'subsample': 0.6357740699092044, 'colsample_bytree': 0.9917311685094198, 'min_child_weight': 6, 'gamma': 1.3415890423218226, 'reg_alpha': 0.6488953630452698, 'reg_lambda': 1.5223966419719628}",50.0,12.0,,,,,0.04462357948881931,0.6357740699092044,0.9917311685094198,6.0,1.3415890423218226,0.6488953630452698,1.5223966419719628,,
8,XGB,4,0.7821,0.7746,0.7948,0.7758,0.8061,0.7821,0.7859,0.6575,0.8421,0.7385,0.8916,0.7475,0.8132,"{'n_estimators': 349, 'max_depth': 8, 'learning_rate': 0.13206773598224184, 'subsample': 0.85398780726997, 'colsample_bytree': 0.6908395637447238, 'min_child_weight': 7, 'gamma': 3.6827886887916184, 'reg_alpha': 1.819897509696758, 'reg_lambda': 1.7554017548205287}",349.0,8.0,,,,,0.13206773598224184,0.85398780726997,0.6908395637447238,7.0,3.6827886887916184,1.819897509696758,1.7554017548205287,,
9,XGB,5,0.6746,0.6851,0.6851,0.6746,0.6957,0.6746,0.6746,0.6,0.7703,0.6746,0.7703,0.6,0.6746,"{'n_estimators': 498, 'max_depth': 10, 'learning_rate': 0.020038260312712813, 'subsample': 0.7188368982101682, 'colsample_bytree': 0.8416634198004798, 'min_child_weight': 6, 'gamma': 4.9563744464421315, 'reg_alpha': 1.6314596746190855, 'reg_lambda': 0.26588471308153483}",498.0,10.0,,,,,0.020038260312712813,0.7188368982101682,0.8416634198004798,6.0,4.9563744464421315,1.6314596746190855,0.26588471308153483,,
