,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,71,71,f_classif,0.696
1,RF,2,91,91,f_classif,0.892
2,RF,3,91,91,f_classif,0.892
3,RF,4,all,102,f_classif,1.0
4,RF,5,91,91,f_classif,0.892
5,XGB,1,51,51,f_classif,0.5
6,XGB,2,all,102,f_classif,1.0
7,XGB,3,71,71,f_classif,0.696
8,XGB,4,91,91,f_classif,0.892
9,XGB,5,all,102,f_classif,1.0
10,DT,1,20,20,f_classif,0.196
11,DT,2,20,20,f_classif,0.196
12,DT,3,20,20,f_classif,0.196
13,DT,4,81,81,f_classif,0.794
14,DT,5,71,71,f_classif,0.696
