,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,43,1,29,13,11,14,10,4,95
1,RF,2,79,9,16,42,15,25,15,0,78
2,RF,3,38,13,30,18,18,20,12,6,54
3,RF,4,39,9,56,18,12,11,32,11,84
4,RF,5,51,4,15,38,7,18,12,4,59
5,XGB,1,36,6,31,22,4,12,11,6,92
6,XGB,2,72,14,18,38,15,29,12,2,79
7,XGB,3,40,9,32,19,15,22,12,3,57
8,XGB,4,38,17,49,13,15,13,22,23,82
9,XGB,5,53,1,16,40,2,21,12,0,63
10,DT,1,44,0,29,25,0,13,30,0,79
11,DT,2,21,0,83,21,0,61,4,0,89
12,DT,3,52,0,29,36,0,20,22,0,50
13,DT,4,40,0,64,24,0,17,37,0,90
14,DT,5,46,0,24,30,0,33,9,0,66
