,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,81,81,f_classif,0.794
1,RF,2,all,102,f_classif,1.0
2,RF,3,91,91,f_classif,0.892
3,RF,4,all,102,f_classif,1.0
4,RF,5,all,102,f_classif,1.0
5,XGB,1,all,102,f_classif,1.0
6,XGB,2,all,102,f_classif,1.0
7,XGB,3,51,51,f_classif,0.5
8,XGB,4,all,102,f_classif,1.0
9,XGB,5,81,81,f_classif,0.794
10,DT,1,40,40,f_classif,0.392
11,DT,2,71,71,f_classif,0.696
12,DT,3,51,51,f_classif,0.5
13,DT,4,81,81,f_classif,0.794
14,DT,5,81,81,f_classif,0.794
