,,,Macro,,
Window Size,Model,Accuracy,Precision,Recall,F1-Score
1s,DT,0.5987,0.6052,0.5854,0.5538
,,0.1511,0.1351,0.1141,0.168
,RF,0.764,0.7803,0.7605,0.7561
,,0.0688,0.0634,0.0744,0.0743
,XGB,0.7467,0.7666,0.736,0.7369
,,0.0684,0.0641,0.0767,0.0763
1s_0.5,DT,0.6011,0.5732,0.5811,0.5448
,,0.0334,0.1138,0.0626,0.0584
,RF,0.7508,0.7655,0.7461,0.7419
,,0.0591,0.0543,0.0674,0.0648
,XGB,0.7538,0.7707,0.7431,0.7449
,,0.058,0.054,0.067,0.0647
1s_0.8,DT,0.6366,0.6036,0.6598,0.6065
,,0.0479,0.1371,0.0651,0.0861
,RF,0.7465,0.7558,0.7433,0.7371
,,0.0633,0.0547,0.0708,0.0674
,XGB,0.7481,0.7659,0.7374,0.7393
,,0.0529,0.0458,0.0643,0.0588
2s,DT,0.6693,0.6559,0.6368,0.6194
,,0.0874,0.1212,0.094,0.1158
,RF,0.7559,0.7741,0.751,0.7482
,,0.0599,0.06,0.0654,0.067
,XGB,0.7524,0.7768,0.7437,0.7456
,,0.0639,0.0625,0.0667,0.0686
2s_0.5,DT,0.5531,0.5506,0.5834,0.5049
,,0.0674,0.1412,0.0456,0.0676
,RF,0.7588,0.7777,0.7556,0.7521
,,0.0723,0.0664,0.078,0.078
,XGB,0.7575,0.7813,0.7497,0.7506
,,0.0704,0.0682,0.0701,0.0749
2s_0.8,DT,0.5944,0.6057,0.578,0.542
,,0.0882,0.0922,0.1052,0.1183
,RF,0.7532,0.7679,0.7468,0.7439
,,0.0636,0.0555,0.0669,0.0656
,XGB,0.7511,0.7705,0.7402,0.7398
,,0.062,0.0612,0.0651,0.0662
3s,DT,0.6425,0.6078,0.6023,0.5648
,,0.0706,0.1441,0.0967,0.1209
,RF,0.768,0.7833,0.7639,0.7611
,,0.0573,0.0487,0.0594,0.058
,XGB,0.771,0.7939,0.7672,0.7652
,,0.067,0.0564,0.0711,0.0712
3s_0.5,DT,0.6049,0.6438,0.5766,0.5642
,,0.1448,0.156,0.1215,0.1595
,RF,0.758,0.7705,0.7509,0.7482
,,0.0685,0.066,0.0717,0.0724
,XGB,0.7602,0.7785,0.7485,0.7507
,,0.0698,0.0651,0.0739,0.0759
3s_0.8,DT,0.575,0.5557,0.5083,0.4882
,,0.096,0.1351,0.0458,0.07
,RF,0.7561,0.7698,0.7454,0.7434
,,0.0633,0.0599,0.0667,0.0671
,XGB,0.7555,0.7708,0.7457,0.7437
,,0.055,0.0515,0.06,0.0589
4s,DT,0.6265,0.6103,0.6559,0.6128
,,0.1312,0.1863,0.0857,0.1397
,RF,0.7503,0.7678,0.7473,0.7413
,,0.0817,0.0865,0.0848,0.0884
,XGB,0.7417,0.7622,0.7337,0.7307
,,0.0495,0.0551,0.0628,0.0601
4s_0.5,DT,0.6468,0.6295,0.6174,0.5821
,,0.0272,0.0491,0.1061,0.0953
,RF,0.7608,0.7754,0.7562,0.7504
,,0.087,0.0794,0.0955,0.0934
,XGB,0.7561,0.775,0.7532,0.7476
,,0.059,0.0554,0.0668,0.0653
4s_0.8,DT,0.6666,0.6927,0.6301,0.6188
,,0.0199,0.0585,0.0195,0.0198
,RF,0.7597,0.7682,0.7512,0.7464
,,0.0588,0.0503,0.0656,0.0602
,XGB,0.754,0.7704,0.7437,0.7415
,,0.0604,0.0528,0.0655,0.0639
5s,DT,0.5773,0.5529,0.6102,0.5192
,,0.1229,0.2179,0.0969,0.1475
,RF,0.767,0.7838,0.7691,0.7635
,,0.0864,0.0741,0.0888,0.0899
,XGB,0.7669,0.785,0.7634,0.7611
,,0.0682,0.0518,0.0708,0.0679
5s_0.5,DT,0.5991,0.5257,0.5987,0.5286
,,0.067,0.1455,0.0597,0.1148
,RF,0.7655,0.7816,0.7624,0.7561
,,0.0812,0.0714,0.0783,0.084
,XGB,0.7674,0.7828,0.7603,0.7588
,,0.0597,0.0569,0.0621,0.0641
5s_0.8,DT,0.5336,0.4737,0.6036,0.46
,,0.0776,0.1955,0.063,0.0461
,RF,0.7466,0.7599,0.7387,0.7303
,,0.0808,0.0699,0.0776,0.079
,XGB,0.7526,0.7646,0.7358,0.7339
,,0.0641,0.0533,0.0641,0.0636
