,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6377,0.6058,0.5494,0.5593,0.6349,0.6377,0.625,0.729,0.7614,"{'n_estimators': 439, 'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'bootstrap': False}",0.4878,0.5405,0.5128,0.6741,0.6154,0.3077,0.4103,0.783,0.7143,0.8,0.7547,0.7299,439.0,4.0,8.0,6.0,sqrt,False,,,,,,,,,
1,RF,2,0.6186,0.5995,0.5436,0.5527,0.6211,0.6186,0.6034,0.7283,0.7755,"{'n_estimators': 367, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",0.4444,0.4444,0.4444,0.709,0.6875,0.3667,0.4783,0.661,0.6667,0.8197,0.7353,0.8148,367.0,5.0,2.0,1.0,sqrt,True,,,,,,,,,
2,RF,3,0.4839,0.4764,0.4578,0.4362,0.4948,0.4839,0.4622,0.6787,0.6814,"{'n_estimators': 338, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': False}",0.3625,0.5918,0.4496,0.603,0.4,0.1364,0.2034,0.6368,0.6667,0.6452,0.6557,0.7964,338.0,11.0,2.0,5.0,log2,False,,,,,,,,,
3,RF,4,0.5897,0.5642,0.5462,0.5467,0.5798,0.5897,0.5785,0.7347,0.7604,"{'n_estimators': 66, 'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True}",0.6308,0.6613,0.6457,0.7775,0.4762,0.2941,0.3636,0.6731,0.5857,0.6833,0.6308,0.7536,66.0,6.0,6.0,5.0,,True,,,,,,,,,
4,RF,5,0.5068,0.5206,0.5245,0.4906,0.5636,0.5068,0.4981,0.7003,0.6966,"{'n_estimators': 366, 'max_depth': 19, 'min_samples_split': 18, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}",0.7143,0.3846,0.5,0.6865,0.3922,0.3922,0.3922,0.6687,0.4554,0.7969,0.5795,0.7458,366.0,19.0,18.0,8.0,,True,,,,,,,,,
5,XGB,1,0.6159,0.5522,0.5308,0.5375,0.6022,0.6159,0.6061,0.7108,0.7515,"{'n_estimators': 110, 'max_depth': 11, 'learning_rate': 0.010112096189463606, 'subsample': 0.6270807693319538, 'colsample_bytree': 0.6381523891144405, 'min_child_weight': 10, 'gamma': 2.0199589999887486, 'reg_alpha': 1.0215528358066663, 'reg_lambda': 0.46748338106729503}",0.4722,0.4595,0.4658,0.6717,0.4737,0.3462,0.4,0.7438,0.7108,0.7867,0.7468,0.7168,110.0,11.0,,,,,0.010112096189463606,0.6270807693319538,0.6381523891144405,10.0,2.0199589999887486,1.0215528358066663,0.46748338106729503,,
6,XGB,2,0.6441,0.6123,0.5669,0.5758,0.633,0.6441,0.6256,0.7312,0.7717,"{'n_estimators': 176, 'max_depth': 12, 'learning_rate': 0.02260431911620805, 'subsample': 0.6534491092782351, 'colsample_bytree': 0.6343092535930587, 'min_child_weight': 3, 'gamma': 1.4179657014543465, 'reg_alpha': 1.421097574462251, 'reg_lambda': 0.6686670584818268}",0.5417,0.4815,0.5098,0.7375,0.6111,0.3667,0.4583,0.6867,0.6842,0.8525,0.7591,0.7693,176.0,12.0,,,,,0.02260431911620805,0.6534491092782351,0.6343092535930587,3.0,1.4179657014543465,1.421097574462251,0.6686670584818268,,
7,XGB,3,0.4516,0.4603,0.4294,0.3975,0.477,0.4516,0.4224,0.6658,0.6618,"{'n_estimators': 244, 'max_depth': 5, 'learning_rate': 0.08012737503998542, 'subsample': 0.6557975442608167, 'colsample_bytree': 0.7168578594140873, 'min_child_weight': 4, 'gamma': 2.28034992108518, 'reg_alpha': 1.5703519227860272, 'reg_lambda': 0.39934756431671947}",0.3444,0.6327,0.446,0.6003,0.4,0.0909,0.1481,0.6155,0.6364,0.5645,0.5983,0.7815,244.0,5.0,,,,,0.08012737503998542,0.6557975442608167,0.7168578594140873,4.0,2.28034992108518,1.5703519227860272,0.39934756431671947,,
8,XGB,4,0.5769,0.5622,0.5566,0.5588,0.5764,0.5769,0.5762,0.7413,0.7623,"{'n_estimators': 324, 'max_depth': 12, 'learning_rate': 0.05800539609383136, 'subsample': 0.7465992998608892, 'colsample_bytree': 0.6388303087511908, 'min_child_weight': 1, 'gamma': 0.4467679389218082, 'reg_alpha': 0.9365918447088837, 'reg_lambda': 0.7790563150363168}",0.6557,0.6452,0.6504,0.7783,0.4839,0.4412,0.4615,0.7191,0.5469,0.5833,0.5645,0.7264,324.0,12.0,,,,,0.05800539609383136,0.7465992998608892,0.6388303087511908,1.0,0.4467679389218082,0.9365918447088837,0.7790563150363168,,
9,XGB,5,0.4932,0.5151,0.5156,0.4743,0.5606,0.4932,0.4789,0.712,0.7052,"{'n_estimators': 418, 'max_depth': 10, 'learning_rate': 0.019629387430785187, 'subsample': 0.7727431143998708, 'colsample_bytree': 0.8209823503143753, 'min_child_weight': 9, 'gamma': 4.318594672386519, 'reg_alpha': 0.8363081645641481, 'reg_lambda': 1.400388161041701}",0.72,0.3462,0.4675,0.7098,0.38,0.3725,0.3762,0.6622,0.4454,0.8281,0.5792,0.764,418.0,10.0,,,,,0.019629387430785187,0.7727431143998708,0.8209823503143753,9.0,4.318594672386519,0.8363081645641481,1.400388161041701,,
10,DT,1,0.5942,0.53,0.5281,0.522,0.5877,0.5942,0.5854,0.6505,0.7076,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",0.48,0.3243,0.3871,0.6276,0.4062,0.5,0.4483,0.6236,0.7037,0.76,0.7308,0.7002,,4.0,7.0,8.0,log2,,,,,,,,,entropy,best
11,DT,2,0.4831,0.4155,0.4149,0.4135,0.4689,0.4831,0.4745,0.6377,0.674,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 13, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'best'}",0.2857,0.2222,0.25,0.6365,0.3548,0.3667,0.3607,0.618,0.6061,0.6557,0.6299,0.6586,,5.0,13.0,10.0,,,,,,,,,,gini,best
12,DT,3,0.3871,0.4654,0.3864,0.3449,0.4902,0.3871,0.3562,0.5828,0.6054,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'splitter': 'random'}",0.319,0.7551,0.4485,0.5307,0.3571,0.1136,0.1724,0.5348,0.72,0.2903,0.4138,0.6828,,4.0,2.0,9.0,sqrt,,,,,,,,,gini,random
