,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7572,0.7821,0.6375,0.6724,0.7656,0.7572,0.7359,0.7858,0.8462,"{'n_estimators': 187, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",0.75,0.551,0.6353,0.7569,0.8462,0.3929,0.5366,0.7633,0.75,0.9688,0.8455,0.8373,187.0,4.0,15.0,5.0,log2,True,,,,,,,,,
1,RF,2,0.5,0.5347,0.49,0.4552,0.5558,0.5,0.4738,0.7161,0.702,"{'n_estimators': 440, 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True}",0.3478,0.6,0.4404,0.6475,0.6429,0.1731,0.2727,0.7126,0.6133,0.697,0.6525,0.7882,440.0,5.0,16.0,5.0,,True,,,,,,,,,
2,RF,3,0.5633,0.5856,0.568,0.5262,0.6245,0.5633,0.5495,0.7093,0.6995,"{'n_estimators': 227, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 'log2', 'bootstrap': True}",0.7532,0.5133,0.6105,0.7264,0.5556,0.2727,0.3659,0.5902,0.448,0.918,0.6022,0.8115,227.0,3.0,14.0,7.0,log2,True,,,,,,,,,
3,RF,4,0.4953,0.4949,0.471,0.4785,0.4962,0.4953,0.4929,0.6651,0.6861,"{'n_estimators': 201, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}",0.4643,0.5132,0.4875,0.6679,0.5,0.3571,0.4167,0.6903,0.5204,0.5426,0.5312,0.6372,201.0,20.0,8.0,2.0,log2,True,,,,,,,,,
4,RF,5,0.5564,0.558,0.5233,0.5237,0.5582,0.5564,0.5431,0.7046,0.7204,"{'n_estimators': 380, 'max_depth': 7, 'min_samples_split': 14, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': True}",0.6304,0.6304,0.6304,0.8078,0.5294,0.2727,0.36,0.633,0.5143,0.6667,0.5806,0.673,380.0,7.0,14.0,6.0,log2,True,,,,,,,,,
5,XGB,1,0.7168,0.6816,0.6301,0.6482,0.7094,0.7168,0.706,0.7745,0.8346,"{'n_estimators': 168, 'max_depth': 9, 'learning_rate': 0.03316386872489309, 'subsample': 0.7453103115514498, 'colsample_bytree': 0.881117212154731, 'min_child_weight': 5, 'gamma': 0.27346433815659926, 'reg_alpha': 1.434418799374471, 'reg_lambda': 0.5355976757513788}",0.7105,0.551,0.6207,0.7508,0.5909,0.4643,0.52,0.768,0.7434,0.875,0.8038,0.8047,168.0,9.0,,,,,0.03316386872489309,0.7453103115514498,0.881117212154731,5.0,0.27346433815659926,1.434418799374471,0.5355976757513788,,
6,XGB,2,0.5633,0.5658,0.5419,0.5059,0.5889,0.5633,0.5297,0.7289,0.7311,"{'n_estimators': 176, 'max_depth': 4, 'learning_rate': 0.26760882207454373, 'subsample': 0.8436473264896194, 'colsample_bytree': 0.6629677129616175, 'min_child_weight': 9, 'gamma': 2.339883400786703, 'reg_alpha': 1.808575707935181, 'reg_lambda': 1.623232240416182}",0.3934,0.6,0.4752,0.6528,0.625,0.1923,0.2941,0.7036,0.679,0.8333,0.7483,0.8305,176.0,4.0,,,,,0.26760882207454373,0.8436473264896194,0.6629677129616175,9.0,2.339883400786703,1.808575707935181,1.623232240416182,,
7,XGB,3,0.5546,0.5645,0.5676,0.5311,0.6299,0.5546,0.5539,0.7054,0.6958,"{'n_estimators': 121, 'max_depth': 12, 'learning_rate': 0.01603405587855917, 'subsample': 0.7131755724907177, 'colsample_bytree': 0.9931586479472261, 'min_child_weight': 4, 'gamma': 3.7415994891075073, 'reg_alpha': 1.059962685602378, 'reg_lambda': 0.7137456557476223}",0.8333,0.4867,0.6145,0.7321,0.4,0.3636,0.381,0.5846,0.4602,0.8525,0.5977,0.7995,121.0,12.0,,,,,0.01603405587855917,0.7131755724907177,0.9931586479472261,4.0,3.7415994891075073,1.059962685602378,0.7137456557476223,,
8,XGB,4,0.5047,0.4836,0.4824,0.483,0.504,0.5047,0.5043,0.6781,0.694,"{'n_estimators': 361, 'max_depth': 9, 'learning_rate': 0.20097669898920228, 'subsample': 0.8031912272095859, 'colsample_bytree': 0.7861812534540323, 'min_child_weight': 10, 'gamma': 3.48614512563236, 'reg_alpha': 1.6760960243908196, 'reg_lambda': 1.8117323647261654}",0.5132,0.5132,0.5132,0.7194,0.3902,0.381,0.3855,0.6801,0.5474,0.5532,0.5503,0.6347,361.0,9.0,,,,,0.20097669898920228,0.8031912272095859,0.7861812534540323,10.0,3.48614512563236,1.6760960243908196,1.8117323647261654,,
9,XGB,5,0.5338,0.5508,0.5115,0.5181,0.5436,0.5338,0.528,0.703,0.7167,"{'n_estimators': 452, 'max_depth': 4, 'learning_rate': 0.036808531641035286, 'subsample': 0.8910149050713664, 'colsample_bytree': 0.7251736406816498, 'min_child_weight': 6, 'gamma': 4.330402796023959, 'reg_alpha': 1.0849864179819995, 'reg_lambda': 0.9190886437815345}",0.5957,0.6087,0.6022,0.7526,0.5789,0.3333,0.4231,0.6764,0.4776,0.5926,0.5289,0.68,452.0,4.0,,,,,0.036808531641035286,0.8910149050713664,0.7251736406816498,6.0,4.330402796023959,1.0849864179819995,0.9190886437815345,,
10,DT,1,0.6936,0.6501,0.5441,0.5597,0.6765,0.6936,0.6534,0.6779,0.755,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'best'}",0.6667,0.3673,0.4737,0.6672,0.5714,0.2857,0.381,0.6377,0.7121,0.9792,0.8246,0.7289,,3.0,18.0,1.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.4873,0.4555,0.4569,0.4312,0.4678,0.4873,0.4512,0.6251,0.6215,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'best'}",0.3953,0.425,0.4096,0.6166,0.4286,0.1731,0.2466,0.5051,0.5426,0.7727,0.6375,0.7537,,3.0,18.0,1.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.4192,0.4468,0.4537,0.4049,0.5059,0.4192,0.4078,0.6318,0.6339,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': None, 'splitter': 'random'}",0.6809,0.2832,0.4,0.6116,0.2192,0.2909,0.25,0.5077,0.4404,0.7869,0.5647,0.776,,5.0,13.0,2.0,,,,,,,,,,entropy,random
13,DT,4,0.467,0.3328,0.3973,0.3462,0.4091,0.467,0.4171,0.5867,0.5918,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.3957,0.7237,0.5116,0.553,0.0,0.0,0.0,0.5959,0.6027,0.4681,0.5269,0.6112,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
14,DT,5,0.4962,0.3302,0.4353,0.3741,0.3727,0.4962,0.4241,0.5805,0.6197,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.4906,0.5652,0.5253,0.6274,0.0,0.0,0.0,0.497,0.5,0.7407,0.597,0.6172,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
