,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6101,0.6775,0.5431,0.522,0.6849,0.6101,0.5674,0.7303,0.7456,"{'n_estimators': 230, 'max_depth': 7, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': True}",0.4321,0.5147,0.4698,0.6297,0.9412,0.2,0.3299,0.761,0.6592,0.9147,0.7662,0.8002,230.0,7.0,3.0,6.0,log2,True,,,,,,,,,
1,RF,2,0.5196,0.5152,0.4791,0.4463,0.5289,0.5196,0.4806,0.6649,0.6858,"{'n_estimators': 439, 'max_depth': 16, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",0.4125,0.5893,0.4853,0.6565,0.5385,0.1228,0.2,0.5559,0.5946,0.7253,0.6535,0.7823,439.0,16.0,20.0,10.0,,True,,,,,,,,,
2,RF,3,0.5525,0.5358,0.5184,0.5166,0.5695,0.5525,0.5498,0.6753,0.6884,"{'n_estimators': 166, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False}",0.6857,0.5333,0.6,0.6538,0.4286,0.3333,0.375,0.6907,0.4932,0.6887,0.5748,0.6812,166.0,10.0,5.0,1.0,log2,False,,,,,,,,,
3,RF,4,0.543,0.5158,0.5173,0.5164,0.5459,0.543,0.5443,0.688,0.7071,"{'n_estimators': 240, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': True}",0.6341,0.6103,0.622,0.717,0.3918,0.4086,0.4,0.6436,0.5215,0.533,0.5272,0.7035,240.0,20.0,8.0,9.0,sqrt,True,,,,,,,,,
4,RF,5,0.5952,0.5931,0.5678,0.574,0.598,0.5952,0.5918,0.7933,0.8106,"{'n_estimators': 52, 'max_depth': 17, 'min_samples_split': 15, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",0.5283,0.6022,0.5628,0.7578,0.6087,0.4242,0.5,0.8024,0.6423,0.6769,0.6592,0.8195,52.0,17.0,15.0,8.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6282,0.6462,0.5701,0.5517,0.6641,0.6282,0.5953,0.738,0.7598,"{'n_estimators': 244, 'max_depth': 5, 'learning_rate': 0.08012737503998542, 'subsample': 0.6557975442608167, 'colsample_bytree': 0.7168578594140873, 'min_child_weight': 4, 'gamma': 2.28034992108518, 'reg_alpha': 1.5703519227860272, 'reg_lambda': 0.39934756431671947}",0.4483,0.5735,0.5032,0.6597,0.7917,0.2375,0.3654,0.7534,0.6988,0.8992,0.7864,0.8008,244.0,5.0,,,,,0.08012737503998542,0.6557975442608167,0.7168578594140873,4.0,2.28034992108518,1.5703519227860272,0.39934756431671947,,
6,XGB,2,0.5049,0.45,0.4657,0.4424,0.4729,0.5049,0.4751,0.6539,0.6706,"{'n_estimators': 120, 'max_depth': 3, 'learning_rate': 0.07144045031557499, 'subsample': 0.8093314184600254, 'colsample_bytree': 0.685986709221689, 'min_child_weight': 3, 'gamma': 0.2603033049694332, 'reg_alpha': 1.9875566793333093, 'reg_lambda': 0.5964903787292063}",0.4429,0.5536,0.4921,0.6781,0.32,0.1404,0.1951,0.5398,0.5872,0.7033,0.64,0.7438,120.0,3.0,,,,,0.07144045031557499,0.8093314184600254,0.685986709221689,3.0,0.2603033049694332,1.9875566793333093,0.5964903787292063,,
7,XGB,3,0.5661,0.5671,0.5324,0.5397,0.5775,0.5661,0.5641,0.6903,0.6975,"{'n_estimators': 171, 'max_depth': 11, 'learning_rate': 0.0785652939987478, 'subsample': 0.6709896603283548, 'colsample_bytree': 0.7191352115223154, 'min_child_weight': 5, 'gamma': 2.619511444625137, 'reg_alpha': 0.6954656742591374, 'reg_lambda': 0.6629845268781713}",0.6529,0.5852,0.6172,0.6658,0.5556,0.3704,0.4444,0.7307,0.4928,0.6415,0.5574,0.6745,171.0,11.0,,,,,0.0785652939987478,0.6709896603283548,0.7191352115223154,5.0,2.619511444625137,0.6954656742591374,0.6629845268781713,,
8,XGB,4,0.502,0.4861,0.4977,0.4878,0.5167,0.502,0.5065,0.6832,0.6928,"{'n_estimators': 388, 'max_depth': 9, 'learning_rate': 0.011841421804449317, 'subsample': 0.688565224075009, 'colsample_bytree': 0.7370292335140508, 'min_child_weight': 1, 'gamma': 2.1888035794148832, 'reg_alpha': 1.895012759469228, 'reg_lambda': 0.4822720965336649}",0.5895,0.5258,0.5558,0.6943,0.3543,0.4839,0.4091,0.6709,0.5146,0.4835,0.4986,0.6843,388.0,9.0,,,,,0.011841421804449317,0.688565224075009,0.7370292335140508,1.0,2.1888035794148832,1.895012759469228,0.4822720965336649,,
9,XGB,5,0.6021,0.6097,0.5814,0.5891,0.6092,0.6021,0.6009,0.8082,0.8222,"{'n_estimators': 369, 'max_depth': 7, 'learning_rate': 0.03084228602647413, 'subsample': 0.6810317734464092, 'colsample_bytree': 0.9700505870963767, 'min_child_weight': 5, 'gamma': 2.0120003222547718, 'reg_alpha': 0.4168690347480791, 'reg_lambda': 1.097158332713084}",0.5278,0.6129,0.5672,0.7769,0.6596,0.4697,0.5487,0.8445,0.6418,0.6615,0.6515,0.8031,369.0,7.0,,,,,0.03084228602647413,0.6810317734464092,0.9700505870963767,5.0,2.0120003222547718,0.4168690347480791,1.097158332713084,,
10,DT,1,0.5379,0.5078,0.4893,0.4775,0.5421,0.5379,0.5215,0.6582,0.692,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'splitter': 'best'}",0.3478,0.4706,0.4,0.5934,0.5135,0.2375,0.3248,0.6215,0.6622,0.7597,0.7076,0.7598,,5.0,16.0,7.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.4657,0.3511,0.3912,0.3526,0.3836,0.4657,0.4041,0.6021,0.6375,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",0.3636,0.2857,0.32,0.5786,0.1429,0.0526,0.0769,0.547,0.5468,0.8352,0.6609,0.6807,,4.0,4.0,7.0,log2,,,,,,,,,gini,best
12,DT,3,0.5119,0.4862,0.4588,0.4571,0.5092,0.5119,0.4999,0.5936,0.609,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'splitter': 'best'}",0.5794,0.5407,0.5594,0.5979,0.4074,0.2037,0.2716,0.6219,0.4718,0.6321,0.5403,0.561,,4.0,8.0,4.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.5205,0.4888,0.4615,0.4489,0.5127,0.5205,0.4967,0.6155,0.6446,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': None, 'splitter': 'random'}",0.5792,0.4977,0.5354,0.606,0.3889,0.1505,0.2171,0.5845,0.4981,0.7363,0.5942,0.6561,,3.0,12.0,6.0,,,,,,,,,,entropy,random
14,DT,5,0.5779,0.377,0.4823,0.4211,0.4416,0.5779,0.4983,0.652,0.7117,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 11, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'random'}",0.5248,0.5699,0.5464,0.6625,0.0,0.0,0.0,0.5877,0.6064,0.8769,0.717,0.7058,,1.0,11.0,9.0,,,,,,,,,,gini,random
15,RF,MEAN,0.5641,0.5675,0.5251,0.5151,0.5854,0.5641,0.5468,0.7104,0.7275,N/A,0.5385,0.57,0.548,0.683,0.5818,0.2978,0.361,0.6907,0.5822,0.7077,0.6362,0.7573,,,,,,,,,,,,,,,
16,RF,STD,0.0376,0.0692,0.033,0.0454,0.0614,0.0376,0.0414,0.0526,0.0522,N/A,0.1205,0.0431,0.0679,0.0528,0.2187,0.132,0.1095,0.0972,0.073,0.1369,0.0913,0.0613,,,,,,,,,,,,,,,
