,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.5165,0.4876,0.4497,0.4311,0.52,0.5165,0.483,0.6919,0.6981,"{'n_estimators': 388, 'max_depth': 8, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",0.2973,0.3618,0.3264,0.6418,0.55,0.1765,0.2672,0.6867,0.6154,0.8108,0.6997,0.7472,388.0,8.0,17.0,1.0,sqrt,True,,,,,,,,,
1,RF,2,0.567,0.511,0.5297,0.4955,0.5787,0.567,0.5468,0.6983,0.7306,"{'n_estimators': 348, 'max_depth': 8, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': True}",0.7701,0.5342,0.6308,0.7704,0.2258,0.153,0.1824,0.4705,0.5371,0.9019,0.6732,0.854,348.0,8.0,11.0,6.0,log2,True,,,,,,,,,
2,RF,3,0.5966,0.5977,0.5697,0.5577,0.6184,0.5966,0.5801,0.7162,0.7198,"{'n_estimators': 69, 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.7026,0.467,0.5611,0.6424,0.5368,0.3617,0.4322,0.7406,0.5535,0.8804,0.6797,0.7657,69.0,11.0,7.0,4.0,log2,True,,,,,,,,,
3,RF,4,0.4954,0.6359,0.443,0.4324,0.595,0.4954,0.4741,0.6661,0.683,"{'n_estimators': 211, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'bootstrap': True}",0.3926,0.6263,0.4827,0.6506,0.9259,0.1359,0.237,0.6993,0.589,0.5668,0.5777,0.6482,211.0,4.0,14.0,6.0,sqrt,True,,,,,,,,,
4,RF,5,0.6245,0.6138,0.5867,0.5875,0.6373,0.6245,0.6217,0.7837,0.809,"{'n_estimators': 229, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': True}",0.5186,0.7018,0.5965,0.789,0.6022,0.3862,0.4706,0.7506,0.7205,0.672,0.6954,0.8114,229.0,14.0,2.0,8.0,sqrt,True,,,,,,,,,
5,XGB,1,0.4803,0.4999,0.4512,0.4474,0.5281,0.4803,0.4804,0.6463,0.6632,"{'n_estimators': 237, 'max_depth': 3, 'learning_rate': 0.2259610202493931, 'subsample': 0.6764051350705139, 'colsample_bytree': 0.9661944324626605, 'min_child_weight': 2, 'gamma': 3.9364258851864444, 'reg_alpha': 0.7082145185952615, 'reg_lambda': 0.5217776672972023}",0.2851,0.4539,0.3503,0.5665,0.619,0.2781,0.3838,0.7001,0.5955,0.6216,0.6083,0.6724,237.0,3.0,,,,,0.2259610202493931,0.6764051350705139,0.9661944324626605,2.0,3.9364258851864444,0.7082145185952615,0.5217776672972023,,
6,XGB,2,0.5611,0.5239,0.5362,0.5152,0.5808,0.5611,0.5542,0.6976,0.7191,"{'n_estimators': 316, 'max_depth': 9, 'learning_rate': 0.1816647010838643, 'subsample': 0.9062063010352273, 'colsample_bytree': 0.9520104938890753, 'min_child_weight': 3, 'gamma': 0.740686869393463, 'reg_alpha': 1.7445451016030713, 'reg_lambda': 0.8621121719050288}",0.7357,0.5215,0.6104,0.731,0.2749,0.2568,0.2655,0.5391,0.5612,0.8302,0.6697,0.8226,316.0,9.0,,,,,0.1816647010838643,0.9062063010352273,0.9520104938890753,3.0,0.740686869393463,1.7445451016030713,0.8621121719050288,,
7,XGB,3,0.5783,0.5625,0.5598,0.5455,0.5986,0.5783,0.5694,0.7155,0.7148,"{'n_estimators': 394, 'max_depth': 9, 'learning_rate': 0.04299934879478283, 'subsample': 0.7727431143998708, 'colsample_bytree': 0.764088169035724, 'min_child_weight': 8, 'gamma': 3.497976400866442, 'reg_alpha': 1.2855309089718225, 'reg_lambda': 0.6891424142157835}",0.6996,0.467,0.5601,0.6384,0.4318,0.4043,0.4176,0.75,0.5561,0.808,0.6588,0.758,394.0,9.0,,,,,0.04299934879478283,0.7727431143998708,0.764088169035724,8.0,3.497976400866442,1.2855309089718225,0.6891424142157835,,
8,XGB,4,0.5402,0.5589,0.5126,0.5168,0.5602,0.5402,0.536,0.7008,0.7059,"{'n_estimators': 113, 'max_depth': 9, 'learning_rate': 0.011191572475556431, 'subsample': 0.6752502540594851, 'colsample_bytree': 0.9691182081230727, 'min_child_weight': 9, 'gamma': 3.8764710057762555, 'reg_alpha': 1.146551776638498, 'reg_lambda': 1.881443020877351}",0.4595,0.6471,0.5374,0.6982,0.604,0.3315,0.4281,0.7537,0.6133,0.5592,0.585,0.6504,113.0,9.0,,,,,0.011191572475556431,0.6752502540594851,0.9691182081230727,9.0,3.8764710057762555,1.146551776638498,1.881443020877351,,
9,XGB,5,0.6,0.5832,0.5703,0.569,0.611,0.6,0.5993,0.7729,0.7946,"{'n_estimators': 323, 'max_depth': 5, 'learning_rate': 0.057062183850310366, 'subsample': 0.6429962108602945, 'colsample_bytree': 0.7737607614478242, 'min_child_weight': 10, 'gamma': 1.7422241912188219, 'reg_alpha': 1.0771689186792708, 'reg_lambda': 1.3060872818340408}",0.5052,0.6697,0.5759,0.7818,0.5463,0.4069,0.4664,0.7504,0.6982,0.6344,0.6648,0.7864,323.0,5.0,,,,,0.057062183850310366,0.6429962108602945,0.7737607614478242,10.0,1.7422241912188219,1.0771689186792708,1.3060872818340408,,
10,DT,1,0.4772,0.2792,0.3967,0.3277,0.3335,0.4772,0.3926,0.6198,0.6384,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.2512,0.3421,0.2897,0.5106,0.0,0.0,0.0,0.6859,0.5864,0.848,0.6934,0.6629,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.5267,0.4705,0.4945,0.4715,0.5279,0.5267,0.5152,0.6839,0.7085,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.6532,0.4911,0.5607,0.7302,0.1706,0.1585,0.1643,0.5091,0.5878,0.834,0.6895,0.8124,,4.0,8.0,3.0,sqrt,,,,,,,,,gini,best
12,DT,3,0.3864,0.2702,0.3322,0.2761,0.3351,0.3864,0.3318,0.4973,0.5912,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'splitter': 'random'}",0.4505,0.2865,0.3503,0.497,0.0,0.0,0.0,0.4951,0.3603,0.7101,0.478,0.5,,1.0,11.0,5.0,sqrt,,,,,,,,,entropy,random
13,DT,4,0.4885,0.455,0.4448,0.4462,0.4783,0.4885,0.4795,0.6267,0.6514,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'splitter': 'best'}",0.4774,0.4014,0.4361,0.6079,0.3487,0.288,0.3155,0.6338,0.5389,0.6448,0.5872,0.6384,,4.0,14.0,9.0,sqrt,,,,,,,,,entropy,best
14,DT,5,0.6041,0.5455,0.5085,0.4823,0.5855,0.6041,0.5665,0.6849,0.7396,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'random'}",0.4983,0.6697,0.5714,0.7235,0.4483,0.0897,0.1494,0.6029,0.6901,0.7661,0.7261,0.7283,,5.0,16.0,1.0,sqrt,,,,,,,,,entropy,random
15,RF,MEAN,0.56,0.5692,0.5158,0.5008,0.5899,0.56,0.5411,0.7112,0.7281,N/A,0.5362,0.5382,0.5195,0.6988,0.5681,0.2427,0.3179,0.6695,0.6031,0.7664,0.6651,0.7653,,,,,,,,,,,,,,,
16,RF,STD,0.0539,0.0658,0.0667,0.0713,0.045,0.0539,0.0631,0.0443,0.0489,N/A,0.2003,0.133,0.1211,0.0742,0.2488,0.121,0.1264,0.1145,0.0724,0.1432,0.0501,0.0775,,,,,,,,,,,,,,,
17,XGB,MEAN,0.552,0.5457,0.526,0.5188,0.5757,0.552,0.5479,0.7066,0.7195,N/A,0.537,0.5518,0.5268,0.6832,0.4952,0.3355,0.3923,0.6987,0.6049,0.6907,0.6373,0.738,,,,,,,,,,,,,,,
18,XGB,STD,0.0457,0.0333,0.0474,0.0457,0.0328,0.0457,0.0443,0.0453,0.0475,N/A,0.1847,0.1008,0.1022,0.0835,0.1435,0.0695,0.0768,0.0919,0.0573,0.1209,0.0382,0.074,,,,,,,,,,,,,,,
19,DT,MEAN,0.4966,0.4041,0.4353,0.4008,0.4521,0.4966,0.4571,0.6225,0.6658,N/A,0.4661,0.4382,0.4416,0.6138,0.1935,0.1072,0.1258,0.5854,0.5527,0.7606,0.6348,0.6684,,,,,,,,,,,,,,,
20,DT,STD,0.0791,0.123,0.0726,0.093,0.114,0.0791,0.0945,0.0764,0.0587,N/A,0.1437,0.15,0.125,0.1117,0.2027,0.121,0.132,0.0817,0.1209,0.0852,0.102,0.1158,,,,,,,,,,,,,,,
