,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6038,0.5401,0.54,0.5398,0.6102,0.6038,0.6069,0.7123,0.7543,"{'n_estimators': 87, 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",0.6471,0.6346,0.6408,0.8085,0.266,0.2907,0.2778,0.547,0.7072,0.6947,0.7009,0.7813,87.0,15.0,9.0,3.0,log2,True,,,,,,,,,
1,RF,2,0.5237,0.4546,0.4528,0.4493,0.5029,0.5237,0.5105,0.6659,0.716,"{'n_estimators': 102, 'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': False}",0.5561,0.5876,0.5714,0.7456,0.25,0.1538,0.1905,0.5501,0.5577,0.617,0.5859,0.7021,102.0,6.0,6.0,3.0,log2,False,,,,,,,,,
2,RF,3,0.408,0.4946,0.3944,0.3659,0.4886,0.408,0.3781,0.6359,0.6281,"{'n_estimators': 110, 'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",0.338,0.595,0.4311,0.5497,0.6667,0.1091,0.1875,0.6844,0.4792,0.4792,0.4792,0.6736,110.0,5.0,20.0,10.0,sqrt,False,,,,,,,,,
3,RF,4,0.5448,0.5509,0.4903,0.4683,0.5491,0.5448,0.5062,0.7139,0.7428,"{'n_estimators': 498, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",0.5505,0.507,0.5278,0.7163,0.5625,0.1406,0.225,0.6449,0.5396,0.8233,0.6519,0.7806,498.0,5.0,5.0,5.0,sqrt,True,,,,,,,,,
4,RF,5,0.5319,0.6435,0.4961,0.4447,0.6334,0.5319,0.4681,0.7131,0.6994,"{'n_estimators': 358, 'max_depth': 5, 'min_samples_split': 11, 'min_samples_leaf': 8, 'max_features': 'log2', 'bootstrap': True}",0.3989,0.4658,0.4298,0.578,0.9375,0.1007,0.1818,0.7445,0.594,0.9219,0.7224,0.817,358.0,5.0,11.0,8.0,log2,True,,,,,,,,,
5,XGB,1,0.5942,0.5348,0.5324,0.5325,0.6104,0.5942,0.6016,0.7226,0.759,"{'n_estimators': 230, 'max_depth': 12, 'learning_rate': 0.07186477267909576, 'subsample': 0.6103141924766858, 'colsample_bytree': 0.8030491686485612, 'min_child_weight': 9, 'gamma': 3.9076030893497524, 'reg_alpha': 1.6021379224619694, 'reg_lambda': 1.519632604248976}",0.6599,0.625,0.642,0.8015,0.2381,0.2907,0.2618,0.5761,0.7064,0.6814,0.6937,0.7903,230.0,12.0,,,,,0.07186477267909576,0.6103141924766858,0.8030491686485612,9.0,3.9076030893497524,1.6021379224619694,1.519632604248976,,
6,XGB,2,0.5327,0.4631,0.4621,0.4594,0.5153,0.5327,0.5216,0.6735,0.7218,"{'n_estimators': 300, 'max_depth': 11, 'learning_rate': 0.04886900132294601, 'subsample': 0.7624364887824514, 'colsample_bytree': 0.8526333921184072, 'min_child_weight': 8, 'gamma': 4.960718199702326, 'reg_alpha': 1.0737883010647444, 'reg_lambda': 1.754708787074853}",0.5838,0.5706,0.5771,0.7525,0.2407,0.1667,0.197,0.5619,0.5648,0.6489,0.604,0.706,300.0,11.0,,,,,0.04886900132294601,0.7624364887824514,0.8526333921184072,8.0,4.960718199702326,1.0737883010647444,1.754708787074853,,
7,XGB,3,0.4773,0.5079,0.4673,0.4632,0.5043,0.4773,0.4688,0.6512,0.6513,"{'n_estimators': 476, 'max_depth': 9, 'learning_rate': 0.029323105618991638, 'subsample': 0.6071847502459278, 'colsample_bytree': 0.9924283304357214, 'min_child_weight': 7, 'gamma': 4.865188803848123, 'reg_alpha': 1.2481670543447305, 'reg_lambda': 0.07959921215402954}",0.4192,0.5785,0.4861,0.5977,0.6078,0.2818,0.3851,0.6711,0.4968,0.5417,0.5183,0.6846,476.0,9.0,,,,,0.029323105618991638,0.6071847502459278,0.9924283304357214,7.0,4.865188803848123,1.2481670543447305,0.07959921215402954,,
8,XGB,4,0.5663,0.5699,0.5184,0.5084,0.5692,0.5663,0.5396,0.7159,0.7426,"{'n_estimators': 304, 'max_depth': 11, 'learning_rate': 0.016172851295725186, 'subsample': 0.9079641690155484, 'colsample_bytree': 0.948471867171936, 'min_child_weight': 7, 'gamma': 4.9609644971072, 'reg_alpha': 0.9643525634936368, 'reg_lambda': 1.141199413006008}",0.5771,0.5395,0.5577,0.7032,0.5745,0.2109,0.3086,0.6626,0.5581,0.8047,0.659,0.782,304.0,11.0,,,,,0.016172851295725186,0.9079641690155484,0.948471867171936,7.0,4.9609644971072,0.9643525634936368,1.141199413006008,,
9,XGB,5,0.5478,0.6234,0.515,0.4748,0.6163,0.5478,0.4952,0.7004,0.7011,"{'n_estimators': 273, 'max_depth': 5, 'learning_rate': 0.021164021005190013, 'subsample': 0.7991319272522994, 'colsample_bytree': 0.7940610057735219, 'min_child_weight': 2, 'gamma': 4.235380677772333, 'reg_alpha': 1.9317600046593324, 'reg_lambda': 1.8874151708411677}",0.4378,0.5031,0.4682,0.5889,0.84,0.1409,0.2414,0.688,0.5925,0.901,0.7149,0.8244,273.0,5.0,,,,,0.021164021005190013,0.7991319272522994,0.7940610057735219,2.0,4.235380677772333,1.9317600046593324,1.8874151708411677,,
